method,alt_mean,alt_ci_lo,alt_ci_hi,alt_n_props,nat_mean,nat_ci_lo,nat_ci_hi,nat_n_props
meandiff_paired__kall__succyes,0.7844,0.6215,0.915,13,0.721,0.5441,0.8778,13
meandiff_paired__k2__succno,0.7816,0.6189,0.9071,13,0.7225,0.5403,0.8758,13
meandiff_unpaired__k2__succno,0.7816,0.6254,0.9105,13,0.7225,0.5423,0.8773,13
meandiff_unpaired__kall__succyes,0.7743,0.6062,0.9135,13,0.7286,0.5579,0.8797,13
meandiff_unpaired__k2__succyes,0.7842,0.6203,0.9181,13,0.7178,0.5385,0.8722,13
meandiff_paired__k2__succyes,0.7645,0.6031,0.9053,13,0.7238,0.5411,0.8788,13
meandiff_paired__kall__succno,0.7539,0.584,0.8931,13,0.7208,0.5542,0.8635,13
meandiff_unpaired__kall__succno,0.7539,0.5892,0.8929,13,0.7208,0.5587,0.8641,13
meanact__k2__succyes,0.6116,0.3985,0.8063,13,0.6828,0.5014,0.8443,13
meanact__kall__succyes,0.5943,0.3845,0.7856,13,0.6899,0.5093,0.8512,13
meanact__k2__succno,0.6012,0.4114,0.7698,13,0.6648,0.4734,0.8332,13
meanact__kall__succno,0.5522,0.3639,0.7399,13,0.6695,0.471,0.8435,13
