property,source_run,arm,n_arm_points,judged,baseline_strict,strict,conditional,unscorable,incoherent,n,n_coherent,cf_strict,cf_unscorable,reverse_strict,reverse_baseline,reference_k4
all_caps,full_cuecue1,cuediff_cue_nat2alt_L16_a32.0,3,True,0.0,0.758,0.87,0.129,0.34,200,132,0.0,0.01,0.985,0.394,0.942
ampersand,full_cuecue1,cuediff_cue_nat2alt_L20_a8.0,3,True,0.0,0.34,1.0,0.66,0.0,200,200,0.0,0.735,0.5,0.276,0.667
contractions,full_cuecue1,cuediff_cue_nat2alt_best,1,True,0.161,0.69,0.972,0.29,0.0,200,200,,,,,0.754
curly_quotes,full_cuecue1,cuediff_cue_nat2alt_best,1,True,0.023,0.029,0.357,0.918,0.012,173,171,,,,,0.975
double_space,full_cuecue1,cuediff_cue_nat2alt_L24_a16.0,3,True,0.0,1.0,1.0,0.0,0.0,200,200,0.0,0.04,1.0,0.874,0.864
em_dash,full_cuecue1,cuediff_cue_nat2alt_L20_a16.0,3,True,0.019,0.105,0.917,0.886,0.0,105,105,0.01,0.933,0.067,0.086,1.0
num_words,full_cuecue1,cuediff_cue_nat2alt_L10_a32.0,3,True,0.047,0.417,1.0,0.583,0.012,85,84,0.0,1.0,0.176,0.094,0.856
ordinal_words,full_cuecue1,cuediff_cue_nat2alt_L2_a8.0,3,True,0.151,0.155,0.939,0.835,0.0,200,200,0.131,0.869,0.0,0.0,0.994
oxford_comma,full_cuecue1,cuediff_cue_nat2alt,3,True,0.149,1.0,1.0,0.0,0.0,67,67,0.0,1.0,0.269,0.433,0.85
percent_sign,full_cuecue1,cuediff_cue_nat2alt_L8_a8.0,3,True,0.146,0.558,1.0,0.442,0.0,104,104,0.135,0.375,0.67,0.466,0.966
quote_punct,full_cuecue1,cuediff_cue_nat2alt_L20_a32.0,3,True,0.056,1.0,1.0,0.0,0.0,126,126,0.04,0.135,0.698,0.857,0.901
sentence_caps,full_cuecue1,cuediff_cue_nat2alt_L10_a32.0,3,True,0.0,1.0,1.0,0.0,0.06,200,188,0.0,0.045,0.929,0.894,0.798
us_uk,full_cuecue1,cuediff_cue_nat2alt_best,1,True,0.01,0.57,0.966,0.41,0.0,200,200,,,,,0.917
