property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
all_caps,alt,2,1.0,0.0,0.0,0.017,0.033,60
all_caps,alt,4,1.0,0.0,0.0,0.0,0.0,60
all_caps,alt,6,0.25,0.0,0.0,0.017,0.017,60
all_caps,alt,8,0.25,0.0,0.0,0.018,0.05,60
all_caps,alt,10,2.0,0.0,0.0,0.017,0.0,60
all_caps,alt,12,4.0,0.033,0.033,0.017,0.0,60
all_caps,alt,16,8.0,0.117,0.117,0.017,0.0,60
all_caps,alt,20,32.0,0.05,0.055,0.091,0.083,60
all_caps,alt,24,8.0,0.083,0.091,0.055,0.083,60
all_caps,nat,2,32.0,0.783,0.839,0.036,0.067,60
all_caps,nat,4,8.0,0.767,0.767,0.05,0.0,60
all_caps,nat,6,16.0,0.917,0.948,0.034,0.033,60
all_caps,nat,8,32.0,0.967,0.967,0.017,0.0,60
all_caps,nat,10,32.0,0.95,0.983,0.0,0.033,60
all_caps,nat,12,16.0,0.983,0.983,0.017,0.0,60
all_caps,nat,16,16.0,0.95,0.966,0.0,0.017,60
all_caps,nat,20,4.0,0.983,0.983,0.0,0.0,60
all_caps,nat,24,32.0,1.0,1.0,0.0,0.0,60
ampersand,alt,2,0.5,0.0,0.0,0.704,0.1,60
ampersand,alt,4,0.5,0.0,0.0,0.667,0.1,60
ampersand,alt,6,0.5,0.0,0.0,0.698,0.117,60
ampersand,alt,8,0.5,0.0,0.0,0.649,0.05,60
ampersand,alt,10,0.5,0.0,0.0,0.582,0.083,60
ampersand,alt,12,16.0,0.05,0.051,0.186,0.017,60
ampersand,alt,16,16.0,0.017,0.017,0.067,0.0,60
ampersand,alt,20,8.0,0.983,1.0,0.0,0.017,60
ampersand,alt,24,32.0,0.95,0.983,0.0,0.033,60
ampersand,nat,2,0.125,0.35,0.375,0.625,0.067,60
ampersand,nat,4,0.5,0.3,0.333,0.667,0.1,60
ampersand,nat,6,0.125,0.25,0.278,0.722,0.1,60
ampersand,nat,8,32.0,0.583,0.625,0.357,0.067,60
ampersand,nat,10,16.0,0.767,0.78,0.22,0.017,60
ampersand,nat,12,32.0,0.933,0.949,0.051,0.017,60
ampersand,nat,16,16.0,0.917,0.932,0.068,0.017,60
ampersand,nat,20,16.0,0.983,0.983,0.017,0.0,60
ampersand,nat,24,4.0,0.933,0.949,0.051,0.017,60
contractions,alt,2,2.0,0.15,0.15,0.833,0.0,60
contractions,alt,4,16.0,0.05,0.05,0.9,0.0,60
contractions,alt,6,0.5,0.117,0.117,0.833,0.0,60
contractions,alt,8,4.0,0.067,0.068,0.864,0.017,60
contractions,alt,10,1.0,0.05,0.05,0.9,0.0,60
contractions,alt,12,0.5,0.117,0.117,0.85,0.0,60
contractions,alt,16,0.5,0.117,0.117,0.833,0.0,60
contractions,alt,20,8.0,0.183,0.183,0.767,0.0,60
contractions,alt,24,1.0,0.1,0.1,0.883,0.0,60
contractions,nat,2,1.0,0.033,0.033,0.867,0.0,60
contractions,nat,4,2.0,0.017,0.017,0.9,0.0,60
contractions,nat,6,8.0,0.05,0.05,0.9,0.0,60
contractions,nat,8,32.0,0.1,0.103,0.862,0.033,60
contractions,nat,10,32.0,0.033,0.035,0.877,0.05,60
contractions,nat,12,8.0,0.05,0.051,0.915,0.017,60
contractions,nat,16,4.0,0.217,0.217,0.65,0.0,60
contractions,nat,20,8.0,0.117,0.117,0.85,0.0,60
contractions,nat,24,16.0,0.1,0.1,0.817,0.0,60
curly_quotes,alt,2,0.5,0.0,0.0,0.95,0.0,60
curly_quotes,alt,4,0.5,0.0,0.0,0.917,0.0,60
curly_quotes,alt,6,1.0,0.033,0.034,0.948,0.033,60
curly_quotes,alt,8,0.5,0.033,0.033,0.917,0.0,60
curly_quotes,alt,10,8.0,0.017,0.026,0.974,0.367,60
curly_quotes,alt,12,2.0,0.033,0.037,0.944,0.1,60
curly_quotes,alt,16,32.0,0.0,0.0,0.471,0.433,60
curly_quotes,alt,20,0.5,0.017,0.017,0.95,0.0,60
curly_quotes,alt,24,8.0,0.167,0.2,0.34,0.167,60
curly_quotes,nat,2,8.0,0.0,0.0,1.0,0.117,60
curly_quotes,nat,4,1.0,0.033,0.034,0.932,0.017,60
curly_quotes,nat,6,0.125,0.017,0.017,0.983,0.017,60
curly_quotes,nat,8,16.0,0.033,0.048,0.929,0.3,60
curly_quotes,nat,10,32.0,0.133,0.163,0.816,0.183,60
curly_quotes,nat,12,1.0,0.017,0.017,0.966,0.017,60
curly_quotes,nat,16,32.0,0.517,0.886,0.086,0.417,60
curly_quotes,nat,20,32.0,0.833,0.98,0.02,0.15,60
curly_quotes,nat,24,8.0,0.817,0.98,0.02,0.167,60
double_space,alt,2,0.5,0.0,0.0,0.15,0.0,60
double_space,alt,4,0.5,0.0,0.0,0.133,0.0,60
double_space,alt,6,4.0,0.0,0.0,0.288,0.017,60
double_space,alt,8,32.0,0.367,0.373,0.254,0.017,60
double_space,alt,10,32.0,0.267,0.271,0.203,0.017,60
double_space,alt,12,16.0,0.283,0.288,0.119,0.017,60
double_space,alt,16,32.0,0.8,0.842,0.123,0.05,60
double_space,alt,20,32.0,0.7,0.737,0.088,0.05,60
