family,n,verified,n_pass,fail_k,fail_audit,fail_coherent,fail_fluent,fail_faithful,fail_style,rounds_max,k_en_median
sentence_caps,215,215,213,2,0,0,9,0,3,6,7
all_caps,215,215,213,0,0,0,16,2,3,2,7
double_space,220,220,210,9,0,0,11,2,2,6,6
us_uk,200,200,200,0,0,0,9,0,10,2,7
ise_ize,216,216,211,5,0,0,4,0,0,6,7
brit_t_past,221,221,208,8,0,0,16,6,116,6,5
whilst,212,212,209,1,0,0,8,2,17,6,7
contractions,211,211,210,0,0,1,34,1,35,2,9
ampersand,200,200,200,0,0,0,14,0,24,1,13
oxford_comma,237,237,205,31,0,0,12,1,43,6,6
curly_quotes,211,210,210,0,0,0,6,0,1,2,14
quote_punct,236,236,202,34,0,0,24,0,70,6,6
em_dash,216,216,214,0,0,0,16,2,6,2,13
ellipsis,230,228,207,14,0,5,67,3,16,5,6
num_words,213,213,211,2,0,0,25,0,50,6,7
percent_sign,200,200,200,0,0,0,16,0,0,1,7
ordinal_words,211,211,210,0,0,0,9,1,7,2,7
