family,n,verified,n_pass,fail_coherent,fail_fluent,fail_k_agent,fail_k_regex,fail_violation,fail_length,words_median
sentence_caps,276,272,263,0,8,0,1,0,0,146
all_caps,276,276,265,0,9,0,2,0,0,148
double_space,276,273,254,1,11,6,2,0,0,144
us_uk,276,275,202,2,19,55,14,0,2,136
ise_ize,276,275,230,3,29,3,5,0,13,123
brit_t_past,627,627,261,42,210,156,177,0,10,132
whilst,276,276,253,2,21,1,0,0,1,139
contractions,336,336,241,1,5,9,78,0,10,124
ampersand,276,276,271,0,3,1,0,0,1,140
oxford_comma,276,276,247,0,0,28,0,0,1,144
curly_quotes,276,276,270,1,5,1,1,0,0,142
quote_punct,276,276,250,1,9,4,13,0,5,158
em_dash,276,276,271,0,2,0,0,0,3,140
ellipsis,276,276,251,0,3,21,1,0,1,149
num_words,276,276,219,1,16,32,6,0,9,130
percent_sign,276,276,247,6,29,0,0,0,0,148
ordinal_words,276,276,226,11,49,1,0,0,1,135
