condition,task_group,mean_acc,median_acc,mean_drop_vs_1shot
zero_shot,train,0.0019,0.0,0.2074
zero_shot,heldout,0.001,0.0,0.2167
zero_shot,all,0.0017,0.0,0.2093
real_1shot,train,0.2093,0.18,0.0
real_1shot,heldout,0.2176,0.2033,0.0
real_1shot,all,0.211,0.1933,0.0
own_zero_L9to27,train,0.0012,0.0,0.2081
own_zero_L9to27,heldout,0.001,0.0,0.2167
own_zero_L9to27,all,0.0012,0.0,0.2099
own_mean_L9to27,train,0.0358,0.02,0.1736
own_mean_L9to27,heldout,0.0372,0.02,0.1805
own_mean_L9to27,all,0.036,0.02,0.175
cf_zero_L9to27,train,0.1145,0.0733,0.0948
cf_zero_L9to27,heldout,0.0771,0.0633,0.1405
cf_zero_L9to27,all,0.107,0.0667,0.1041
cf_mean_L9to27,train,0.2079,0.2,0.0014
cf_mean_L9to27,heldout,0.1929,0.2067,0.0248
cf_mean_L9to27,all,0.2048,0.2,0.0062
