task,pct_fv_energy_inside_train_top512_span,zeroshot_acc_full_fv,zeroshot_acc_projected_onto_46_selected_pcs,zeroshot_acc_projected_onto_all_512_pcs,acc_drop_from_46pc_projection,acc_drop_from_512pc_projection
ag_news,79.9,0.62,0.16,0.48,0.46,0.14
uppercase_word,89.2,0.98,0.12,0.94,0.86,0.04
person_place_thing,89.3,0.84,0.14,0.48,0.7,0.36
first_digit,89.9,0.96,0.58,0.9,0.38,0.06
pos_label,90.3,0.48,0.38,0.58,0.1,-0.1
initials_two_words,90.7,0.74,0.04,0.46,0.7,0.28
word_polarity,95.9,0.62,0.58,0.62,0.04,0.0
english-french,96.7,0.6,0.08,0.58,0.52,0.02
spanish-english,98.3,0.8,0.8,0.8,0.0,0.0
french-english,98.6,0.66,0.66,0.66,0.0,0.0
smaller_of_pair,98.6,0.68,0.62,0.68,0.06,0.0
past_to_base,99.0,0.9,0.88,0.9,0.02,0.0
gerund_to_base,99.3,0.98,0.98,0.98,0.0,0.0
ends_with_ing,99.7,0.42,0.44,0.42,-0.02,0.0
