top 15 cells by held-out R^2 (target = task FV)
  L15 demo 10 cue  heldout 0.6880  train 0.9406
  L13 demo 10 cue  heldout 0.6852  train 0.9467
  L14 demo 10 cue  heldout 0.6823  train 0.9446
  L15 demo 9 cue   heldout 0.6805  train 0.9439
  L12 demo 8 cue   heldout 0.6797  train 0.9556
  L13 demo 9 cue   heldout 0.6784  train 0.9493
  L15 demo 8 cue   heldout 0.6759  train 0.9439
  L12 demo 10 cue  heldout 0.6750  train 0.9364
  L12 demo 7 cue   heldout 0.6747  train 0.9539
  L14 demo 9 cue   heldout 0.6744  train 0.9473
  L13 demo 8 cue   heldout 0.6719  train 0.9484
  L17 demo 9 cue   heldout 0.6707  train 0.9509
  L16 demo 10 cue  heldout 0.6707  train 0.9319
  L15 demo 7 cue   heldout 0.6694  train 0.9430
  L14 demo 8 cue   heldout 0.6690  train 0.9466

best held-out cell: L15 demo 10 cue = 0.6880
best train cell:    L12 demo 8 cue = 0.9556

best position per layer (held-out):
  L0  demo 10 target 0.3259
  L1  demo 9 target 0.4052
  L2  demo 9 target 0.4271
  L3  demo 9 target 0.4901
  L4  demo 9 target 0.5255
  L5  demo 9 target 0.5468
  L6  demo 9 target 0.5822
  L7  demo 9 target 0.5976
  L8  demo 9 cue   0.6469
  L9  demo 10 cue  0.6637
  L10 demo 10 cue  0.6653
  L11 demo 10 cue  0.6600
  L12 demo 8 cue   0.6797
  L13 demo 10 cue  0.6852
  L14 demo 10 cue  0.6823
  L15 demo 10 cue  0.6880
  L16 demo 10 cue  0.6707
  L17 demo 9 cue   0.6707
  L18 demo 10 cue  0.6670
  L19 demo 10 cue  0.6532
  L20 demo 7 cue   0.6488
  L21 demo 9 cue   0.6447
  L22 demo 10 cue  0.6435
  L23 demo 10 cue  0.6382
  L24 demo 10 cue  0.6311
  L25 demo 10 cue  0.6272
  L26 demo 10 cue  0.6177
  L27 demo 10 target 0.6067

best layer per position (held-out):
  demo 1 cue   L6  -0.0238
  demo 1 target L12 0.5152
  demo 2 cue   L15 0.4527
  demo 2 target L13 0.5726
  demo 3 cue   L15 0.5984
  demo 3 target L13 0.6043
  demo 4 cue   L15 0.6349
  demo 4 target L13 0.6137
  demo 5 cue   L15 0.6565
  demo 5 target L13 0.6243
  demo 6 cue   L12 0.6635
  demo 6 target L17 0.6242
  demo 7 cue   L12 0.6747
  demo 7 target L16 0.6236
  demo 8 cue   L12 0.6797
  demo 8 target L20 0.6275
  demo 9 cue   L15 0.6805
  demo 9 target L12 0.6309
  demo 10 cue  L15 0.6880
  demo 10 target L12 0.6322
  query cue    L9  0.5867
