layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,0.02046,0.00781,0.08087,0.02281,0.00866,0.08382,0.02374,0.00930,0.08448,0.02402,0.00985,0.08532,0.02467,0.01029,0.08607,0.02508,0.01073,0.08640,0.02516,0.01103,0.08659,0.02543,0.01116,0.08685,0.02551,0.01123,0.08707,0.02576,0.01128,0.08695,0.02563,0.01134
1,0.03201,0.01445,0.11399,0.03540,0.01828,0.11629,0.03612,0.01942,0.11653,0.03600,0.01996,0.11710,0.03629,0.02016,0.11749,0.03639,0.02026,0.11738,0.03607,0.02021,0.11730,0.03616,0.02010,0.11747,0.03609,0.01996,0.11748,0.03624,0.01995,0.11732,0.03609,0.01992
2,0.04388,0.02218,0.13915,0.04628,0.02819,0.14322,0.04777,0.03210,0.14422,0.04770,0.03394,0.14485,0.04787,0.03479,0.14525,0.04780,0.03530,0.14492,0.04721,0.03531,0.14448,0.04705,0.03518,0.14436,0.04676,0.03512,0.14417,0.04697,0.03516,0.14390,0.04667,0.03512
3,0.04823,0.02817,0.15506,0.05324,0.04261,0.16912,0.05610,0.04723,0.17266,0.05631,0.04819,0.17372,0.05634,0.04790,0.17404,0.05605,0.04728,0.17342,0.05529,0.04644,0.17304,0.05493,0.04567,0.17284,0.05461,0.04513,0.17257,0.05471,0.04476,0.17207,0.05414,0.04434
4,0.05650,0.03844,0.17552,0.06317,0.06000,0.19702,0.06620,0.06357,0.19953,0.06660,0.06338,0.20018,0.06678,0.06314,0.20059,0.06665,0.06283,0.20059,0.06621,0.06245,0.20077,0.06596,0.06209,0.20070,0.06579,0.06185,0.20081,0.06593,0.06153,0.20056,0.06544,0.06109
5,0.05815,0.04388,0.20159,0.06802,0.08125,0.23290,0.07381,0.08477,0.23889,0.07551,0.08418,0.24128,0.07673,0.08405,0.24266,0.07708,0.08369,0.24316,0.07684,0.08335,0.24392,0.07687,0.08284,0.24421,0.07682,0.08250,0.24445,0.07703,0.08212,0.24433,0.07657,0.08156
6,0.06274,0.04589,0.21756,0.07351,0.08292,0.25657,0.08176,0.09551,0.26802,0.08380,0.09733,0.27163,0.08485,0.09802,0.27378,0.08525,0.09816,0.27435,0.08483,0.09797,0.27492,0.08459,0.09767,0.27553,0.08435,0.09732,0.27537,0.08432,0.09699,0.27481,0.08380,0.09666
7,0.06017,0.04636,0.23181,0.07302,0.08585,0.27956,0.07911,0.09443,0.29212,0.07975,0.09538,0.29536,0.08085,0.09410,0.29756,0.08112,0.09283,0.29831,0.08096,0.09159,0.29882,0.08087,0.09067,0.29974,0.08084,0.09008,0.29961,0.08084,0.08942,0.29878,0.08038,0.08870
8,0.06054,0.05064,0.23614,0.07238,0.09178,0.27914,0.08052,0.10115,0.28997,0.08183,0.09964,0.29079,0.08287,0.09792,0.29069,0.08276,0.09662,0.28950,0.08253,0.09560,0.28820,0.08220,0.09475,0.28736,0.08202,0.09396,0.28635,0.08201,0.09308,0.28476,0.08159,0.09220
9,0.06115,0.05898,0.24238,0.07314,0.10173,0.28364,0.08145,0.11159,0.29202,0.08243,0.11133,0.29257,0.08339,0.10977,0.29226,0.08343,0.10812,0.29069,0.08333,0.10659,0.28919,0.08318,0.10521,0.28805,0.08300,0.10399,0.28673,0.08306,0.10273,0.28493,0.08274,0.10154
