variant,best_alpha,alpha_pinned,r2_train_uniform,r2_test_uniform,r2_train_weighted,r2_test_weighted
1,31622.776601683792,False,0.6825,0.3121,0.7027,0.3603
2,10000.0,False,0.7388,0.3484,0.7569,0.3993
3,10000.0,False,0.7412,0.364,0.7593,0.415
4,10000.0,False,0.7424,0.3648,0.7606,0.4163
5,10000.0,False,0.7432,0.3702,0.7614,0.4217
6,10000.0,False,0.7443,0.374,0.7624,0.426
7,10000.0,False,0.7446,0.3737,0.7628,0.4255
8,10000.0,False,0.7456,0.3742,0.7639,0.4262
9,10000.0,False,0.7471,0.378,0.7653,0.4296
10,10000.0,False,0.7508,0.3838,0.7688,0.4355
avg,1000.0,False,0.7871,0.4641,0.8036,0.5144
