condition,task_group,mean_acc,median_acc
unsteered,train,0.0006,0.0
unsteered,heldout,0.0024,0.0
unsteered,all,0.001,0.0
zero_shot,train,0.0019,0.0
zero_shot,heldout,0.001,0.0
zero_shot,all,0.0017,0.0
real_1shot,train,0.2082,0.1867
real_1shot,heldout,0.2071,0.2
real_1shot,all,0.208,0.1867
steer_L6_best,train,0.1202,0.0533
steer_L6_best,heldout,0.1486,0.07
steer_L6_best,all,0.126,0.0533
patch_best_nonzero,train,0.0962,0.06
patch_best_nonzero,heldout,0.1362,0.0834
patch_best_nonzero,all,0.1043,0.06
patch_a0.0,train,0.0016,0.0
patch_a0.0,heldout,0.0014,0.0
patch_a0.0,all,0.0015,0.0
patch_a0.5,train,0.0065,0.0
patch_a0.5,heldout,0.0133,0.0067
patch_a0.5,all,0.0079,0.0
patch_a1.0,train,0.0385,0.02
patch_a1.0,heldout,0.04,0.0166
patch_a1.0,all,0.0388,0.02
patch_a2.0,train,0.0887,0.0467
patch_a2.0,heldout,0.1319,0.0834
patch_a2.0,all,0.0975,0.0533
patch_a4.0,train,0.0581,0.0267
patch_a4.0,heldout,0.0833,0.0133
patch_a4.0,all,0.0632,0.0267
