task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.09869,0.16004,0.13975,0.09805,0.0,0.03942,0.04942,0.04479,0.03757,0.0,10.34099,15.55514,13.18834,8.94912,0.0,4.72806,4.81679,3.94241,2.97949
adjective_to_noun,train,0.0,0.07755,0.14079,0.13917,0.09671,0.0,0.03879,0.06908,0.07637,0.05533,0.0,8.59776,15.18053,14.21682,9.45364,0.0,4.94115,8.23454,8.16601,5.48293
ag_news,heldout,0.0,0.0381,0.14604,0.15056,0.12332,0.0,0.02454,0.07313,0.07322,0.06428,0.0,3.77697,14.17126,13.89084,10.35234,0.0,2.65211,7.63474,6.99653,5.13035
agent_noun_to_verb,train,0.0,0.08814,0.15822,0.14499,0.10234,0.0,0.04549,0.07194,0.07209,0.04856,0.0,9.40491,16.40659,14.01637,9.31299,0.0,5.34191,7.97872,6.89838,4.00896
animal_class,train,0.0,0.07694,0.15613,0.14825,0.11302,0.0,0.03122,0.06341,0.06247,0.04654,0.0,7.55837,15.42163,13.87346,9.70836,0.0,3.30692,6.69276,5.80494,3.40011
animal_plant_object,train,0.0,0.04687,0.13066,0.11422,0.08206,0.0,0.03108,0.06814,0.0631,0.04778,0.0,4.83478,13.01126,10.78348,7.24412,0.0,3.42607,7.11553,5.93061,3.91081
antonym,train,0.0,0.04715,0.11094,0.11776,0.10789,0.0,0.03234,0.06074,0.04991,0.03763,0.0,5.22641,12.11719,11.86725,10.72159,0.0,3.81274,7.16572,5.24524,3.88474
article_choice,train,0.0,0.03198,0.04843,0.03173,0.0112,0.0,0.02381,0.03879,0.04058,0.03568,0.0,2.89546,4.3367,2.45728,0.41928,0.0,2.05335,3.33055,3.19298,2.64025
capitalize,train,0.0,0.05741,0.11471,0.10535,0.06324,0.0,0.03901,0.06645,0.05918,0.04239,0.0,5.98285,11.46635,9.5684,5.26103,0.0,4.33857,6.88645,5.05214,3.06397
capitalize_first_letter,train,0.0,0.04212,0.06019,0.04249,0.00933,0.0,0.01939,0.03491,0.038,0.03078,0.0,3.86177,5.46531,3.46502,0.19475,0.0,1.6482,2.9985,2.95083,2.10494
city-country,train,0.0,0.06555,0.14905,0.14128,0.11401,0.0,0.02499,0.03971,0.02518,0.01122,0.0,5.55559,12.00289,10.60824,8.02127,0.0,1.6696,1.90917,-0.03636,-1.48065
compound_first,train,0.0,0.07029,0.12226,0.11267,0.08793,0.0,0.0407,0.06915,0.06859,0.05536,0.0,7.3047,12.60026,11.21126,8.55902,0.0,4.5075,7.50384,6.97793,5.4249
concrete_abstract,train,0.0,0.04588,0.10813,0.08818,0.05587,0.0,0.02592,0.0569,0.05301,0.04101,0.0,4.67999,10.31436,7.80716,4.43209,0.0,2.80651,5.34045,4.28502,2.74552
contains_letter_e,train,0.0,0.04309,0.07656,0.05952,0.03961,0.0,0.01807,0.0307,0.02588,0.01863,0.0,3.61154,6.44946,4.63891,2.73001,0.0,1.19818,2.08141,1.42298,0.69055
country-capital,train,0.0,0.07075,0.15165,0.1447,0.10919,0.0,0.02332,0.02591,0.01942,0.01183,0.0,6.85858,13.94004,12.08004,8.11422,0.0,2.41081,2.13805,0.47203,-0.93701
day_after_textual_date,train,0.0,0.05874,0.11691,0.07593,0.04728,0.0,0.04411,0.05913,0.03208,0.01471,0.0,5.42246,10.58321,6.54378,3.94645,0.0,3.9258,4.80274,1.52642,-0.24397
ends_with_ing,heldout,0.0,0.04801,0.0837,0.06089,0.03717,0.0,0.01485,0.02653,0.01934,0.01027,0.0,3.91488,6.89409,4.41995,2.11848,0.0,0.63628,1.33835,0.3483,-0.58105
english-french,heldout,0.0,0.06891,0.16162,0.18146,0.14458,0.0,0.03337,0.04834,0.04731,0.03653,0.0,7.21303,16.57796,17.49957,13.51221,0.0,3.87372,5.54625,4.4634,3.0059
english-italian,train,0.0,0.06245,0.15854,0.17333,0.14428,0.0,0.02881,0.0421,0.04475,0.03448,0.0,6.66072,16.14432,16.54667,13.18191,0.0,3.60491,4.82931,4.01284,2.42635
english-portuguese,train,0.0,0.06421,0.15473,0.16941,0.14247,0.0,0.03205,0.0472,0.05082,0.03878,0.0,6.96941,15.74833,16.1755,12.89575,0.0,3.99224,5.18693,4.52449,2.68229
english-spanish,train,0.0,0.07844,0.16768,0.18108,0.14717,0.0,0.03375,0.04319,0.04637,0.03201,0.0,8.28223,17.2914,17.82616,13.79499,0.0,3.99846,5.07484,4.67771,2.62111
first_digit,heldout,0.0,0.05572,0.08638,0.07241,0.04045,0.0,0.02947,0.0429,0.0374,0.02221,0.0,5.04399,7.30377,5.63488,2.56581,0.0,2.62349,3.26548,2.31033,0.67257
first_three_letters,train,0.0,0.07627,0.1344,0.12364,0.09685,0.0,0.03781,0.06454,0.06626,0.05002,0.0,7.79224,13.76973,11.87573,8.91032,0.0,4.14478,7.04986,6.28684,4.28364
french-english,heldout,0.0,0.07047,0.10925,0.11395,0.10061,0.0,0.02916,0.04439,0.04289,0.02936,0.0,8.26404,12.37076,11.98917,10.27504,0.0,4.1553,5.88973,5.01984,3.3554
french_noun_gender,train,0.0,0.07016,0.10053,0.07481,0.04482,0.0,0.04228,0.05965,0.04822,0.034,0.0,7.00733,9.75293,6.8891,3.83771,0.0,4.41398,5.81452,4.18377,2.53882
german-english,train,0.0,0.07558,0.11473,0.12196,0.11201,0.0,0.03126,0.04532,0.04607,0.03506,0.0,8.52361,12.78498,13.0008,11.65177,0.0,4.14735,5.88227,5.54088,4.16042
german_noun_gender,train,0.0,0.03476,0.06236,0.0376,0.00819,0.0,0.02199,0.03062,0.02459,0.01437,0.0,3.33925,5.44929,2.54034,-0.31434,0.0,2.13008,2.30993,0.99228,-0.16854
