alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.20194,0.29802,0.0,0.0,19.28323,28.429,0.0,0.0
0.0,heldout,0.22559,0.30176,0.0,0.0,21.54548,28.81718,0.0,0.0
0.0,all,0.20674,0.29878,0.0,0.0,19.74223,28.50776,0.0,0.0
0.5,train,0.27266,0.33356,0.07072,0.03554,26.30246,32.1528,7.01924,3.7238
0.5,heldout,0.29426,0.33608,0.06867,0.03431,28.54507,32.58145,6.9996,3.76426
0.5,all,0.27704,0.33407,0.0703,0.03529,26.75748,32.23977,7.01525,3.73201
1.0,train,0.33888,0.35499,0.13694,0.05698,32.4679,34.00837,13.18467,5.57938
1.0,heldout,0.35349,0.35925,0.1279,0.05749,34.22218,34.75415,12.6767,5.93697
1.0,all,0.34184,0.35586,0.1351,0.05708,32.82384,34.15969,13.08161,5.65193
2.0,train,0.32454,0.34834,0.12259,0.05032,30.3804,32.60095,11.09717,4.17195
2.0,heldout,0.34194,0.3546,0.11635,0.05284,32.47084,33.63279,10.92536,4.8156
2.0,all,0.32807,0.34961,0.12133,0.05083,30.80455,32.81031,11.06231,4.30255
4.0,train,0.28793,0.33312,0.08599,0.03511,26.4976,30.64347,7.21438,2.21447
4.0,heldout,0.30874,0.33961,0.08315,0.03785,28.93641,31.79113,7.39093,2.97394
4.0,all,0.29215,0.33444,0.08541,0.03566,26.99243,30.87632,7.2502,2.36857
