quantity,mean,lo,hi
cos_task_none,0.4241,0.4163,0.4317
cos_gen_none,0.3592,0.3522,0.3664
cos_task_own_mean,0.3122,0.3027,0.3223
cos_gen_own_mean,0.3695,0.3655,0.3734
cos_task_own_zero,0.3122,0.3025,0.322
cos_gen_own_zero,0.3702,0.3665,0.3738
cos_task_cf_mean,0.4229,0.4148,0.4306
cos_gen_cf_mean,0.3605,0.3529,0.3675
cos_task_cf_zero,0.4221,0.414,0.4299
cos_gen_cf_zero,0.3608,0.3534,0.368
dcos_own_mean,-0.1118,-0.1224,-0.1013
dcos_cf_mean,-0.0011,-0.0017,-0.0006
dcos_own_minus_cf_mean,-0.1107,-0.1212,-0.1002
n_tasks_own_below_cf_mean,69.0,,
dcos_own_zero,-0.1119,-0.1214,-0.1023
dcos_cf_zero,-0.002,-0.0029,-0.001
dcos_own_minus_cf_zero,-0.1099,-0.1193,-0.1005
n_tasks_own_below_cf_zero,69.0,,
readout_block,13.0,,
