,dircos,dircos,dircos,dircos,dircos,proj_frac,proj_frac,proj_frac,proj_frac,proj_frac,cf_cos_w
alpha,0.5,1.0,2.0,4.0,8.0,0.5,1.0,2.0,4.0,8.0,
family,,,,,,,,,,,
bash_subst,0.727,0.827,0.887,0.825,0.679,0.176,0.461,0.974,1.337,1.138,0.619
bash_test,0.766,0.869,0.931,0.864,0.752,0.243,0.587,1.021,1.198,1.189,0.816
blank_lines,0.861,0.987,0.986,0.956,0.901,0.33,0.926,1.013,1.07,0.953,0.895
c_comment_style,0.782,0.878,0.895,0.799,0.532,0.23,0.647,1.374,1.775,1.129,0.766
comma_space,0.463,0.758,0.811,0.677,0.541,0.097,0.567,0.964,1.082,1.077,0.441
comment_case,0.506,0.655,0.819,0.874,0.547,0.039,0.112,0.399,0.815,0.394,0.815
comment_language,0.337,0.72,0.78,0.65,0.472,0.031,0.531,0.685,0.597,0.427,0.731
docstring_quotes,0.782,0.842,0.859,0.806,0.475,0.288,0.735,1.315,1.649,1.134,0.777
docstring_style,0.163,0.192,0.228,0.274,0.359,0.006,0.013,0.027,0.065,0.199,0.892
float_literals,0.365,0.588,0.65,0.586,0.532,0.151,0.687,1.515,1.777,1.852,0.353
hex_constants,0.217,0.394,0.682,0.716,0.654,0.021,0.125,0.802,1.014,0.851,0.449
js_arrow,0.441,0.496,0.567,0.653,0.667,0.046,0.103,0.257,0.64,0.737,0.712
js_camel_snake,0.842,0.909,0.927,0.858,0.718,0.261,0.781,1.043,1.172,1.152,0.769
js_func_pascal,0.822,0.906,0.914,0.828,0.509,0.312,0.781,0.899,0.825,0.412,0.776
js_hungarian,0.275,0.335,0.503,0.795,0.807,0.01,0.029,0.148,0.715,0.889,0.701
js_quotes,0.77,0.828,0.822,0.704,0.43,0.307,0.682,1.187,1.535,1.222,0.614
js_semicolons,0.731,0.837,0.911,0.855,0.766,0.187,0.492,1.056,1.334,1.171,0.578
js_strict_eq,0.78,0.863,0.83,0.701,0.601,0.406,0.956,1.35,1.713,1.198,0.567
js_template,0.738,0.796,0.857,0.827,0.716,0.188,0.407,0.8,1.084,0.918,0.741
js_var,0.82,0.893,0.895,0.782,0.587,0.342,0.853,1.304,1.264,0.634,0.705
line_wrap,0.376,0.473,0.516,0.489,0.485,0.075,0.179,0.641,0.885,0.84,0.593
num_separators,0.568,0.692,0.67,0.574,0.502,0.385,1.245,1.506,1.55,1.216,0.51
operator_spaces,0.72,0.912,0.92,0.834,0.735,0.16,0.843,1.072,1.158,1.16,0.545
php_array,0.546,0.62,0.777,0.799,0.708,0.1,0.258,0.743,1.038,0.805,0.655
py2_except,0.869,0.988,0.955,0.85,0.689,0.337,0.965,1.224,1.165,0.73,0.928
py2_iter,0.725,0.896,0.902,0.837,0.753,0.23,0.846,1.072,1.077,0.944,0.718
py2_print,0.563,0.646,0.781,0.825,0.788,0.047,0.142,0.535,0.885,0.978,0.839
py_abbrev,0.739,0.798,0.825,0.763,0.634,0.323,0.724,1.162,1.598,1.574,0.429
py_builtin_generics,0.392,0.527,0.535,0.464,0.317,0.09,0.357,0.586,0.793,0.558,0.7
py_class_naming,0.66,0.921,0.922,0.358,0.345,0.105,0.872,0.909,0.22,0.585,0.882
py_comprehension,0.215,0.272,0.353,0.495,0.446,0.015,0.032,0.111,0.431,0.327,0.586
py_const_naming,0.526,0.698,0.801,0.506,0.33,0.093,0.437,0.759,0.377,0.651,0.721
py_enumerate,0.257,0.281,0.316,0.524,0.542,0.033,0.071,0.176,0.732,0.846,0.507
py_fstring,0.453,0.543,0.672,0.721,0.712,0.036,0.102,0.401,0.864,1.039,0.804
py_indent,0.507,0.566,0.625,0.592,0.505,0.208,0.674,1.333,1.954,2.136,0.493
py_is_none,0.736,0.808,0.78,0.619,0.535,0.242,0.582,0.779,0.893,0.789,0.798
py_join_concat,0.302,0.354,0.477,0.599,0.677,0.084,0.188,0.507,0.925,0.982,0.441
py_literal_ctor,0.601,0.757,0.799,0.698,0.535,0.141,0.6,0.881,0.817,0.524,0.743
py_loop_vars,0.571,0.738,0.818,0.765,0.714,0.144,0.562,1.049,1.224,1.246,0.526
py_not_in,0.207,0.348,0.264,0.176,0.058,0.012,0.054,0.048,0.021,-0.016,0.696
py_optional,0.477,0.537,0.6,0.607,0.468,0.059,0.136,0.384,0.744,0.425,0.636
py_paren_if,0.482,0.63,0.809,0.778,0.631,0.041,0.155,0.614,0.752,0.551,0.787
py_private,0.221,0.323,0.599,0.534,0.637,0.039,0.181,0.906,1.008,1.006,0.704
py_quotes,0.824,0.881,0.904,0.795,0.612,0.286,0.677,1.132,1.68,1.719,0.588
py_self_name,0.33,0.654,0.821,0.724,0.567,0.029,0.322,0.774,0.626,0.418,0.69
py_snake_camel,0.757,0.851,0.887,0.834,0.652,0.246,0.713,0.981,1.034,0.961,0.676
py_tabs,0.51,0.58,0.658,0.695,0.626,0.104,0.264,0.806,1.416,1.556,0.656
py_type_hints,0.327,0.537,0.649,0.687,0.672,0.118,0.378,0.937,1.203,1.201,0.599
py_with_open,0.181,0.233,0.356,0.688,0.615,0.011,0.03,0.12,0.735,0.843,0.719
r_assignment,0.884,0.924,0.864,0.752,0.636,0.492,0.945,1.188,1.274,1.282,0.68
rust_question,0.088,0.103,0.124,0.121,0.101,0.005,0.018,0.031,0.022,0.022,0.64
sql_bool_case,0.868,0.918,0.871,0.694,0.548,0.441,0.963,1.497,1.813,1.477,0.798
sql_join_style,0.449,0.525,0.665,0.778,0.77,0.047,0.115,0.446,0.862,0.888,0.81
sql_keyword_case,0.748,0.936,0.928,0.838,0.646,0.242,0.789,1.132,1.223,1.093,0.765
trailing_commas,0.347,0.481,0.641,0.688,0.682,0.093,0.335,0.615,0.668,0.721,0.523
