arm,alpha,metric,mean,lo,hi,n_families
ctrl_family,0.5,dircos,0.0542,0.0233,0.0842,53
ctrl_family,0.5,proj_frac,0.0027,-0.0067,0.0116,53
ctrl_family,0.5,cos_w,0.0209,-0.0059,0.047,53
ctrl_family,0.5,norm_ratio,0.1528,0.1229,0.1858,53
ctrl_family,0.5,alt_top_steered,0.0142,0.0075,0.0222,53
ctrl_family,0.5,margin_steered,-7.338,-7.8973,-6.7949,53
ctrl_family,1.0,dircos,0.1128,0.0787,0.1471,53
ctrl_family,1.0,proj_frac,0.0297,0.007,0.0536,53
ctrl_family,1.0,cos_w,0.0612,0.0308,0.0925,53
ctrl_family,1.0,norm_ratio,0.3209,0.2566,0.3898,53
ctrl_family,1.0,alt_top_steered,0.0146,0.0075,0.0231,53
ctrl_family,1.0,margin_steered,-7.1181,-7.6823,-6.5591,53
ctrl_family,2.0,dircos,0.173,0.1355,0.2115,53
ctrl_family,2.0,proj_frac,0.0919,0.055,0.1317,53
ctrl_family,2.0,cos_w,0.0996,0.0679,0.1328,53
ctrl_family,2.0,norm_ratio,0.6299,0.5104,0.7573,53
ctrl_family,2.0,alt_top_steered,0.0259,0.0113,0.0462,53
ctrl_family,2.0,margin_steered,-6.3608,-7.0171,-5.7294,53
ctrl_family,4.0,dircos,0.2267,0.1885,0.2638,53
ctrl_family,4.0,proj_frac,0.174,0.1255,0.2244,53
ctrl_family,4.0,cos_w,0.1382,0.1057,0.1703,53
ctrl_family,4.0,norm_ratio,0.9941,0.8419,1.1545,53
ctrl_family,4.0,alt_top_steered,0.0656,0.0302,0.1094,53
ctrl_family,4.0,margin_steered,-5.1015,-5.86,-4.3246,53
ctrl_family,8.0,dircos,0.2678,0.2275,0.3084,53
ctrl_family,8.0,proj_frac,0.2551,0.2008,0.3136,53
ctrl_family,8.0,cos_w,0.179,0.1436,0.2157,53
ctrl_family,8.0,norm_ratio,1.1597,1.0084,1.3205,53
ctrl_family,8.0,alt_top_steered,0.1108,0.0613,0.1708,53
ctrl_family,8.0,margin_steered,-4.1304,-4.9086,-3.3324,53
ctrl_random,0.5,dircos,0.0085,-0.0094,0.0253,53
ctrl_random,0.5,proj_frac,-0.0017,-0.0035,-0.0001,53
ctrl_random,0.5,cos_w,-0.0111,-0.0259,0.0038,53
ctrl_random,0.5,norm_ratio,0.0692,0.0609,0.078,53
ctrl_random,0.5,alt_top_steered,0.0156,0.008,0.0245,53
ctrl_random,0.5,margin_steered,-7.3726,-7.9441,-6.8271,53
ctrl_random,1.0,dircos,0.0149,-0.0047,0.0338,53
ctrl_random,1.0,proj_frac,-0.0032,-0.0066,-0.0001,53
ctrl_random,1.0,cos_w,-0.0112,-0.0281,0.005,53
ctrl_random,1.0,norm_ratio,0.1205,0.1039,0.1381,53
ctrl_random,1.0,alt_top_steered,0.0151,0.0075,0.0236,53
ctrl_random,1.0,margin_steered,-7.3767,-7.93,-6.8228,53
ctrl_random,2.0,dircos,0.0389,0.0161,0.0617,53
ctrl_random,2.0,proj_frac,-0.0035,-0.0107,0.0028,53
ctrl_random,2.0,cos_w,-0.0059,-0.0239,0.0118,53
