family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
py_builtin_generics,nat,24,2.0,40,0.1,0.0396,0.2305,0.1,0.625,0.875,2.7984,0.05,0.15,0.94
py_builtin_generics,nat,24,4.0,40,0.175,0.0875,0.3195,0.175,0.75,0.8,2.8672,0.05,0.15,0.94
py_builtin_generics,nat,26,2.0,40,0.2,0.105,0.3476,0.225,0.575,0.775,3.1742,0.025,0.15,0.94
py_builtin_generics,nat,26,4.0,40,0.05,0.0138,0.165,0.05,0.525,0.95,2.9469,0.025,0.15,0.94
py_builtin_generics,alt,24,2.0,40,0.0,0.0,0.0876,0.0,0.725,0.875,-4.2875,0.0,0.0,0.945
py_builtin_generics,alt,24,4.0,40,0.0,0.0,0.0876,0.0,0.6,0.95,-5.125,0.0,0.0,0.945
py_builtin_generics,alt,26,2.0,40,0.0,0.0,0.0876,0.0,0.725,0.95,-3.9164,0.0,0.0,0.945
py_builtin_generics,alt,26,4.0,40,0.0,0.0,0.0876,0.0,0.525,0.975,-4.4656,0.0,0.0,0.945
py2_except,nat,24,2.0,40,0.2,0.105,0.3476,0.2,0.95,0.8,20.6469,1.0,0.025,0.965
py2_except,nat,24,4.0,40,0.175,0.0875,0.3195,0.175,1.0,0.825,23.8637,1.0,0.025,0.965
py2_except,nat,26,2.0,40,0.125,0.0546,0.2611,0.125,1.0,0.875,17.8219,1.0,0.025,0.965
py2_except,nat,26,4.0,40,0.175,0.0875,0.3195,0.175,0.95,0.825,17.9004,1.0,0.025,0.965
py2_except,alt,24,2.0,40,0.175,0.0875,0.3195,0.175,0.925,0.825,12.6062,1.0,0.0,0.935
py2_except,alt,24,4.0,40,0.175,0.0875,0.3195,0.175,0.975,0.825,18.6168,1.0,0.0,0.935
py2_except,alt,26,2.0,40,0.125,0.0546,0.2611,0.125,0.975,0.85,9.6875,1.0,0.0,0.935
py2_except,alt,26,4.0,40,0.125,0.0546,0.2611,0.125,0.925,0.875,17.9367,1.0,0.0,0.935
py_self_name,nat,24,2.0,40,1.0,0.9124,1.0,1.0,1.0,0.0,16.2734,1.0,0.95,0.955
py_self_name,nat,24,4.0,40,0.225,0.1232,0.375,0.5,0.425,0.5,10.194,0.0,0.95,0.955
py_self_name,nat,26,2.0,40,0.975,0.8712,0.9956,1.0,0.975,0.0,14.4187,1.0,0.95,0.955
py_self_name,nat,26,4.0,40,0.8,0.6524,0.895,0.9,0.825,0.1,5.1906,1.0,0.95,0.955
py_self_name,alt,24,2.0,40,0.75,0.5981,0.8581,0.775,0.975,0.025,1.7656,1.0,0.0,0.935
py_self_name,alt,24,4.0,40,0.875,0.7389,0.9454,1.0,0.875,0.0,11.4281,1.0,0.0,0.935
py_self_name,alt,26,2.0,40,0.9,0.7695,0.9604,0.975,0.925,0.025,12.9531,1.0,0.0,0.935
py_self_name,alt,26,4.0,40,0.925,0.8014,0.9742,1.0,0.925,0.0,20.1624,1.0,0.0,0.935
sql_bool_case,nat,24,2.0,40,0.825,0.6805,0.9125,0.825,0.975,0.175,6.8574,0.75,0.275,0.925
sql_bool_case,nat,24,4.0,40,0.8,0.6524,0.895,0.8,0.95,0.2,13.7314,0.75,0.275,0.925
sql_bool_case,nat,26,2.0,40,0.825,0.6805,0.9125,0.825,0.95,0.175,14.7611,0.775,0.275,0.925
sql_bool_case,nat,26,4.0,40,0.825,0.6805,0.9125,0.825,0.925,0.175,23.6813,0.825,0.275,0.925
sql_bool_case,alt,24,2.0,40,0.75,0.5981,0.8581,0.775,0.9,0.2,6.4114,0.725,0.55,0.93
sql_bool_case,alt,24,4.0,40,0.775,0.625,0.8768,0.775,0.95,0.2,7.0559,0.675,0.55,0.93
sql_bool_case,alt,26,2.0,40,0.725,0.5716,0.8389,0.75,0.925,0.25,10.8162,0.675,0.55,0.93
sql_bool_case,alt,26,4.0,40,0.55,0.3983,0.6929,0.575,0.8,0.375,13.1866,0.65,0.55,0.93
py_tabs,nat,24,2.0,40,0.9,0.7695,0.9604,1.0,0.9,0.0,12.4391,1.0,0.7,0.925
py_tabs,nat,24,4.0,40,0.8,0.6524,0.895,1.0,0.8,0.0,15.9672,1.0,0.7,0.925
py_tabs,nat,26,2.0,40,0.725,0.5716,0.8389,0.9,0.775,0.1,17.7695,1.0,0.7,0.925
py_tabs,nat,26,4.0,40,0.5,0.352,0.648,0.525,0.9,0.475,20.7956,0.925,0.7,0.925
py_tabs,alt,24,2.0,40,0.65,0.4951,0.7787,0.7,0.85,0.25,-0.2063,0.175,0.0,0.915
py_tabs,alt,24,4.0,40,0.2,0.105,0.3476,0.3,0.575,0.55,-2.4633,0.1,0.0,0.915
py_tabs,alt,26,2.0,40,0.575,0.4219,0.7149,0.825,0.725,0.125,-1.6672,0.125,0.0,0.915
py_tabs,alt,26,4.0,40,0.6,0.446,0.7365,0.9,0.675,0.05,-2.4496,0.125,0.0,0.915
py_indent,nat,24,2.0,40,0.775,0.625,0.8768,0.975,0.8,0.025,7.3875,1.0,0.725,0.93
py_indent,nat,24,4.0,40,0.675,0.5202,0.7992,0.875,0.775,0.125,10.343,1.0,0.725,0.93
py_indent,nat,26,2.0,40,0.05,0.0138,0.165,0.05,0.525,0.95,7.4297,0.0,0.725,0.93
py_indent,nat,26,4.0,40,0.025,0.0044,0.1288,0.025,0.6,0.975,5.4309,0.0,0.725,0.93
py_indent,alt,24,2.0,40,0.425,0.2851,0.5781,0.5,0.85,0.15,0.3594,1.0,0.0,0.91
py_indent,alt,24,4.0,40,0.4,0.2635,0.554,0.45,0.875,0.15,-0.1281,0.325,0.0,0.91
py_indent,alt,26,2.0,40,0.425,0.2851,0.5781,0.475,0.825,0.125,0.025,0.575,0.0,0.91
py_indent,alt,26,4.0,40,0.575,0.4219,0.7149,0.675,0.875,0.125,0.8844,1.0,0.0,0.91
sql_keyword_case,nat,24,2.0,40,0.675,0.5202,0.7992,0.825,0.725,0.15,8.1937,0.35,0.7,0.915
sql_keyword_case,nat,24,4.0,40,0.675,0.5202,0.7992,0.85,0.675,0.15,8.2141,0.325,0.7,0.915
sql_keyword_case,nat,26,2.0,40,0.85,0.7093,0.9294,1.0,0.85,0.0,10.8672,0.325,0.7,0.915
sql_keyword_case,nat,26,4.0,40,0.45,0.3071,0.6017,0.7,0.45,0.2,8.5466,0.075,0.7,0.915
sql_keyword_case,alt,24,2.0,40,0.3,0.1807,0.4543,0.4,0.675,0.15,2.8586,0.325,0.0,0.89
sql_keyword_case,alt,24,4.0,40,0.325,0.2008,0.4798,0.525,0.575,0.15,5.9324,0.4,0.0,0.89
sql_keyword_case,alt,26,2.0,40,0.275,0.1611,0.4284,0.375,0.675,0.275,5.9266,0.35,0.0,0.89
sql_keyword_case,alt,26,4.0,40,0.2,0.105,0.3476,0.25,0.55,0.3,7.9082,0.35,0.0,0.89
docstring_style,nat,24,2.0,40,0.975,0.8712,0.9956,0.975,1.0,0.025,13.5352,0.975,0.7,0.98
docstring_style,nat,24,4.0,40,0.95,0.835,0.9862,0.95,0.975,0.05,18.5568,0.975,0.7,0.98
docstring_style,nat,26,2.0,40,0.875,0.7389,0.9454,0.875,0.95,0.125,18.3496,0.975,0.7,0.98
