family,n,nat_and_ok,alt_and_ok,unscorable,judge_ok,margin_nat_minus_alt
docstring_quotes,49,0.082,0.02,0.898,0.816,1.753
hex_constants,49,0.898,0.0,0.041,0.939,6.571
js_hungarian,50,0.76,0.0,0.08,0.84,-1.385
js_strict_eq,48,0.667,0.083,0.229,0.979,2.499
py_comprehension,49,0.388,0.102,0.469,0.939,1.722
py_fstring,51,0.157,0.098,0.686,0.843,-2.235
py_is_none,51,0.157,0.039,0.765,0.863,-1.218
py_quotes,50,0.28,0.2,0.48,0.9,-1.413
py_self_name,50,0.94,0.0,0.0,0.94,9.065
r_assignment,51,0.824,0.059,0.02,0.882,2.386
