layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.143060,-4.435032,-2.143060,0.193940,-0.000000,-4.435032,0.184935,0.000000,-2.166667
1,-2.143060,-4.435032,-2.112925,0.194087,0.030135,-4.421314,0.184948,0.013718,0.455229
2,-2.143060,-4.435032,-2.089382,0.194187,0.053678,-4.407266,0.184533,0.027766,0.517275
3,-2.143060,-4.435032,-2.086690,0.194859,0.056370,-4.426039,0.184702,0.008994,0.159549
4,-2.143060,-4.435032,-1.856162,0.195781,0.286898,-4.336650,0.184289,0.098382,0.342917
5,-2.143060,-4.435032,-1.054826,0.195880,1.088234,-3.956272,0.181071,0.478760,0.439942
6,-2.143060,-4.435032,-0.858003,0.198760,1.285057,-3.927094,0.181794,0.507938,0.395265
7,-2.143060,-4.435032,-0.765440,0.201014,1.377619,-3.920397,0.183633,0.514635,0.373569
8,-2.143060,-4.435032,-0.968776,0.195007,1.174283,-3.868560,0.181099,0.566472,0.482398
9,-2.143060,-4.435032,-1.274394,0.203619,0.868665,-4.120408,0.186057,0.314625,0.362193
10,-2.143060,-4.435032,-1.560606,0.198858,0.582453,-4.198328,0.185455,0.236704,0.406392
11,-2.143060,-4.435032,-1.797495,0.198463,0.345564,-4.281474,0.185796,0.153558,0.444369
12,-2.143060,-4.435032,-1.937777,0.198387,0.205283,-4.362140,0.185741,0.072893,0.355084
13,-2.143060,-4.435032,-2.005444,0.198149,0.137616,-4.418523,0.185625,0.016509,0.119967
14,-2.143060,-4.435032,-1.983530,0.198399,0.159529,-4.419005,0.185227,0.016028,0.100468
15,-2.143060,-4.435032,-1.884792,0.201070,0.258268,-4.413713,0.185201,0.021320,0.082548
16,-2.143060,-4.435032,-2.085931,0.194596,0.057129,-4.425643,0.185154,0.009390,0.164360
17,-2.143060,-4.435032,-2.132502,0.193935,0.010557,-4.430783,0.185019,0.004250,0.402519
18,-2.143060,-4.435032,-2.124274,0.193448,0.018786,-4.425062,0.184677,0.009970,0.530745
19,-2.143060,-4.435032,-2.119932,0.193233,0.023127,-4.421050,0.184522,0.013982,0.604574
20,-2.143060,-4.435032,-2.135584,0.193578,0.007476,-4.428203,0.184822,0.006830,0.913536
21,-2.143060,-4.435032,-2.138401,0.193647,0.004658,-4.429655,0.184844,0.005378,1.154446
22,-2.143060,-4.435032,-2.138401,0.193612,0.004658,-4.429417,0.184857,0.005615,1.205438
23,-2.143060,-4.435032,-2.138652,0.193614,0.004408,-4.430136,0.184851,0.004896,1.110836
24,-2.143060,-4.435032,-2.138283,0.193660,0.004777,-4.430532,0.184869,0.004500,0.942039
25,-2.143060,-4.435032,-2.138791,0.193595,0.004269,-4.430578,0.184832,0.004454,1.043335
26,-2.143060,-4.435032,-2.142321,0.193934,0.000739,-4.433449,0.184961,0.001584,2.143308
27,-2.143060,-4.435032,-2.142611,0.193909,0.000449,-4.433752,0.184942,0.001280,2.853806
28,-2.143060,-4.435032,-2.143060,0.193940,-0.000000,-4.435032,0.184935,0.000000,-2.166667
