layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.143060,-1.138646,-2.143060,0.193940,-0.000000,-1.138645,0.169000,0.000000,-0.625000
1,-2.143060,-1.138646,-2.130160,0.194107,0.012900,-1.134838,0.169088,0.003807,0.295146
2,-2.143060,-1.138646,-2.128735,0.193900,0.014325,-1.114812,0.168680,0.023833,1.663762
3,-2.143060,-1.138646,-2.142314,0.194344,0.000746,-1.123159,0.168890,0.015486,20.772131
4,-2.143060,-1.138646,-1.693986,0.197294,0.449074,-0.979783,0.170173,0.158863,0.353757
5,-2.143060,-1.138646,-0.421934,0.195919,1.721125,-0.494332,0.171119,0.644314,0.374356
6,-2.143060,-1.138646,-0.149440,0.195442,1.993619,-0.452775,0.170136,0.685870,0.344033
7,-2.143060,-1.138646,0.154475,0.194435,2.297535,-0.352645,0.171561,0.786001,0.342106
8,-2.143060,-1.138646,0.863539,0.181129,3.006598,-0.138269,0.166168,1.000376,0.332727
9,-2.143060,-1.138646,0.435290,0.201867,2.578349,-0.188806,0.175863,0.949839,0.368390
10,-2.143060,-1.138646,-0.596284,0.198302,1.546776,-0.655247,0.171243,0.483398,0.312520
11,-2.143060,-1.138646,-0.922436,0.197635,1.220624,-0.711135,0.171877,0.427510,0.350239
12,-2.143060,-1.138646,-1.664683,0.200491,0.478377,-0.881235,0.174639,0.257410,0.538090
13,-2.143060,-1.138646,-1.754494,0.203515,0.388566,-0.882172,0.174601,0.256473,0.660050
14,-2.143060,-1.138646,-1.845875,0.204195,0.297185,-0.964454,0.175207,0.174191,0.586137
15,-2.143060,-1.138646,-1.747057,0.206273,0.396003,-0.907398,0.176123,0.231247,0.583954
16,-2.143060,-1.138646,-2.092727,0.195824,0.050332,-1.031745,0.170603,0.106901,2.123890
17,-2.143060,-1.138646,-2.140315,0.194752,0.002745,-1.127105,0.169592,0.011541,4.204463
18,-2.143060,-1.138646,-2.138612,0.194547,0.004447,-1.126445,0.169376,0.012200,2.743382
19,-2.143060,-1.138646,-2.136442,0.194274,0.006618,-1.128147,0.169279,0.010498,1.586267
20,-2.143060,-1.138646,-2.137233,0.193849,0.005826,-1.132667,0.168914,0.005978,1.026069
21,-2.143060,-1.138646,-2.137781,0.193722,0.005279,-1.134673,0.168860,0.003972,0.752520
22,-2.143060,-1.138646,-2.138527,0.193752,0.004533,-1.135392,0.168864,0.003253,0.717636
23,-2.143060,-1.138646,-2.140064,0.193887,0.002996,-1.135854,0.168906,0.002791,0.931758
24,-2.143060,-1.138646,-2.141344,0.193934,0.001716,-1.137134,0.168971,0.001511,0.880837
25,-2.143060,-1.138646,-2.141747,0.193920,0.001313,-1.137880,0.168981,0.000765,0.582986
26,-2.143060,-1.138646,-2.143080,0.193964,-0.000020,-1.139081,0.169045,-0.000435,21.911965
27,-2.143060,-1.138646,-2.143423,0.193986,-0.000363,-1.139035,0.169041,-0.000389,1.072366
28,-2.143060,-1.138646,-2.143060,0.193940,-0.000000,-1.138645,0.169000,0.000000,-0.625000
