layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.143060,-4.435032,-2.143060,0.193940,-0.000000,-4.435032,0.184935,0.000000,-2.166667
1,-2.143060,-4.435032,-2.145844,0.193889,-0.002785,-4.434511,0.184964,0.000521,-0.187259
2,-2.143060,-4.435032,-2.145270,0.193928,-0.002211,-4.433528,0.185023,0.001505,-0.680649
3,-2.143060,-4.435032,-2.149229,0.193831,-0.006170,-4.432399,0.184946,0.002633,-0.426760
4,-2.143060,-4.435032,-2.142842,0.193777,0.000218,-4.429252,0.184929,0.005780,26.555654
5,-2.143060,-4.435032,-2.142473,0.193913,0.000587,-4.443544,0.185055,-0.008512,-14.496005
6,-2.143060,-4.435032,-2.140506,0.193804,0.002554,-4.440568,0.185012,-0.005536,-2.167959
7,-2.143060,-4.435032,-2.025371,0.193083,0.117689,-4.372803,0.184333,0.062230,0.528764
8,-2.143060,-4.435032,-1.946711,0.194615,0.196348,-4.396735,0.184881,0.038297,0.195047
9,-2.143060,-4.435032,0.140005,0.191734,2.283064,-3.550676,0.178170,0.884357,0.387355
10,-2.143060,-4.435032,1.187553,0.192708,3.330613,-3.395768,0.178782,1.039264,0.312034
11,-2.143060,-4.435032,0.982389,0.197789,3.125449,-3.528459,0.180794,0.906573,0.290062
12,-2.143060,-4.435032,2.377814,0.184683,4.520874,-3.152759,0.182149,1.282273,0.283634
13,-2.143060,-4.435032,2.963323,0.170652,5.106383,-2.645264,0.187117,1.789769,0.350496
14,-2.143060,-4.435032,2.261527,0.180136,4.404587,-2.877672,0.194256,1.557360,0.353577
15,-2.143060,-4.435032,2.002478,0.187682,4.145537,-3.068333,0.195655,1.366699,0.329680
16,-2.143060,-4.435032,2.426434,0.195829,4.569494,-3.495968,0.206084,0.939064,0.205507
17,-2.143060,-4.435032,-0.724959,0.226070,1.418101,-4.078336,0.195852,0.356696,0.251531
18,-2.143060,-4.435032,-1.557855,0.228278,0.585205,-4.359698,0.194368,0.075334,0.128731
19,-2.143060,-4.435032,-1.862008,0.226989,0.281052,-5.136072,0.203358,-0.701040,-2.494342
20,-2.143060,-4.435032,-1.943511,0.225512,0.199549,-5.069263,0.204970,-0.634231,-3.178329
21,-2.143060,-4.435032,-1.957764,0.217005,0.185296,-4.989825,0.202715,-0.554793,-2.994089
22,-2.143060,-4.435032,-2.010069,0.219071,0.132991,-4.996311,0.204614,-0.561279,-4.220443
23,-2.143060,-4.435032,-2.072002,0.218273,0.071058,-5.036542,0.203672,-0.601510,-8.465045
24,-2.143060,-4.435032,-2.118138,0.216287,0.024922,-5.027357,0.204748,-0.592325,-23.767078
25,-2.143060,-4.435032,-2.093869,0.210061,0.049191,-4.855119,0.202563,-0.420087,-8.539916
26,-2.143060,-4.435032,-2.160084,0.208697,-0.017024,-4.869959,0.202060,-0.434926,25.547936
27,-2.143060,-4.435032,-2.150199,0.206104,-0.007140,-4.743322,0.200795,-0.308290,43.180655
28,-2.143060,-4.435032,-2.077327,0.200334,0.065733,-4.479215,0.194800,-0.044183,-0.672152
