layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.143060,-1.138646,-2.143060,0.193940,-0.000000,-1.138645,0.169000,0.000000,-0.625000
1,-2.143060,-1.138646,-2.153729,0.193678,-0.010670,-1.157484,0.168934,-0.018838,1.765598
2,-2.143060,-1.138646,-2.153162,0.193866,-0.010102,-1.154409,0.169077,-0.015764,1.560401
3,-2.143060,-1.138646,-2.167876,0.193417,-0.024817,-1.164472,0.168806,-0.025826,1.040675
4,-2.143060,-1.138646,-2.142407,0.193188,0.000653,-1.155491,0.168653,-0.016846,-25.790858
5,-2.143060,-1.138646,-2.141417,0.193267,0.001643,-1.200149,0.168522,-0.061504,-37.435467
6,-2.143060,-1.138646,-2.125574,0.192568,0.017486,-1.201878,0.168087,-0.063232,-3.616240
7,-2.143060,-1.138646,-1.696256,0.188726,0.446804,-1.012840,0.167527,0.125805,0.281567
8,-2.143060,-1.138646,-1.354222,0.193082,0.788838,-1.052411,0.167978,0.086234,0.109318
9,-2.143060,-1.138646,3.143842,0.156768,5.286901,0.785654,0.160301,1.924300,0.363975
10,-2.143060,-1.138646,4.614842,0.151727,6.757902,2.734774,0.156706,3.873420,0.573169
11,-2.143060,-1.138646,4.862674,0.151795,7.005734,2.802058,0.164793,3.940704,0.562497
12,-2.143060,-1.138646,3.080408,0.162807,5.223468,1.430354,0.165956,2.568999,0.491819
13,-2.143060,-1.138646,4.008294,0.187002,6.151354,1.984762,0.184259,3.123407,0.507759
14,-2.143060,-1.138646,2.843575,0.188024,4.986635,1.545673,0.194697,2.684319,0.538303
15,-2.143060,-1.138646,2.138113,0.191645,4.281172,0.897101,0.192729,2.035747,0.475512
16,-2.143060,-1.138646,2.538232,0.206955,4.681292,1.254220,0.200953,2.392866,0.511155
17,-2.143060,-1.138646,-0.290623,0.229054,1.852437,-0.598839,0.209601,0.539807,0.291403
18,-2.143060,-1.138646,-1.433518,0.242155,0.709542,-0.974133,0.214970,0.164513,0.231858
19,-2.143060,-1.138646,-1.302875,0.249476,0.840185,-0.721807,0.219178,0.416839,0.496127
20,-2.143060,-1.138646,-1.501811,0.273946,0.641248,-0.663345,0.236605,0.475301,0.741211
21,-2.143060,-1.138646,-1.517896,0.253382,0.625164,-0.694859,0.221774,0.443787,0.709872
22,-2.143060,-1.138646,-1.587162,0.258317,0.555898,-0.717262,0.222359,0.421383,0.758023
23,-2.143060,-1.138646,-1.719423,0.264456,0.423637,-0.724411,0.231183,0.414234,0.977805
24,-2.143060,-1.138646,-1.887517,0.264279,0.255543,-0.866181,0.236698,0.272464,1.066219
25,-2.143060,-1.138646,-1.791949,0.244272,0.351110,-0.863205,0.219881,0.275440,0.784483
26,-2.143060,-1.138646,-1.842566,0.247986,0.300494,-1.003119,0.223431,0.135526,0.451011
27,-2.143060,-1.138646,-1.783368,0.238251,0.359692,-0.969222,0.215803,0.169424,0.471025
28,-2.143060,-1.138646,-1.521478,0.216780,0.621582,-0.789582,0.190915,0.349063,0.561573
