layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
1,-3.226444,-3.410906,-3.226405,0.057430,0.000040,-3.411656,0.060652,-0.000750,-18.946933
2,-3.226444,-3.410906,-3.231100,0.057321,-0.004656,-3.418205,0.060585,-0.007300,1.567856
3,-3.226444,-3.410906,-3.236861,0.057332,-0.010417,-3.421559,0.060541,-0.010654,1.022748
4,-3.226444,-3.410906,0.184422,0.057468,3.410867,-2.014796,0.047430,1.396109,0.409312
5,-3.226444,-3.410906,0.123422,0.050624,3.349866,-1.806147,0.046124,1.604758,0.479052
6,-3.226444,-3.410906,0.075245,0.053026,3.301689,-1.854443,0.046007,1.556463,0.471414
7,-3.226444,-3.410906,-0.229324,0.049696,2.997120,-1.839015,0.047901,1.571891,0.524467
8,-3.226444,-3.410906,-0.446812,0.053573,2.779632,-2.284801,0.048541,1.126105,0.405127
9,-3.226444,-3.410906,-1.507260,0.052297,1.719184,-2.550939,0.048542,0.859967,0.500218
10,-3.226444,-3.410906,-1.634470,0.053531,1.591975,-2.600063,0.049113,0.810843,0.509331
11,-3.226444,-3.410906,-1.923453,0.050159,1.302991,-2.696930,0.048559,0.713976,0.547951
12,-3.226444,-3.410906,-2.088936,0.050967,1.137508,-2.809225,0.049765,0.601681,0.528946
13,-3.226444,-3.410906,-2.349708,0.047746,0.876736,-2.936119,0.049481,0.474787,0.541539
14,-3.226444,-3.410906,-3.114070,0.049077,0.112374,-3.278804,0.051634,0.132102,1.175560
15,-3.226444,-3.410906,-3.004301,0.054432,0.222143,-3.184107,0.057194,0.226799,1.020958
16,-3.226444,-3.410906,-3.167693,0.054868,0.058752,-3.347104,0.057904,0.063802,1.085960
17,-3.226444,-3.410906,-3.158381,0.056659,0.068064,-3.340791,0.059841,0.070115,1.030142
18,-3.226444,-3.410906,-3.199811,0.057204,0.026634,-3.381037,0.060384,0.029869,1.121473
19,-3.226444,-3.410906,-3.226957,0.057412,-0.000513,-3.411261,0.060641,-0.000355,0.692652
20,-3.226444,-3.410906,-3.225971,0.057409,0.000474,-3.410669,0.060650,0.000237,0.499675
21,-3.226444,-3.410906,-3.225813,0.057474,0.000631,-3.410196,0.060732,0.000710,1.124641
22,-3.226444,-3.410906,-3.227273,0.057423,-0.000828,-3.412208,0.060654,-0.001302,1.571764
23,-3.226444,-3.410906,-3.226799,0.057381,-0.000355,-3.411143,0.060634,-0.000237,0.667155
24,-3.226444,-3.410906,-3.223051,0.057353,0.003393,-3.408223,0.060595,0.002683,0.790642
25,-3.226444,-3.410906,-3.223445,0.057351,0.002999,-3.408302,0.060546,0.002604,0.868355
26,-3.226444,-3.410906,-3.225852,0.057366,0.000592,-3.410551,0.060598,0.000355,0.599720
27,-3.226444,-3.410906,-3.226484,0.057337,-0.000039,-3.411103,0.060612,-0.000197,5.017140
28,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
