layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-2.105745,-3.226444,0.057368,0.000000,-2.105745,0.053662,-0.000000,-0.958333
1,-3.226444,-2.105745,-3.226247,0.057570,0.000197,-2.104601,0.053735,0.001144,5.796042
2,-3.226444,-2.105745,-3.237650,0.057033,-0.011206,-2.095447,0.053584,0.010298,-0.919014
3,-3.226444,-2.105745,-3.271070,0.057032,-0.044626,-2.106100,0.053533,-0.000355,0.007960
4,-3.226444,-2.105745,-1.916864,0.049877,1.309580,-1.413589,0.046644,0.692156,0.528533
5,-3.226444,-2.105745,-1.505997,0.045111,1.720447,-1.088068,0.041114,1.017677,0.591519
6,-3.226444,-2.105745,-2.094026,0.045414,1.132418,-1.438013,0.043140,0.667732,0.589651
7,-3.226444,-2.105745,-2.349116,0.048936,0.877328,-1.607560,0.046303,0.498185,0.567843
8,-3.226444,-2.105745,-2.646188,0.050414,0.580256,-1.816012,0.048657,0.289733,0.499320
9,-3.226444,-2.105745,-2.612610,0.048829,0.613834,-1.621607,0.046660,0.484138,0.788712
10,-3.226444,-2.105745,-2.768071,0.049147,0.458373,-1.707150,0.047516,0.398595,0.869587
11,-3.226444,-2.105745,-2.742503,0.048878,0.483941,-1.704111,0.047276,0.401633,0.829922
12,-3.226444,-2.105745,-2.843947,0.048553,0.382497,-1.763889,0.047193,0.341856,0.893748
13,-3.226444,-2.105745,-2.729601,0.047859,0.496844,-1.630682,0.047205,0.475063,0.956162
14,-3.226444,-2.105745,-3.162247,0.048357,0.064197,-2.063408,0.047804,0.042337,0.659493
15,-3.226444,-2.105745,-3.000118,0.053319,0.226326,-1.954348,0.049504,0.151397,0.668932
16,-3.226444,-2.105745,-3.225418,0.054615,0.001026,-2.115017,0.050705,-0.009273,-9.037551
17,-3.226444,-2.105745,-3.165088,0.056705,0.061356,-2.059817,0.052655,0.045928,0.748550
18,-3.226444,-2.105745,-3.182884,0.057094,0.043561,-2.073153,0.053144,0.032591,0.748184
19,-3.226444,-2.105745,-3.237216,0.057531,-0.010772,-2.109888,0.053890,-0.004143,0.384630
20,-3.226444,-2.105745,-3.233665,0.057382,-0.007221,-2.107008,0.053772,-0.001263,0.174882
21,-3.226444,-2.105745,-3.240175,0.057635,-0.013731,-2.112413,0.053955,-0.006668,0.485644
22,-3.226444,-2.105745,-3.245936,0.057681,-0.019492,-2.116201,0.053995,-0.010456,0.536446
23,-3.226444,-2.105745,-3.247159,0.057666,-0.020715,-2.119358,0.053977,-0.013613,0.657152
24,-3.226444,-2.105745,-3.222420,0.057302,0.004025,-2.102312,0.053647,0.003433,0.852889
25,-3.226444,-2.105745,-3.216027,0.057186,0.010417,-2.098366,0.053542,0.007378,0.708315
26,-3.226444,-2.105745,-3.227431,0.057408,-0.000986,-2.106337,0.053752,-0.000592,0.600183
27,-3.226444,-2.105745,-3.228930,0.057398,-0.002486,-2.107718,0.053691,-0.001973,0.793732
28,-3.226444,-2.105745,-3.226444,0.057368,0.000000,-2.105745,0.053662,-0.000000,-0.958333
