layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
1,-3.226444,-3.410906,-3.226602,0.057353,-0.000158,-3.411024,0.060578,-0.000118,0.751161
2,-3.226444,-3.410906,-3.226562,0.057369,-0.000118,-3.411222,0.060610,-0.000316,2.670088
3,-3.226444,-3.410906,-3.225655,0.057305,0.000789,-3.411340,0.060574,-0.000434,-0.550041
4,-3.226444,-3.410906,-3.228299,0.057278,-0.001854,-3.414181,0.060571,-0.003275,1.766119
5,-3.226444,-3.410906,-3.131116,0.054910,0.095328,-3.464528,0.059233,-0.053622,-0.562500
6,-3.226444,-3.410906,-3.116911,0.054277,0.109533,-3.440972,0.059017,-0.030066,-0.274496
7,-3.226444,-3.410906,-3.035117,0.056800,0.191327,-3.393387,0.061479,0.017519,0.091565
8,-3.226444,-3.410906,-2.995107,0.057065,0.231337,-3.347656,0.061488,0.063250,0.273409
9,-3.226444,-3.410906,-1.109336,0.056530,2.117109,-3.209478,0.069190,0.201428,0.095143
10,-3.226444,-3.410906,-1.073627,0.054377,2.152817,-3.187855,0.066049,0.223051,0.103609
11,-3.226444,-3.410906,-1.177517,0.053372,2.048927,-3.007457,0.064902,0.403448,0.196907
12,-3.226444,-3.410906,-0.921599,0.050271,2.304845,-2.939710,0.061240,0.471196,0.204437
13,-3.226444,-3.410906,2.665878,0.046308,5.892322,-1.325836,0.054827,2.085069,0.353862
14,-3.226444,-3.410906,2.402068,0.058845,5.628512,-0.758562,0.038752,2.652344,0.471234
15,-3.226444,-3.410906,0.342685,0.053234,3.569129,-1.390625,0.046088,2.020281,0.566043
16,-3.226444,-3.410906,-0.200639,0.060739,3.025805,-1.604127,0.048164,1.806779,0.597123
17,-3.226444,-3.410906,-0.813131,0.061051,2.413313,-2.024661,0.053808,1.386245,0.574416
18,-3.226444,-3.410906,-2.461608,0.059340,0.764836,-2.783183,0.057554,0.627722,0.820728
19,-3.226444,-3.410906,-2.776476,0.059070,0.449969,-3.043127,0.061800,0.367779,0.817344
20,-3.226444,-3.410906,-2.953559,0.061393,0.272885,-3.141967,0.062401,0.268939,0.985540
21,-3.226444,-3.410906,-3.089923,0.061270,0.136522,-3.218553,0.062788,0.192353,1.408958
22,-3.226444,-3.410906,-3.101523,0.060207,0.124921,-3.238084,0.062177,0.172822,1.383447
23,-3.226444,-3.410906,-3.168640,0.059079,0.057805,-3.251302,0.061027,0.159604,2.761085
24,-3.226444,-3.410906,-3.278212,0.059526,-0.051768,-3.283183,0.060398,0.127722,-2.467229
25,-3.226444,-3.410906,-2.973919,0.055798,0.252525,-3.107718,0.058641,0.303188,1.200624
26,-3.226444,-3.410906,-3.006037,0.055438,0.220407,-3.125750,0.057968,0.285156,1.293769
27,-3.226444,-3.410906,-2.975655,0.054041,0.250789,-3.107915,0.056946,0.302991,1.208149
28,-3.226444,-3.410906,-2.933396,0.052639,0.293048,-3.117424,0.056353,0.293482,1.001480
