layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-1.507812,-1.468711,-1.507812,0.052718,0.000000,-1.468711,0.046700,-0.000000,nan
1,-1.507812,-1.468711,-1.506944,0.052690,0.000868,-1.468079,0.046682,0.000631,0.727271
2,-1.507812,-1.468711,-1.498067,0.052655,0.009746,-1.459399,0.046611,0.009312,0.955465
3,-1.507812,-1.468711,-1.492700,0.052429,0.015112,-1.455058,0.046485,0.013652,0.903394
4,-1.507812,-1.468711,0.120936,0.056735,1.628748,-0.583846,0.040018,0.884864,0.543279
5,-1.507812,-1.468711,0.435369,0.059217,1.943182,-0.533617,0.041402,0.935093,0.481218
6,-1.507812,-1.468711,0.562816,0.062587,2.070628,-0.538392,0.041861,0.930319,0.449293
7,-1.507812,-1.468711,0.712358,0.062173,2.220170,-0.473643,0.041800,0.995068,0.448194
8,-1.507812,-1.468711,0.607323,0.062334,2.115136,-0.493647,0.041595,0.975063,0.460993
9,-1.507812,-1.468711,0.447088,0.069638,1.954901,-0.727628,0.045869,0.741083,0.379090
10,-1.507812,-1.468711,0.282592,0.069213,1.790404,-0.796007,0.046716,0.672704,0.375727
11,-1.507812,-1.468711,0.009036,0.068016,1.516848,-0.900095,0.047127,0.568616,0.374867
12,-1.507812,-1.468711,-0.063526,0.068758,1.444287,-0.966856,0.047607,0.501854,0.347476
13,-1.507812,-1.468711,-1.369081,0.055977,0.138731,-1.423414,0.049174,0.045297,0.326507
14,-1.507812,-1.468711,-1.534604,0.056325,-0.026791,-1.515822,0.049907,-0.047112,1.758468
15,-1.507812,-1.468711,-1.529001,0.055101,-0.021188,-1.499369,0.048757,-0.030658,1.446927
16,-1.507812,-1.468711,-1.520636,0.053945,-0.012824,-1.480153,0.047795,-0.011443,0.892308
17,-1.507812,-1.468711,-1.528567,0.054001,-0.020754,-1.489978,0.047893,-0.021267,1.024715
18,-1.507812,-1.468711,-1.533973,0.053985,-0.026160,-1.492622,0.047838,-0.023911,0.914027
19,-1.507812,-1.468711,-1.519255,0.053210,-0.011443,-1.480232,0.047166,-0.011521,1.006897
20,-1.507812,-1.468711,-1.517874,0.053208,-0.010062,-1.478693,0.047115,-0.009983,0.992157
21,-1.507812,-1.468711,-1.511285,0.052886,-0.003472,-1.472262,0.046848,-0.003551,1.022728
22,-1.507812,-1.468711,-1.511403,0.052888,-0.003591,-1.472380,0.046897,-0.003670,1.021978
23,-1.507812,-1.468711,-1.511403,0.052925,-0.003591,-1.472854,0.046897,-0.004143,1.153846
24,-1.507812,-1.468711,-1.510456,0.052910,-0.002644,-1.472143,0.046896,-0.003433,1.298508
25,-1.507812,-1.468711,-1.510851,0.052867,-0.003038,-1.472498,0.046832,-0.003788,1.246754
26,-1.507812,-1.468711,-1.507536,0.052720,0.000276,-1.469066,0.046699,-0.000355,-1.285719
27,-1.507812,-1.468711,-1.507694,0.052736,0.000118,-1.469263,0.046709,-0.000552,-4.666677
28,-1.507812,-1.468711,-1.507812,0.052718,0.000000,-1.468711,0.046700,-0.000000,nan
