task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
word_length,preimage_matched,cue1,0,-0.04195373132824898,0.00418772515489976,170,-0.03430928662419319,0.007369159969137492,40
word_length,preimage_matched,cue1,1,-0.04238859936594963,0.0038374247378447873,170,-0.037940043956041336,0.006802974986510053,40
word_length,preimage_matched,cue1,2,-0.03150108456611633,0.002755915796988062,170,-0.03197692334651947,0.005068873852762514,40
word_length,preimage_matched,cue1,3,-0.021352458745241165,0.0017435491602840005,170,-0.01970677450299263,0.003207912217360976,40
word_length,preimage_matched,cue1,4,-0.021627862006425858,0.0017699812429242884,170,-0.019911866635084152,0.003236471152118852,40
word_length,preimage_matched,cue1,5,-0.021589050069451332,0.0017456460353157217,170,-0.020864149555563927,0.0032457234800762147,40
word_length,preimage_matched,cue1,6,-0.022863605991005898,0.001641865007081685,170,-0.020920852199196815,0.002851452558634906,40
word_length,preimage_matched,cue1,7,-0.019258012995123863,0.0011865530512949422,170,-0.02133099175989628,0.0030534899920028205,40
word_length,preimage_matched,cue1,8,-0.018021654337644577,0.0010582900999149647,170,-0.018004408106207848,0.0023428805169293924,40
word_length,preimage_matched,cue1,9,-0.01816340535879135,0.0011038999175929515,170,-0.01901315152645111,0.0025189780934782146,40
word_length,preimage_matched,cue1,10,-0.015182947739958763,0.000942719328243105,170,-0.016226941719651222,0.002338838660904219,40
word_length,preimage_matched,cue1,11,-0.012226522900164127,0.0006721405913098719,170,-0.012107977643609047,0.0013464350421042892,40
word_length,preimage_matched,cue1,12,-0.01218931283801794,0.000715264030633206,170,-0.011745980009436607,0.0016996690794287479,40
word_length,preimage_matched,cue1,13,-0.009525389410555363,0.0006128585855631185,170,-0.009651881642639637,0.001413743695874709,40
word_length,preimage_matched,cue1,14,-0.00466115353628993,0.00044343853306360643,170,-0.004052904434502125,0.0009167047416371199,40
word_length,preimage_matched,cue1,15,-0.004632283467799425,0.0004040990545934345,170,-0.004160964395850897,0.000739285256696503,40
word_length,preimage_matched,cue1,16,-0.00417891051620245,0.0003698199050082351,170,-0.0035096555948257446,0.0007890806490322862,40
word_length,preimage_matched,cue1,17,-0.003146647708490491,0.00036708691740685207,170,-0.0026238858699798584,0.0007805762293652124,40
word_length,preimage_matched,cue1,18,-0.0023739184252917767,0.00033713209042760716,170,-0.0017908781301230192,0.0007389977412531501,40
word_length,preimage_matched,cue1,19,-0.0021194485016167164,0.00033497217914382527,170,-0.0017646938795223832,0.0006614165030596717,40
word_length,preimage_matched,cue1,20,-0.001552283763885498,0.00031768371022383686,170,-0.0015036046970635653,0.0006094450863524226,40
word_length,preimage_matched,cue1,21,-0.0011765157105401158,0.00031081186588446046,170,-0.0008017361396923661,0.0005589286229553138,40
word_length,preimage_matched,cue1,22,-0.0009645251557230949,0.00028121707769106474,170,-0.0010162830585613847,0.0005365007617547139,40
word_length,preimage_matched,cue1,23,-0.00048629887169227004,0.0002733066887773693,170,-0.001078790402971208,0.000543699323828111,40
word_length,preimage_matched,cue1,24,2.1683468730770983e-05,0.00025307946264339296,170,0.0002341628132853657,0.00045753528947858326,40
word_length,preimage_matched,cue1,25,-4.7482462832704186e-05,0.00022795405186487214,170,3.91155481338501e-05,0.0004444823092329034,40
word_length,preimage_matched,cue1,26,5.1044717110926285e-05,0.00020753257407369572,170,0.00044912099838256836,0.0004658263734229643,40
word_length,preimage_matched,cue1,27,0.0,0.0,170,0.0,0.0,40
word_length,preimage_matched,target1,0,-0.4543049931526184,0.0291702854290198,170,-0.5162408351898193,0.057147405340369675,40
word_length,preimage_matched,target1,1,-0.3411518931388855,0.024296063274618467,170,-0.3958958685398102,0.047836114113472585,40
word_length,preimage_matched,target1,2,-0.2378246933221817,0.021734603708004313,170,-0.24498727917671204,0.047050766526670486,40
word_length,preimage_matched,target1,3,-0.1797499656677246,0.018446148224955588,170,-0.17716297507286072,0.03740933894996091,40
word_length,preimage_matched,target1,4,-0.05601770058274269,0.012572967833954245,170,-0.052958983927965164,0.022809165433242334,40
word_length,preimage_matched,target1,5,-0.05040564760565758,0.013021255086954687,170,-0.04606166481971741,0.025769870326230664,40
word_length,preimage_matched,target1,6,-0.028590308502316475,0.011797640076619553,170,-0.026070985943078995,0.023328193465509035,40
word_length,preimage_matched,target1,7,-0.025676684454083443,0.010114181143263117,170,-0.02383730374276638,0.02052305349690084,40
word_length,preimage_matched,target1,8,-0.03213487192988396,0.009871662502859088,170,-0.038772162050008774,0.020373239764917932,40
word_length,preimage_matched,target1,9,-0.025311745703220367,0.009700483899642738,170,-0.030998844653367996,0.02016221035048323,40
word_length,preimage_matched,target1,10,-0.012599129229784012,0.009305359957332083,170,-0.016931110993027687,0.01943478346761284,40
word_length,preimage_matched,target1,11,-0.03434845805168152,0.009711535422496939,170,-0.040875308215618134,0.020062602336973316,40
word_length,preimage_matched,target1,12,-0.0297545175999403,0.00983767707006536,170,-0.038300029933452606,0.0204212024947952,40
word_length,preimage_matched,target1,13,-0.023572590202093124,0.009565662178022854,170,-0.022915229201316833,0.019763627507294285,40
word_length,preimage_matched,target1,14,-0.06455199420452118,0.00993602419479881,170,-0.06374330818653107,0.019634592048867777,40
word_length,preimage_matched,target1,15,-0.06579692661762238,0.009440187393286432,170,-0.06526101380586624,0.01838961793029835,40
word_length,preimage_matched,target1,16,-0.061906445771455765,0.007794853356609755,170,-0.06221499294042587,0.014883540491405617,40
word_length,preimage_matched,target1,17,-0.056165654212236404,0.007573088036113628,170,-0.050701040774583817,0.014484983565101707,40
word_length,preimage_matched,target1,18,-0.061317164450883865,0.007683216404212387,170,-0.05789698287844658,0.014848437248666439,40
word_length,preimage_matched,target1,19,-0.05931214615702629,0.007357506196941456,170,-0.05624968931078911,0.01382966688071949,40
word_length,preimage_matched,target1,20,-0.09151160717010498,0.005346692470855228,170,-0.09285630285739899,0.010911153498527306,40
word_length,preimage_matched,target1,21,-0.0921943411231041,0.0053120361751953765,170,-0.09193570911884308,0.01038037333693763,40
word_length,preimage_matched,target1,22,-0.06537359207868576,0.0038101336478761345,170,-0.0646105408668518,0.007624083162499027,40
word_length,preimage_matched,target1,23,-0.0662166178226471,0.0037766542193992314,170,-0.06656578928232193,0.007211376205986322,40
word_length,preimage_matched,target1,24,-0.06899973005056381,0.003502933884235819,170,-0.07244940102100372,0.007086114010412812,40
word_length,preimage_matched,target1,25,-0.014242895878851414,0.000940270164491652,170,-0.014181399717926979,0.0015970125923166364,40
word_length,preimage_matched,target1,26,0.00044085067929700017,0.0002028227838935253,170,0.0010490923887118697,0.00048089406015627226,40
word_length,preimage_matched,target1,27,0.0,0.0,170,0.0,0.0,40
word_length,preimage_matched,final_cue,0,-0.40181058645248413,0.03154137308581849,170,-0.39632171392440796,0.06309718233505697,40
word_length,preimage_matched,final_cue,1,-0.42778363823890686,0.03196681900109773,170,-0.42041024565696716,0.06411669604638832,40
word_length,preimage_matched,final_cue,2,-0.39628705382347107,0.03011608321209725,170,-0.3860172629356384,0.06054969390098032,40
word_length,preimage_matched,final_cue,3,-0.4033558666706085,0.030310320297744452,170,-0.3941839635372162,0.06095993934243485,40
word_length,preimage_matched,final_cue,4,-0.40732601284980774,0.03037589114285685,170,-0.3985861837863922,0.06099891362536601,40
word_length,preimage_matched,final_cue,5,-0.41013067960739136,0.030336992525290606,170,-0.4005599915981293,0.061414460247850355,40
word_length,preimage_matched,final_cue,6,-0.40277567505836487,0.03014883777724734,170,-0.39385557174682617,0.061072578836956264,40
word_length,preimage_matched,final_cue,7,-0.40601491928100586,0.03020519940093687,170,-0.3971625864505768,0.06117137400270827,40
word_length,preimage_matched,final_cue,8,-0.47262609004974365,0.03173601703207955,170,-0.47224363684654236,0.06742275285678492,40
word_length,preimage_matched,final_cue,9,-0.472311407327652,0.031835835026504146,170,-0.4725836217403412,0.06687134049862722,40
word_length,preimage_matched,final_cue,10,-0.4725435972213745,0.031244536267729408,170,-0.4761548638343811,0.06897994768936654,40
word_length,preimage_matched,final_cue,11,-0.46549341082572937,0.03034413544337114,170,-0.47709980607032776,0.0659701350113985,40
word_length,preimage_matched,final_cue,12,-0.3768738806247711,0.027987043334542726,170,-0.3635322153568268,0.05957880026597393,40
word_length,preimage_matched,final_cue,13,-0.40697649121284485,0.0281872598997735,170,-0.40174588561058044,0.05767715118263842,40
word_length,preimage_matched,final_cue,14,-0.4741289019584656,0.030136172526340387,170,-0.464650958776474,0.059858320939313786,40
word_length,preimage_matched,final_cue,15,-0.4179801344871521,0.02741947049246428,170,-0.42072564363479614,0.05381674162567292,40
word_length,preimage_matched,final_cue,16,-0.3705202043056488,0.023053906391813157,170,-0.38841405510902405,0.04587133149819272,40
word_length,preimage_matched,final_cue,17,-0.36903902888298035,0.021833813697241897,170,-0.3823527693748474,0.04096419078844859,40
word_length,preimage_matched,final_cue,18,-0.3082871735095978,0.020500350892630203,170,-0.31181779503822327,0.03659378641169118,40
word_length,preimage_matched,final_cue,19,-0.2587457001209259,0.01895571828648632,170,-0.2602829933166504,0.033818545104091116,40
word_length,preimage_matched,final_cue,20,-0.2329443097114563,0.016829984722852912,170,-0.23188605904579163,0.030832196631401246,40
word_length,preimage_matched,final_cue,21,-0.20083588361740112,0.015496553918514221,170,-0.2009025514125824,0.027858613402631162,40
word_length,preimage_matched,final_cue,22,-0.18512201309204102,0.015103948283402039,170,-0.19005897641181946,0.027203879848162225,40
word_length,preimage_matched,final_cue,23,-0.17161141335964203,0.014600287986574414,170,-0.17233280837535858,0.02705386820542087,40
word_length,preimage_matched,final_cue,24,-0.14058005809783936,0.014356081331769592,170,-0.13328397274017334,0.025877121464745335,40
word_length,preimage_matched,final_cue,25,-0.07936715334653854,0.012639055254902226,170,-0.06964275985956192,0.021304101236867646,40
word_length,preimage_matched,final_cue,26,-0.05689609795808792,0.01174181102890211,170,-0.04981280118227005,0.021392322313525527,40
word_length,preimage_matched,final_cue,27,-0.02673489972949028,0.005547940473456833,170,-0.020517632365226746,0.011795646129029383,40
word_length,preimage_icl10,cue1,0,-0.04343177005648613,0.011191152616838364,170,-0.046875305473804474,0.02412391958672727,40
word_length,preimage_icl10,cue1,1,-0.011376235634088516,0.00320140245466749,170,-0.009391948580741882,0.008317295633982901,40
word_length,preimage_icl10,cue1,2,-0.009856860153377056,0.0027520726213440126,170,-0.010918733663856983,0.006460854433449507,40
word_length,preimage_icl10,cue1,3,5.4979325796011835e-05,0.0027127237142219743,170,-0.0013088047271594405,0.006331556272051967,40
word_length,preimage_icl10,cue1,4,0.0030443009454756975,0.002249596477475778,170,0.0033019811380654573,0.005470384125920143,40
word_length,preimage_icl10,cue1,5,-0.004774775356054306,0.002024688701599301,170,-0.005028360988944769,0.005214891939128076,40
word_length,preimage_icl10,cue1,6,-0.0055676475167274475,0.002035411507363435,170,-0.0047422437928617,0.004864788396456749,40
word_length,preimage_icl10,cue1,7,-0.0038962482940405607,0.002031057327359904,170,-0.0025755823589861393,0.004959314344419417,40
word_length,preimage_icl10,cue1,8,-0.0032796950545161963,0.0018341535046765168,170,-0.004063042812049389,0.004582710786800181,40
word_length,preimage_icl10,cue1,9,0.00047044403618201613,0.0019035516681548247,170,-0.0002346634864807129,0.004738486580381281,40
word_length,preimage_icl10,cue1,10,-0.0037444941699504852,0.0015835079377971798,170,-0.003161457134410739,0.0038717334686652954,40
word_length,preimage_icl10,cue1,11,0.0011302008060738444,0.0010205208491264363,170,0.00311466446146369,0.002649919031974881,40
word_length,preimage_icl10,cue1,12,0.006745769176632166,0.0009666378894400342,170,0.00790642760694027,0.00230425419763082,40
word_length,preimage_icl10,cue1,13,0.008722962811589241,0.0010010620402622684,170,0.010080483742058277,0.0024261838646519513,40
word_length,preimage_icl10,cue1,14,0.008345083333551884,0.0009337196800367187,170,0.009417611174285412,0.002123798608510408,40
word_length,preimage_icl10,cue1,15,0.008722009137272835,0.0009191179840381322,170,0.009198471903800964,0.00203046410098419,40
word_length,preimage_icl10,cue1,16,0.008285564370453358,0.0008456117855133485,170,0.008943244814872742,0.0018066295365169512,40
word_length,preimage_icl10,cue1,17,0.007249457761645317,0.000824146530960359,170,0.008071866817772388,0.0016955815743447066,40
word_length,preimage_icl10,cue1,18,0.007314819376915693,0.0007857958466400753,170,0.008228415623307228,0.0015992168528398373,40
word_length,preimage_icl10,cue1,19,0.007253340445458889,0.000784656622635411,170,0.007820037193596363,0.0016773064890195774,40
word_length,preimage_icl10,cue1,20,0.008785019628703594,0.000705621091224487,170,0.00905213039368391,0.0014199957026242277,40
word_length,preimage_icl10,cue1,21,0.006200090050697327,0.000645210290133467,170,0.006514316890388727,0.0013678435671831222,40
word_length,preimage_icl10,cue1,22,0.005400879308581352,0.0006353878491933841,170,0.005241960287094116,0.0012737090230864885,40
word_length,preimage_icl10,cue1,23,0.0059985569678246975,0.0005928488434273992,170,0.005985909607261419,0.0012763828798959135,40
