task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
word_length,preimage_matched,cue1,0,0.01354699395596981,0.0035889020462189845,170,0.01521967351436615,0.0071246447611978195,40
word_length,preimage_matched,cue1,1,-0.0024128800723701715,0.01281126129545528,170,0.002053558826446533,0.028514475519639336,40
word_length,preimage_matched,cue1,2,0.0006864421302452683,0.011989817716125773,170,0.002338927937671542,0.025921578346901557,40
word_length,preimage_matched,cue1,3,0.01726883463561535,0.004550046817367546,170,0.016152482479810715,0.010261705810565205,40
word_length,preimage_matched,cue1,4,0.009279701858758926,0.0019102227250669573,170,0.00830699224025011,0.004757757551464872,40
word_length,preimage_matched,cue1,5,-0.004409594926983118,0.003371533906093233,170,-0.00854954682290554,0.007218940402295748,40
word_length,preimage_matched,cue1,6,-0.004542086273431778,0.003224887797882835,170,0.000585386180318892,0.006238124723461898,40
word_length,preimage_matched,cue1,7,-0.004749995190650225,0.0027476842981920564,170,-0.004193061497062445,0.006452111018871005,40
word_length,preimage_matched,cue1,8,-0.004676810931414366,0.0034134534065740933,170,0.00025466381339356303,0.007256109927596322,40
word_length,preimage_matched,cue1,9,-0.007410640362650156,0.003090742367746816,170,-0.008255559019744396,0.007277152082163984,40
word_length,preimage_matched,cue1,10,-0.03129738196730614,0.0048641397826723,170,-0.035629503428936005,0.011521267601288443,40
word_length,preimage_matched,cue1,11,-0.03549505025148392,0.008304667991655567,170,-0.0393127016723156,0.021162309958843186,40
word_length,preimage_matched,cue1,12,-0.03300771117210388,0.011917191953683596,170,-0.0257545318454504,0.02527980323494993,40
word_length,preimage_matched,cue1,13,0.018304042518138885,0.01161212535109885,170,0.015940198674798012,0.023713233558227156,40
word_length,preimage_matched,cue1,14,-0.029130686074495316,0.011458134323084603,170,-0.024944758042693138,0.021635919828126928,40
word_length,preimage_matched,cue1,15,0.0008220616728067398,0.012950857914953637,170,0.011463585309684277,0.023811844949703464,40
word_length,preimage_matched,cue1,16,0.011118155904114246,0.006402818623737695,170,0.00811487715691328,0.01392214657280465,40
word_length,preimage_matched,cue1,17,0.01803351193666458,0.005966741760620837,170,0.020518656820058823,0.013455344598003415,40
word_length,preimage_matched,cue1,18,0.01999702677130699,0.005278889606701026,170,0.019911259412765503,0.0126673664473703,40
word_length,preimage_matched,cue1,19,0.008457883261144161,0.003938029310408411,170,0.009002837352454662,0.009712528783741741,40
word_length,preimage_matched,cue1,20,0.0302825178951025,0.00859736934589274,170,0.02307855151593685,0.01830349965544896,40
word_length,preimage_matched,cue1,21,0.032471947371959686,0.008256404151335578,170,0.025752907618880272,0.016608507101218677,40
word_length,preimage_matched,cue1,22,0.018976837396621704,0.00865805043500393,170,0.01160417776554823,0.017987254756015036,40
word_length,preimage_matched,cue1,23,0.01564849726855755,0.00676874917413649,170,0.011499205604195595,0.013133598250700774,40
word_length,preimage_matched,cue1,24,-0.03491881489753723,0.006783514442959121,170,-0.038383159786462784,0.011852053051267025,40
word_length,preimage_matched,cue1,25,-0.05755423381924629,0.0074829581243400205,170,-0.06648389995098114,0.014722311549605184,40
word_length,preimage_matched,cue1,26,-0.015175278298556805,0.010071549922424712,170,-0.024130508303642273,0.0216717416754057,40
word_length,preimage_matched,cue1,27,-0.005686623975634575,0.0016855199509393916,170,-0.0070790499448776245,0.003961631485588939,40
