icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
3,pre_label_token,0,4096,4096,0.1,0.21920011937618256,True,3400,1190,0.19782809913158417,0.2171173656688017,810.3038940429688,889.3127494747899
3,pre_label_token,1,4096,4096,31622.776601683792,0.1789545863866806,False,3400,1190,0.04795074835419655,0.2012060694333886,196.40626525878906,824.1400669642857
3,pre_label_token,2,4096,4096,3162.2776601683795,0.17798855900764465,False,3400,1190,0.019251704216003418,0.20352543742716814,78.85498046875,833.6402179621849
3,pre_label_token,3,4096,4096,1000.0,0.1607830971479416,False,3400,1190,0.0093262093141675,0.19553156299751345,38.20015335083008,800.8972820378151
3,pre_label_token,4,4096,4096,3162.2776601683795,0.13753965497016907,False,3400,1190,0.009437846951186657,0.1822933725950097,38.65742111206055,746.6736475840336
3,pre_label_token,5,4096,4096,1000.0,0.13493727147579193,False,3400,1190,0.004330385942012072,0.17180962442349987,17.737260818481445,703.7322216386555
3,pre_label_token,6,4096,4096,3162.2776601683795,0.12556931376457214,False,3400,1190,0.005754653364419937,0.16589756973651276,23.571060180664062,679.5164587710084
3,pre_label_token,7,4096,4096,1000.0,0.1210327073931694,False,3400,1190,0.0031947342213243246,0.16358789716448102,13.08563232421875,670.0560267857143
3,pre_label_token,8,4096,4096,3162.2776601683795,0.12029664218425751,False,3400,1190,0.004708301741629839,0.15979928810055516,19.285202026367188,654.5378807773109
3,pre_label_token,9,4096,4096,10000.0,0.11390511691570282,False,3400,1190,0.0063215927220880985,0.14651943575434323,25.89324378967285,600.143615414916
3,pre_label_token,10,4096,4096,10000.0,0.11159875988960266,False,3400,1190,0.006113274488598108,0.14403722105907793,25.03997230529785,589.9764705882353
3,pre_label_token,11,4096,4096,10000.0,0.1105962023139,False,3400,1190,0.005928449798375368,0.1435824546493402,24.282930374145508,588.1137408088235
3,pre_label_token,12,4096,4096,10000.0,0.10958921909332275,False,3400,1190,0.0055078789591789246,0.14216558071745544,22.560272216796875,582.3102054884454
3,pre_label_token,13,4096,4096,10000.0,0.10945876687765121,False,3400,1190,0.005009905900806189,0.14041398953990775,20.52057456970215,575.1356945903361
3,pre_label_token,14,4096,4096,10000.0,0.11050847917795181,False,3400,1190,0.005261859856545925,0.14053299607349043,21.55257797241211,575.6231650472689
3,pre_label_token,15,4096,4096,10000.0,0.11123721301555634,False,3400,1190,0.0051056453958153725,0.14124579309415417,20.912723541259766,578.5427619485295
3,pre_label_token,16,4096,4096,10000.0,0.1115293949842453,False,3400,1190,0.005023356061428785,0.14070683246901056,20.575666427612305,576.3351857930672
3,pre_label_token,17,4096,4096,10000.0,0.11288241297006607,False,3400,1190,0.0054017361253499985,0.1417618118414358,22.12550926208496,580.6563747373949
3,pre_label_token,18,4096,4096,10000.0,0.11397190392017365,False,3400,1190,0.0053691198118031025,0.14305808323772012,21.991914749145508,585.9659007352941
3,pre_label_token,19,4096,4096,10000.0,0.11558423936367035,False,3400,1190,0.0055370754562318325,0.14534748381927234,22.679859161376953,595.343295365021
3,pre_label_token,20,4096,4096,3162.2776601683795,0.11779602617025375,False,3400,1190,0.0035178582184016705,0.14893274547673074,14.40914535522461,610.0285057773109
3,pre_label_token,21,4096,4096,3162.2776601683795,0.12024474889039993,False,3400,1190,0.0036339550279080868,0.15065180353757715,14.884679794311523,617.0697971376051
3,pre_label_token,22,4096,4096,3162.2776601683795,0.12214212864637375,False,3400,1190,0.0037158557679504156,0.15099493235099215,15.220145225524902,618.4752363445378
3,pre_label_token,23,4096,4096,3162.2776601683795,0.12375025451183319,False,3400,1190,0.003763863118365407,0.15130807732333657,15.41678524017334,619.7578912815126
3,pre_label_token,24,4096,4096,3162.2776601683795,0.12503297626972198,False,3400,1190,0.0037953981664031744,0.15212402904734892,15.545950889587402,623.1000262605043
3,pre_label_token,25,4096,4096,3162.2776601683795,0.12536369264125824,False,3400,1190,0.0038125133141875267,0.15281196482041304,15.61605453491211,625.9177816439076
3,pre_label_token,26,4096,4096,3162.2776601683795,0.12563644349575043,False,3400,1190,0.003769778413698077,0.15389107055022938,15.441012382507324,630.3378397452731
