icl_example_index,token_role,layer,test_mse,test_mse_seed0,test_mse_seed1,test_mse_seed2,test_r2,test_r2_seed0,test_r2_seed1,test_r2_seed2,test_r2_testmean_baseline,test_r2_testmean_baseline_seed0,test_r2_testmean_baseline_seed1,test_r2_testmean_baseline_seed2,train_mse,train_mse_seed0,train_mse_seed1,train_mse_seed2,train_r2,train_r2_seed0,train_r2_seed1,train_r2_seed2
1,pre_label_token,0,0.2171173656688017,0.2171173656688017,0.2171173656688017,0.2171173656688017,8.478048341142852e-08,8.478048341142852e-08,8.478048341142852e-08,8.478048341142852e-08,-0.1416727984516628,-0.1416727984516628,-0.1416727984516628,-0.1416727984516628,0.19782809913158417,0.19782809913158417,0.19782809913158417,0.19782809913158417,0.0,0.0,0.0,0.0
1,pre_label_token,1,0.21689031638351142,0.21655577651592864,0.21781356074229008,0.21630161189231553,0.0010458291655146927,0.0025866540469783317,-0.003206452901659551,0.0037572863512252974,-0.14047890043191988,-0.13871978242843652,-0.1453336156109415,-0.1373833032563816,0.19739756484826407,0.19735370576381683,0.19741304218769073,0.1974259465932846,0.0021763050103097057,0.002398008017313047,0.0020980687056865177,0.002032838307929552
1,pre_label_token,2,0.216881341693782,0.21684375089757582,0.2176594565896427,0.21614081759412748,0.0010871648225722434,0.0012603006420098817,-0.002496679461347018,0.004497873287053866,-0.1404317086326501,-0.14023404416040242,-0.14452328651237312,-0.13653779522517473,0.19750934342543283,0.19764961302280426,0.19742929935455322,0.19744911789894104,0.0016112761915551,0.0009022282959975092,0.0020158904563182256,0.001915709822349565
1,pre_label_token,3,0.21696574160364826,0.21652680725610557,0.2176716844574744,0.21669873309736493,0.0006984354252214109,0.002720080764264554,-0.0025529986173820074,0.001928224128781686,-0.14087551044918975,-0.13856745276180926,-0.14458758456630139,-0.13947149401945858,0.19750374555587769,0.19740305840969086,0.19742123782634735,0.19768694043159485,0.0016395728267637837,0.0021485356415955614,0.002056640623970152,0.0007135422147256376
1,pre_label_token,4,0.21700874403411272,0.216542351346056,0.21770841614538883,0.2167754646108932,0.0005003746819632893,0.0026484877409026497,-0.002722177552872296,0.0015748138578595139,-0.14110163103137938,-0.13864918857607011,-0.1447807315713967,-0.13987497294667128,0.19748331109682718,0.19737157225608826,0.1973964124917984,0.1976819485425949,0.0017428668438432826,0.002307694799171367,0.002182130049678266,0.000738775682680215
1,pre_label_token,5,0.21682354903020776,0.21649775625276965,0.21774432719254694,0.21622856364530676,0.001353346472743359,0.0028538839761056423,-0.0028875767783231865,0.004093732220447621,-0.14012781625743873,-0.13841469326155398,-0.14496956338398825,-0.13699919212677392,0.19737761716047922,0.19735902547836304,0.1973768025636673,0.19739702343940735,0.0022771384504144767,0.0023711174260898638,0.0022812561506577733,0.0021790417744957935
1,pre_label_token,6,0.2168436654141637,0.21657873682615136,0.21771011031976267,0.2162421490965771,0.0012606943618056847,0.0024809033705852634,-0.00272998058707441,0.0040311603019062,-0.14023359466118332,-0.13884051510932793,-0.14478964008404605,-0.13707062879017595,0.1973861108223597,0.19736535847187042,0.1973823755979538,0.19741059839725494,0.002234203892999368,0.002339104817490889,0.002253085055090698,0.002110421806416518
1,pre_label_token,7,0.2170155004292977,0.2165670042278386,0.21774256409717208,0.2167369329628824,0.00046925605360581546,0.002534941412553726,-0.0028794563075356105,0.0017522830557993307,-0.14113715832591223,-0.13877882134150066,-0.14496029246259345,-0.13967236117364257,0.19747507572174072,0.1973663568496704,0.1973809003829956,0.19767796993255615,0.0017844957889861697,0.0023340581238999736,0.002260542109799646,0.0007588871332588898
1,pre_label_token,8,0.21701789877327884,0.21656665160876362,0.2177500604581432,0.2167369842529297,0.0004582097525859992,0.002536565506711219,-0.002913983072875048,0.0017520468239218268,-0.14114976958837935,-0.13877696715722165,-0.14499971073474205,-0.13967263087317439,0.19747111201286316,0.1973615139722824,0.19737361371517181,0.19767820835113525,0.0018045319157798574,0.002358538354005013,0.002297375440634686,0.0007576819526998735
1,pre_label_token,9,0.2170369963018166,0.21655912158869894,0.21782851179106896,0.21672335552568195,0.0003702502894639877,0.002571247299220425,-0.003275314493938364,0.001814818063109902,-0.14125019052330576,-0.13873737189475532,-0.14541223302436967,-0.13960096665079225,0.19746297101179758,0.19735218584537506,0.1973598301410675,0.1976768970489502,0.0018456838102847521,0.0024056910433767342,0.0023670499417031143,0.0007643104457744077
1,pre_label_token,10,0.21705785318583,0.2166014711396033,0.21782525006462547,0.21674683835326122,0.0002741875807954856,0.0023761935909024645,-0.0032602916229813594,0.0017066607744653517,-0.1413598627140363,-0.13896005942665868,-0.14539508181978933,-0.13972444689566088,0.197455162803332,0.19733640551567078,0.1973530352115631,0.19767604768276215,0.0018851534735927489,0.0024854589316269937,0.0024013975876352456,0.0007686039015160073
1,pre_label_token,11,0.217049784620269,0.21661255620106928,0.21827192386659253,0.21626487379314518,0.00031134980801802065,0.002325137976387004,-0.00531758336803323,0.003926494815700288,-0.14131743560648946,-0.13901834823790105,-0.14774383604272256,-0.13719012253884477,0.19711441298325857,0.19733558595180511,0.19660711288452148,0.1974005401134491,0.0036076075717175935,0.002489601739798619,0.006171955614103886,0.0021612653612502752
1,pre_label_token,12,0.21705205527340332,0.21661993235099217,0.2182662931810908,0.21626994028812696,0.00030089162594304497,0.002291164879510088,-0.005291649537236154,0.0039031595355552007,-0.14132937542949797,-0.1390571344017728,-0.14771422809103196,-0.13721676379568915,0.19711236655712128,0.1973380744457245,0.1966012716293335,0.19739775359630585,0.0036179520381825294,0.0024770226677138796,0.006201482537799952,0.0021753509090337575
1,pre_label_token,13,0.21706874590961875,0.21665872205205325,0.2182243667730764,0.21632314890372653,0.00022401783582052617,0.0021125071399369366,-0.005098544741907185,0.003658091109431827,-0.14141714015203552,-0.13926110310056905,-0.14749376558026328,-0.1374965517752742,0.19710545241832733,0.19733546674251556,0.19658377766609192,0.1973971128463745,0.0036529022743941875,0.002490204330078183,0.0062899126613181755,0.002178589831786204
