icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
3,pre_label_token,0,4096,4096,0.1,0.21920008957386017,True,3400,1190,0.19782809913158417,0.21711736246317376,810.303955078125,889.3127494747899
3,pre_label_token,1,4096,4096,3162277.6601683795,0.21834507584571838,False,3400,1190,0.17223726212978363,0.22552811758858818,705.4838256835938,923.7632024684874
3,pre_label_token,2,4096,4096,10000000.0,0.21866610646247864,False,3400,1190,0.1853996366262436,0.22109253506700532,759.3969116210938,905.5950236344538
3,pre_label_token,3,4096,4096,10000000.0,0.2186833918094635,False,3400,1190,0.18529726564884186,0.22107931666013572,758.9776000976562,905.540894170168
3,pre_label_token,4,4096,4096,10000000.0,0.21866372227668762,False,3400,1190,0.185484379529953,0.220842313365776,759.7439575195312,904.5700958508403
3,pre_label_token,5,4096,4096,10000000.0,0.21864210069179535,False,3400,1190,0.18498678505420685,0.22153000871674353,757.7059326171875,907.3869485294117
3,pre_label_token,6,4096,4096,10000000.0,0.21872062981128693,False,3400,1190,0.18465489149093628,0.22148643942440258,756.346435546875,907.208455882353
3,pre_label_token,7,4096,4096,3162277.6601683795,0.21863919496536255,False,3400,1190,0.1638820469379425,0.23065033920672762,671.2608642578125,944.7437959558823
3,pre_label_token,8,4096,4096,3162277.6601683795,0.21857038140296936,False,3400,1190,0.16398747265338898,0.22909106406844965,671.6927490234375,938.3569852941176
3,pre_label_token,9,4096,4096,3162277.6601683795,0.21743252873420715,False,3400,1190,0.16203738749027252,0.22801527936919397,663.7052001953125,933.9505908613445
3,pre_label_token,10,4096,4096,1000000.0,0.21573731303215027,False,3400,1190,0.12348702549934387,0.23977799615940126,505.8028259277344,982.1306788340336
3,pre_label_token,11,4096,4096,1000000.0,0.21528635919094086,False,3400,1190,0.12319163233041763,0.23978527133204355,504.5929260253906,982.1604516806723
3,pre_label_token,12,4096,4096,1000000.0,0.21433280408382416,False,3400,1190,0.12239007651805878,0.24096158612676027,501.30975341796875,986.9786699054622
3,pre_label_token,13,4096,4096,1000000.0,0.21405622363090515,False,3400,1190,0.12009395658969879,0.2393666531859326,491.90484619140625,980.445837710084
3,pre_label_token,14,4096,4096,1000000.0,0.21523432433605194,False,3400,1190,0.12262669950723648,0.23858735541335674,502.2789611816406,977.2538077731092
3,pre_label_token,15,4096,4096,1000000.0,0.2149796187877655,False,3400,1190,0.12222328037023544,0.23727553391656955,500.62652587890625,971.880600052521
3,pre_label_token,16,4096,4096,1000000.0,0.21444498002529144,False,3400,1190,0.1213950514793396,0.2381217459670636,497.2341003417969,975.3466911764706
3,pre_label_token,17,4096,4096,1000000.0,0.21512071788311005,False,3400,1190,0.12555570900440216,0.23583981810497637,514.2761840820312,965.9999080882353
