icl_example_index,token_role,k,feature_dim,target_dim,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
1,pre_label_token,1,2,2,2600,1170,66.94470977783203,44.72864532470703,133.88941955566406,89.45730590820312
1,pre_label_token,2,4,4,2600,1170,52.18901443481445,39.52470016479492,208.7560577392578,158.0988006591797
1,pre_label_token,3,6,6,2600,1170,40.79081726074219,30.53327178955078,244.74493408203125,183.1996307373047
1,pre_label_token,4,8,8,2600,1170,35.2264404296875,27.906869888305664,281.8114929199219,223.2549591064453
1,pre_label_token,5,10,10,2600,1170,33.7028923034668,24.276020050048828,337.0289306640625,242.76014709472656
1,pre_label_token,6,12,12,2600,1170,28.934322357177734,26.00068473815918,347.2119140625,312.00823974609375
1,pre_label_token,7,14,14,2600,1170,25.50263023376465,23.906715393066406,357.0368347167969,334.6939697265625
1,pre_label_token,8,16,16,2600,1170,22.78337860107422,21.067241668701172,364.5340270996094,337.07586669921875
1,pre_label_token,9,18,18,2600,1170,20.54677391052246,19.771501541137695,369.8419189453125,355.88702392578125
1,pre_label_token,10,20,20,2600,1170,19.170650482177734,18.584375381469727,383.4129943847656,371.6875
1,first_label_token,1,2,2,2600,1170,67.77767181396484,52.7406120300293,135.5553436279297,105.48121643066406
1,first_label_token,2,4,4,2600,1170,42.02668762207031,25.690898895263672,168.10675048828125,102.76359558105469
1,first_label_token,3,6,6,2600,1170,26.978008270263672,18.99936866760254,161.86807250976562,113.99620819091797
1,first_label_token,4,8,8,2600,1170,23.789674758911133,18.056034088134766,190.31739807128906,144.44827270507812
1,first_label_token,5,10,10,2600,1170,22.78580093383789,17.40685272216797,227.8579864501953,174.06854248046875
1,first_label_token,6,12,12,2600,1170,20.734928131103516,17.111719131469727,248.8191375732422,205.3406219482422
1,first_label_token,7,14,14,2600,1170,19.22995376586914,15.375483512878418,269.2193298339844,215.25677490234375
1,first_label_token,8,16,16,2600,1170,15.761634826660156,13.619649887084961,252.1861572265625,217.91439819335938
1,first_label_token,9,18,18,2600,1170,12.980615615844727,12.764066696166992,233.6510772705078,229.75320434570312
1,first_label_token,10,20,20,2600,1170,10.815401077270508,11.725050926208496,216.3080291748047,234.5010223388672
1,last_label_token,1,2,2,2600,1170,68.39047241210938,57.7027587890625,136.78094482421875,115.40550231933594
1,last_label_token,2,4,4,2600,1170,32.54708480834961,25.88552474975586,130.18833923339844,103.54209899902344
1,last_label_token,3,6,6,2600,1170,22.386314392089844,20.158525466918945,134.31787109375,120.95113372802734
1,last_label_token,4,8,8,2600,1170,21.033092498779297,20.25518798828125,168.26475524902344,162.04150390625
1,last_label_token,5,10,10,2600,1170,17.389341354370117,17.729785919189453,173.8934326171875,177.29788208007812
1,last_label_token,6,12,12,2600,1170,14.936123847961426,16.71543312072754,179.23348999023438,200.58518981933594
1,last_label_token,7,14,14,2600,1170,12.121349334716797,13.165807723999023,169.6988983154297,184.32131958007812
1,last_label_token,8,16,16,2600,1170,10.222217559814453,11.148445129394531,163.55548095703125,178.3751220703125
1,last_label_token,9,18,18,2600,1170,8.719672203063965,10.780635833740234,156.95408630371094,194.0514373779297
1,last_label_token,10,20,20,2600,1170,7.908453941345215,9.989311218261719,158.16908264160156,199.78622436523438
