icl_example_index,token_role,k,feature_dim,target_dim,best_alpha,cv_mse,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
3,pre_label_token,1,2,2,0.01,25.216400662935698,2600,1170,20.681297302246094,17.8137149810791,41.36259460449219,35.62743377685547
3,pre_label_token,2,4,4,0.01,16.475467364971454,2600,1170,12.817604064941406,12.63239860534668,51.270408630371094,50.52959442138672
3,pre_label_token,3,6,6,3.1622776601683795,15.895755740434696,2600,1170,11.120074272155762,10.724031448364258,66.7204360961914,64.34419250488281
3,pre_label_token,4,8,8,100.0,16.908358224722054,2600,1170,9.259676933288574,9.120116233825684,74.07740783691406,72.96092224121094
3,pre_label_token,5,10,10,31.622776601683793,12.033240309495193,2600,1170,6.526154518127441,7.488154888153076,65.26155090332031,74.88155364990234
3,pre_label_token,6,12,12,100.0,16.94906572390825,2600,1170,5.576900005340576,6.843140602111816,66.92279815673828,82.11768341064453
3,pre_label_token,7,14,14,316.22776601683796,14.924511383391998,2600,1170,5.3488664627075195,6.128826141357422,74.88412475585938,85.8035659790039
3,pre_label_token,8,16,16,100.0,14.054275230994591,2600,1170,4.1142497062683105,5.89544153213501,65.82799530029297,94.32706451416016
3,pre_label_token,9,18,18,100.0,15.685279634915865,2600,1170,3.742831230163574,5.8510942459106445,67.37096405029297,105.3197021484375
3,pre_label_token,10,20,20,100.0,14.221444655198317,2600,1170,3.135307788848877,5.315703868865967,62.706146240234375,106.31407928466797
3,first_label_token,1,2,2,3.1622776601683795,27.79554133488582,2600,1170,23.317811965942383,18.283357620239258,46.635623931884766,36.566715240478516
3,first_label_token,2,4,4,100.0,18.1958646099384,2600,1170,14.32490062713623,12.999831199645996,57.29960250854492,51.999324798583984
3,first_label_token,3,6,6,100.0,13.376808831630608,2600,1170,9.427351951599121,11.005285263061523,56.564109802246094,66.03170776367188
3,first_label_token,4,8,8,3.1622776601683795,12.595374838022085,2600,1170,7.910626411437988,10.373605728149414,63.28500747680664,82.98884582519531
3,first_label_token,5,10,10,31.622776601683793,11.797471125676081,2600,1170,6.836193084716797,8.801122665405273,68.36192321777344,88.01123046875
3,first_label_token,6,12,12,31.622776601683793,14.457392327724358,2600,1170,5.826612949371338,7.444335460662842,69.91935729980469,89.33203125
3,first_label_token,7,14,14,100.0,14.684885629507212,2600,1170,5.233491897583008,6.575072765350342,73.26889038085938,92.05101776123047
3,first_label_token,8,16,16,100.0,16.73849611722506,2600,1170,4.738551616668701,6.056733131408691,75.81682586669922,96.9077377319336
3,first_label_token,9,18,18,316.22776601683796,21.695614399706198,2600,1170,4.833059310913086,5.54326868057251,86.99507141113281,99.7788314819336
3,first_label_token,10,20,20,316.22776601683796,19.52840978064904,2600,1170,4.115048885345459,5.1404643058776855,82.30097198486328,102.80928802490234
3,last_label_token,1,2,2,0.01,28.198537644606372,2600,1170,23.525634765625,22.214210510253906,47.05126953125,44.42841720581055
3,last_label_token,2,4,4,10.0,11.850054086538462,2600,1170,9.470617294311523,15.022772789001465,37.882469177246094,60.09109115600586
3,last_label_token,3,6,6,31.622776601683793,11.642899686373196,2600,1170,8.483930587768555,12.765082359313965,50.90358352661133,76.59049224853516
3,last_label_token,4,8,8,31.622776601683793,10.925655118502103,2600,1170,7.065245628356934,12.118732452392578,56.52197265625,96.94985961914062
3,last_label_token,5,10,10,31.622776601683793,12.762939997746395,2600,1170,6.186609745025635,10.388260841369629,61.86610412597656,103.88260650634766
3,last_label_token,6,12,12,31.622776601683793,14.320255189553285,2600,1170,5.218420505523682,8.272271156311035,62.62104415893555,99.26724243164062
3,last_label_token,7,14,14,100.0,13.361082012469952,2600,1170,4.517576694488525,6.873926162719727,63.246070861816406,96.23497009277344
3,last_label_token,8,16,16,316.22776601683796,16.685298450176532,2600,1170,4.469143867492676,6.174676895141602,71.50630950927734,98.79483032226562
3,last_label_token,9,18,18,316.22776601683796,16.122240355401978,2600,1170,3.9827330112457275,5.689156532287598,71.68919372558594,102.4048080444336
3,last_label_token,10,20,20,316.22776601683796,16.31148820612981,2600,1170,3.3885855674743652,5.212859153747559,67.77172088623047,104.25717163085938
