icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
2,pre_label_token,0,5,2600,1170,137633.03125,137442.640625
2,pre_label_token,1,5,2600,1170,33.17665100097656,27.443403244018555
2,pre_label_token,2,5,2600,1170,32.81180191040039,24.471599578857422
2,pre_label_token,3,5,2600,1170,31.14352798461914,25.168638229370117
2,pre_label_token,4,5,2600,1170,27.483509063720703,22.702470779418945
2,pre_label_token,5,5,2600,1170,24.518461227416992,22.080760955810547
2,pre_label_token,6,5,2600,1170,18.98836326599121,22.433504104614258
2,pre_label_token,7,5,2600,1170,15.135771751403809,17.20944595336914
2,pre_label_token,8,5,2600,1170,14.819015502929688,16.45547866821289
2,pre_label_token,9,5,2600,1170,13.110445022583008,14.828039169311523
2,pre_label_token,10,5,2600,1170,13.53775691986084,14.698481559753418
2,pre_label_token,11,5,2600,1170,13.523717880249023,15.71869945526123
2,pre_label_token,12,5,2600,1170,12.78381633758545,15.298830032348633
2,pre_label_token,13,5,2600,1170,11.788816452026367,15.052107810974121
2,pre_label_token,14,5,2600,1170,11.61685562133789,16.725603103637695
2,pre_label_token,15,5,2600,1170,11.852547645568848,16.94401741027832
2,pre_label_token,16,5,2600,1170,11.597392082214355,16.62344741821289
2,pre_label_token,17,5,2600,1170,12.194573402404785,17.132509231567383
2,pre_label_token,18,5,2600,1170,12.382381439208984,16.921512603759766
2,pre_label_token,19,5,2600,1170,13.066323280334473,17.691198348999023
2,pre_label_token,20,5,2600,1170,13.402644157409668,17.04698371887207
2,pre_label_token,21,5,2600,1170,14.381340026855469,17.54023551940918
2,pre_label_token,22,5,2600,1170,14.710319519042969,17.53670310974121
2,pre_label_token,23,5,2600,1170,14.732634544372559,17.083982467651367
2,pre_label_token,24,5,2600,1170,13.999659538269043,17.41687774658203
2,pre_label_token,25,5,2600,1170,14.757222175598145,18.21600914001465
2,pre_label_token,26,5,2600,1170,15.482564926147461,18.443099975585938
2,pre_label_token,27,5,2600,1170,16.433670043945312,20.228168487548828
2,pre_label_token,28,5,2600,1170,18.786317825317383,22.12946891784668
2,first_label_token,0,5,2600,1170,42.64262390136719,26.426971435546875
2,first_label_token,1,5,2600,1170,36.376487731933594,22.903339385986328
2,first_label_token,2,5,2600,1170,34.98873519897461,21.968231201171875
2,first_label_token,3,5,2600,1170,30.962841033935547,20.228910446166992
2,first_label_token,4,5,2600,1170,25.761268615722656,19.48900032043457
2,first_label_token,5,5,2600,1170,22.193748474121094,17.606781005859375
2,first_label_token,6,5,2600,1170,20.47506332397461,16.877716064453125
2,first_label_token,7,5,2600,1170,20.89150047302246,15.68432331085205
2,first_label_token,8,5,2600,1170,20.57411766052246,15.367195129394531
2,first_label_token,9,5,2600,1170,18.980823516845703,14.566733360290527
2,first_label_token,10,5,2600,1170,17.292274475097656,12.875502586364746
2,first_label_token,11,5,2600,1170,16.628482818603516,12.849373817443848
2,first_label_token,12,5,2600,1170,16.52043342590332,13.387430191040039
2,first_label_token,13,5,2600,1170,15.142762184143066,14.597545623779297
2,first_label_token,14,5,2600,1170,14.734139442443848,14.316239356994629
2,first_label_token,15,5,2600,1170,14.399931907653809,14.861797332763672
2,first_label_token,16,5,2600,1170,14.501648902893066,15.111873626708984
2,first_label_token,17,5,2600,1170,15.265035629272461,15.364042282104492
2,first_label_token,18,5,2600,1170,15.016186714172363,16.21167755126953
2,first_label_token,19,5,2600,1170,15.204977989196777,17.409608840942383
2,first_label_token,20,5,2600,1170,15.00080680847168,16.718217849731445
2,first_label_token,21,5,2600,1170,14.697968482971191,17.816747665405273
2,first_label_token,22,5,2600,1170,14.35546588897705,18.539257049560547
2,first_label_token,23,5,2600,1170,14.974081993103027,18.353355407714844
2,first_label_token,24,5,2600,1170,15.040605545043945,18.492246627807617
2,first_label_token,25,5,2600,1170,16.42571449279785,20.330520629882812
2,first_label_token,26,5,2600,1170,17.425487518310547,21.28424835205078
2,first_label_token,27,5,2600,1170,18.5039005279541,23.124155044555664
2,first_label_token,28,5,2600,1170,20.378686904907227,22.6239013671875
2,last_label_token,0,5,2600,1170,41.11604690551758,26.572233200073242
2,last_label_token,1,5,2600,1170,32.14485549926758,20.84015464782715
2,last_label_token,2,5,2600,1170,30.71451759338379,21.693262100219727
2,last_label_token,3,5,2600,1170,28.668045043945312,20.957727432250977
2,last_label_token,4,5,2600,1170,26.468351364135742,18.628713607788086
2,last_label_token,5,5,2600,1170,23.452768325805664,15.973226547241211
2,last_label_token,6,5,2600,1170,18.861055374145508,14.976305961608887
2,last_label_token,7,5,2600,1170,18.194238662719727,15.129866600036621
2,last_label_token,8,5,2600,1170,17.79705238342285,16.66400146484375
2,last_label_token,9,5,2600,1170,15.612464904785156,14.213736534118652
2,last_label_token,10,5,2600,1170,13.8337984085083,13.162755966186523
2,last_label_token,11,5,2600,1170,14.652592658996582,13.174797058105469
2,last_label_token,12,5,2600,1170,14.550581932067871,13.528721809387207
2,last_label_token,13,5,2600,1170,13.987232208251953,15.060145378112793
2,last_label_token,14,5,2600,1170,13.493343353271484,14.355658531188965
2,last_label_token,15,5,2600,1170,13.391939163208008,15.558693885803223
2,last_label_token,16,5,2600,1170,13.05165958404541,14.930624961853027
2,last_label_token,17,5,2600,1170,13.543286323547363,15.801604270935059
2,last_label_token,18,5,2600,1170,13.528614044189453,15.994446754455566
2,last_label_token,19,5,2600,1170,13.5983304977417,17.3252010345459
2,last_label_token,20,5,2600,1170,13.737703323364258,17.240755081176758
2,last_label_token,21,5,2600,1170,13.296792984008789,18.53392791748047
2,last_label_token,22,5,2600,1170,13.466925621032715,19.888216018676758
2,last_label_token,23,5,2600,1170,13.787796020507812,19.525043487548828
2,last_label_token,24,5,2600,1170,14.046072006225586,19.151193618774414
2,last_label_token,25,5,2600,1170,14.443981170654297,20.91620445251465
2,last_label_token,26,5,2600,1170,14.894572257995605,22.71540069580078
2,last_label_token,27,5,2600,1170,15.538604736328125,25.57395362854004
2,last_label_token,28,5,2600,1170,16.25764274597168,26.08372688293457
3,pre_label_token,0,5,2600,1170,137633.03125,137442.640625
3,pre_label_token,1,5,2600,1170,30.75080680847168,27.41456413269043
3,pre_label_token,2,5,2600,1170,31.343978881835938,25.403488159179688
3,pre_label_token,3,5,2600,1170,30.030344009399414,25.598039627075195
3,pre_label_token,4,5,2600,1170,24.0699462890625,22.04775619506836
3,pre_label_token,5,5,2600,1170,20.60888671875,18.163610458374023
3,pre_label_token,6,5,2600,1170,14.129520416259766,18.622676849365234
3,pre_label_token,7,5,2600,1170,12.018814086914062,15.857704162597656
3,pre_label_token,8,5,2600,1170,12.054018020629883,16.10936737060547
3,pre_label_token,9,5,2600,1170,10.773015975952148,12.100127220153809
3,pre_label_token,10,5,2600,1170,10.644079208374023,11.935551643371582
3,pre_label_token,11,5,2600,1170,9.746621131896973,10.784836769104004
3,pre_label_token,12,5,2600,1170,8.7477388381958,11.044624328613281
3,pre_label_token,13,5,2600,1170,8.318072319030762,10.51530933380127
3,pre_label_token,14,5,2600,1170,8.307563781738281,11.92562198638916
