task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
word_length,preimage_matched,cue1,0,-0.02900449000298977,0.0048416658766571585,170,-0.030420765280723572,0.010168937498623975,40
word_length,preimage_matched,cue1,1,-0.015124864876270294,0.00336838759353712,170,-0.018205950036644936,0.007480061265301245,40
word_length,preimage_matched,cue1,2,-0.02589586190879345,0.003489964345018634,170,-0.025561172515153885,0.007521295029391341,40
word_length,preimage_matched,cue1,3,-0.01180982030928135,0.002690620954230297,170,-0.006124821491539478,0.0056070138206819106,40
word_length,preimage_matched,cue1,4,-0.016720961779356003,0.002665853600077858,170,-0.011241692118346691,0.005692879405902212,40
word_length,preimage_matched,cue1,5,-0.019623389467597008,0.002727472411474658,170,-0.013672423548996449,0.005699565962241146,40
word_length,preimage_matched,cue1,6,-0.03175400570034981,0.002849965456487543,170,-0.023055443540215492,0.0062517905791366355,40
word_length,preimage_matched,cue1,7,-0.031052757054567337,0.0024867386434405912,170,-0.025707732886075974,0.005368489536326038,40
word_length,preimage_matched,cue1,8,-0.025133810937404633,0.0022941202858888007,170,-0.019992366433143616,0.005048779431558959,40
word_length,preimage_matched,cue1,9,-0.030928313732147217,0.002548329168881792,170,-0.026873713359236717,0.005658451180214163,40
word_length,preimage_matched,cue1,10,-0.02148165926337242,0.002142015845397983,170,-0.017596762627363205,0.004773009638307751,40
word_length,preimage_matched,cue1,11,-0.009781545959413052,0.0014329070815623144,170,-0.006554740481078625,0.003078300697262563,40
word_length,preimage_matched,cue1,12,-0.008019144646823406,0.0012343766735736282,170,-0.0062118470668792725,0.0029185846536260275,40
word_length,preimage_matched,cue1,13,-0.010516727343201637,0.0010917680998082516,170,-0.008814752101898193,0.0025358988743052558,40
word_length,preimage_matched,cue1,14,-0.0043024541810154915,0.0005838781597538294,170,-0.0030329853761941195,0.001370213047848419,40
word_length,preimage_matched,cue1,15,-0.004389552399516106,0.00045757743939975516,170,-0.004023021552711725,0.00106303780650887,40
word_length,preimage_matched,cue1,16,-0.0034026370849460363,0.0003654942252478453,170,-0.0030047507025301456,0.0006806365975308789,40
word_length,preimage_matched,cue1,17,-0.0021226047538220882,0.00029370573780577286,170,-0.00234963302500546,0.0005473092440406262,40
word_length,preimage_matched,cue1,18,-0.000918135920073837,0.0002605697051155915,170,-0.0011060744291171432,0.0005022702259425692,40
word_length,preimage_matched,cue1,19,-0.00019556144252419472,0.00022994019380904985,170,0.000607651483733207,0.00044365455190335275,40
word_length,preimage_matched,cue1,20,0.00018337543588131666,0.0002100628099453628,170,0.0006894677644595504,0.0004362522624978795,40
word_length,preimage_matched,cue1,21,-0.00018366014410275966,0.00023433878490574666,170,0.0005282312631607056,0.0004098987663034333,40
word_length,preimage_matched,cue1,22,0.0002164658362744376,0.00020151337986559247,170,0.0005394608015194535,0.0004410779202265647,40
word_length,preimage_matched,cue1,23,0.00011164861643919721,0.00020869845902009545,170,0.0003555506409611553,0.0005020227270532399,40
word_length,preimage_matched,cue1,24,-0.0003551230765879154,0.0001960987443865303,170,-1.533031536382623e-05,0.000454770723571537,40
word_length,preimage_matched,cue1,25,2.202005998697132e-05,0.0001791000100811835,170,5.613565372186713e-05,0.0003910750087417187,40
word_length,preimage_matched,cue1,26,-3.395992098376155e-05,0.00014293571048481753,170,2.92986624117475e-05,0.00027318806286905404,40
word_length,preimage_matched,cue1,27,0.0,0.0,170,0.0,0.0,40
word_length,preimage_matched,target1,0,-0.5205347537994385,0.03190377617755239,170,-0.5765010714530945,0.06531492788475757,40
word_length,preimage_matched,target1,1,-0.37983882427215576,0.026394069744563587,170,-0.42849254608154297,0.054566196682782515,40
word_length,preimage_matched,target1,2,-0.2397550642490387,0.020931392284217008,170,-0.25183558464050293,0.045237508157785815,40
word_length,preimage_matched,target1,3,-0.16912253201007843,0.017064498723539174,170,-0.16478732228279114,0.03433310836389049,40
word_length,preimage_matched,target1,4,-0.06876040995121002,0.01222988719277835,170,-0.06491954624652863,0.02214616439244735,40
word_length,preimage_matched,target1,5,-0.06938258558511734,0.012886785368337813,170,-0.060821644961833954,0.024317634165878385,40
word_length,preimage_matched,target1,6,-0.03891028091311455,0.011452461131828321,170,-0.030666474252939224,0.021869673638576087,40
word_length,preimage_matched,target1,7,-0.045008063316345215,0.010417823733699328,170,-0.03870319202542305,0.02044223993720195,40
word_length,preimage_matched,target1,8,-0.05858605355024338,0.010416456864895438,170,-0.06361952424049377,0.02063285627055119,40
word_length,preimage_matched,target1,9,-0.054283931851387024,0.010300426160728371,170,-0.058506160974502563,0.020454482131260124,40
word_length,preimage_matched,target1,10,-0.04518119990825653,0.009993921831592376,170,-0.04890073463320732,0.019840600655847137,40
word_length,preimage_matched,target1,11,-0.06837692111730576,0.01052757095568931,170,-0.07467453181743622,0.02121187011127077,40
word_length,preimage_matched,target1,12,-0.06293313950300217,0.01077291362018566,170,-0.07157514989376068,0.021566168066176908,40
word_length,preimage_matched,target1,13,-0.05513910576701164,0.01064755712217265,170,-0.0543697364628315,0.021248457684698296,40
word_length,preimage_matched,target1,14,-0.0957789346575737,0.01105475831037387,170,-0.09412451833486557,0.021327520676617123,40
word_length,preimage_matched,target1,15,-0.0977209061384201,0.01058516116128869,170,-0.0967559814453125,0.02022848924983861,40
word_length,preimage_matched,target1,16,-0.08786487579345703,0.009002184799455063,170,-0.08902318775653839,0.01719230142918692,40
word_length,preimage_matched,target1,17,-0.07997922599315643,0.008972614832901998,170,-0.07430915534496307,0.017135759032322957,40
word_length,preimage_matched,target1,18,-0.07590018212795258,0.008899763925681922,170,-0.07221932709217072,0.0171061737300157,40
word_length,preimage_matched,target1,19,-0.07707272469997406,0.008805788266813755,170,-0.07341311126947403,0.016548210290145384,40
word_length,preimage_matched,target1,20,-0.10963361710309982,0.006388684217439937,170,-0.11206090450286865,0.012632818061578911,40
word_length,preimage_matched,target1,21,-0.11004246026277542,0.006395932279274616,170,-0.11124776303768158,0.012299410294050914,40
word_length,preimage_matched,target1,22,-0.10801519453525543,0.006186545921528774,170,-0.1094813197851181,0.012027085090428855,40
word_length,preimage_matched,target1,23,-0.10542014986276627,0.005902776643492945,170,-0.10738261044025421,0.01089875815923938,40
word_length,preimage_matched,target1,24,-0.1059383749961853,0.0054974611856649855,170,-0.11011640727519989,0.011495515641885851,40
word_length,preimage_matched,target1,25,-0.01607039012014866,0.0011533064105182836,170,-0.016102800145745277,0.0017168668469645966,40
word_length,preimage_matched,target1,26,0.0011232972610741854,0.0002371624161375716,170,0.0012889027129858732,0.0004816594549812083,40
word_length,preimage_matched,target1,27,0.0,0.0,170,0.0,0.0,40
word_length,preimage_matched,final_cue_ctx,0,-0.4052778482437134,0.03139585870154877,170,-0.3948395550251007,0.06481075493977663,40
word_length,preimage_matched,final_cue_ctx,1,-0.4279094338417053,0.03172139062158441,170,-0.4128730893135071,0.06454952216294939,40
word_length,preimage_matched,final_cue_ctx,2,-0.3969390094280243,0.030383530065168893,170,-0.38646456599235535,0.06208737567521131,40
word_length,preimage_matched,final_cue_ctx,3,-0.4149837791919708,0.03090951626674903,170,-0.4029873311519623,0.06282607286895107,40
word_length,preimage_matched,final_cue_ctx,4,-0.4247235357761383,0.03148430517038916,170,-0.4127161502838135,0.0630873009336174,40
word_length,preimage_matched,final_cue_ctx,5,-0.4364689886569977,0.03181079481288104,170,-0.4219204783439636,0.06374380861667098,40
word_length,preimage_matched,final_cue_ctx,6,-0.37581685185432434,0.030541243410653268,170,-0.3670048117637634,0.06086393377594475,40
word_length,preimage_matched,final_cue_ctx,7,-0.32741478085517883,0.029202294844955727,170,-0.3122248649597168,0.05849397600435531,40
word_length,preimage_matched,final_cue_ctx,8,-0.35016390681266785,0.028831644825722764,170,-0.34571409225463867,0.05941705063039235,40
