task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
synonym,preimage_matched,cue1,0,-0.04503682255744934,0.009895463848770315,170,-0.053341031074523926,0.02088181858035476,40
synonym,preimage_matched,cue1,1,0.04449816420674324,0.01621451204355986,170,0.09610097110271454,0.0303979215253587,40
synonym,preimage_matched,cue1,2,0.006134588737040758,0.019580983049317612,170,0.07218682020902634,0.04233639089565301,40
synonym,preimage_matched,cue1,3,0.022770240902900696,0.00885265838095787,170,0.010362178087234497,0.013426639291747105,40
synonym,preimage_matched,cue1,4,0.03893531486392021,0.011214200813467181,170,0.03751557320356369,0.024429041430320427,40
synonym,preimage_matched,cue1,5,-0.02584773860871792,0.007369801730408561,170,-0.02230859361588955,0.013421303947550657,40
synonym,preimage_matched,cue1,6,-0.0241604745388031,0.005633443488614595,170,-0.023316513746976852,0.010777560202455391,40
synonym,preimage_matched,cue1,7,-0.004531719256192446,0.007037296036592535,170,-0.004035151097923517,0.01607027230106086,40
synonym,preimage_matched,cue1,8,-0.013185318559408188,0.003856527757959364,170,-0.012217032723128796,0.008390998542860474,40
synonym,preimage_matched,cue1,9,-0.023390738293528557,0.005058728299889063,170,-0.020085925236344337,0.010841682110151752,40
synonym,preimage_matched,cue1,10,0.002871440490707755,0.0065199893376304136,170,0.01189601980149746,0.011490614994533849,40
synonym,preimage_matched,cue1,11,-0.06953204423189163,0.016680062300977336,170,-0.02769443392753601,0.030011967273422993,40
synonym,preimage_matched,cue1,12,-0.13063505291938782,0.020253827646633502,170,-0.053395263850688934,0.035622968171259435,40
synonym,preimage_matched,cue1,13,-0.09033259004354477,0.0170599329703021,170,-0.03475528955459595,0.02995507028645015,40
synonym,preimage_matched,cue1,14,-0.046458322554826736,0.012777265576859514,170,-0.019204121083021164,0.021123587776520993,40
synonym,preimage_matched,cue1,15,-0.03475242108106613,0.013579353562491115,170,-0.0070192874409258366,0.021130328522710455,40
synonym,preimage_matched,cue1,16,-0.0013966058613732457,0.007806064880828959,170,0.011979645118117332,0.013069012195154248,40
synonym,preimage_matched,cue1,17,-0.024399135261774063,0.01299533486582405,170,0.002594721270725131,0.021885065912206198,40
synonym,preimage_matched,cue1,18,-0.027046315371990204,0.012533813214203998,170,0.0005538284895010293,0.021144238821732678,40
synonym,preimage_matched,cue1,19,-0.027241308242082596,0.012381952490078087,170,0.00789822917431593,0.020495635788614658,40
synonym,preimage_matched,cue1,20,-0.05234099179506302,0.017977399083104927,170,-0.006269371602684259,0.03455449746409767,40
synonym,preimage_matched,cue1,21,-0.034540675580501556,0.011904912991786438,170,-0.004740935750305653,0.0221207163674238,40
synonym,preimage_matched,cue1,22,-0.029964813962578773,0.01224187358075093,170,-8.645057823741809e-05,0.021577774118511507,40
synonym,preimage_matched,cue1,23,-0.03326643630862236,0.013012349868125326,170,-0.008113336749374866,0.02292577021117405,40
synonym,preimage_matched,cue1,24,-0.06590446084737778,0.02146748371486404,170,-0.033846743404865265,0.04096062368263564,40
synonym,preimage_matched,cue1,25,-0.1096062958240509,0.02636754380397972,170,-0.0897296667098999,0.049640447649583516,40
synonym,preimage_matched,cue1,26,-0.13813306391239166,0.03128105086495709,170,-0.11045710742473602,0.05943530554177856,40
synonym,preimage_matched,cue1,27,-0.23251554369926453,0.041171583243084606,170,-0.19108684360980988,0.08152612324819422,40
synonym,preimage_matched,target1,0,0.089051753282547,0.018159600637503152,170,0.02647686004638672,0.050448828278940025,40
synonym,preimage_matched,target1,1,0.015048310160636902,0.02806550343247308,170,-0.010300928726792336,0.06357769080792083,40
synonym,preimage_matched,target1,2,-0.129774272441864,0.024581069134632396,170,-0.11123247444629669,0.04505349356187903,40
synonym,preimage_matched,target1,3,-0.013521524146199226,0.008819048951371903,170,-0.015721309930086136,0.020267871134688958,40
synonym,preimage_matched,target1,4,0.05580456182360649,0.015897489910408645,170,0.041139017790555954,0.03739930204721113,40
synonym,preimage_matched,target1,5,-0.21189305186271667,0.02172395447429641,170,-0.15916197001934052,0.04328729083189541,40
synonym,preimage_matched,target1,6,-0.06538404524326324,0.015871917120813445,170,-0.017076963558793068,0.03133824737250697,40
synonym,preimage_matched,target1,7,-0.12769946455955505,0.01800500503290257,170,-0.05623690411448479,0.03718221986208062,40
synonym,preimage_matched,target1,8,-0.1066272035241127,0.019218934246320502,170,-0.0219541247934103,0.040850844469789864,40
synonym,preimage_matched,target1,9,-0.14417718350887299,0.022290041589414104,170,-0.03167494013905525,0.04885615087466555,40
synonym,preimage_matched,target1,10,-0.16930483281612396,0.024347663714832234,170,-0.0658382847905159,0.05163707033616865,40
synonym,preimage_matched,target1,11,-0.0820910632610321,0.019607764992085486,170,0.01232614554464817,0.042911283951652085,40
synonym,preimage_matched,target1,12,-0.08660879731178284,0.02132087674984472,170,0.019981127232313156,0.04510240579218074,40
synonym,preimage_matched,target1,13,-0.07708016782999039,0.022422920437316085,170,0.03856832534074783,0.04976934881142393,40
synonym,preimage_matched,target1,14,-0.09655600041151047,0.02629492604160579,170,0.03254099562764168,0.05858346936446034,40
synonym,preimage_matched,target1,15,-0.025412414222955704,0.024033539892121373,170,0.08933688700199127,0.06014563081464678,40
synonym,preimage_matched,target1,16,-0.04123079031705856,0.02953479139583661,170,0.09586744755506516,0.07021254531729171,40
synonym,preimage_matched,target1,17,-0.10586987435817719,0.031716912869098085,170,0.013923984952270985,0.07971124389595466,40
synonym,preimage_matched,target1,18,-0.019069498404860497,0.029493721331173887,170,0.061659980565309525,0.07752255353045834,40
synonym,preimage_matched,target1,19,-0.008903791196644306,0.027769930625167534,170,0.056343190371990204,0.07161549698662995,40
synonym,preimage_matched,target1,20,-0.004627363756299019,0.025458347476013807,170,0.06119848042726517,0.0667848817701517,40
synonym,preimage_matched,target1,21,0.002947939094156027,0.020301016620640735,170,0.07500774413347244,0.05328464441510739,40
synonym,preimage_matched,target1,22,0.018879864364862442,0.009050640641413057,170,0.04317749664187431,0.020889006981831184,40
synonym,preimage_matched,target1,23,0.01531422883272171,0.008870273959811357,170,0.05148369073867798,0.020506683449880783,40
synonym,preimage_matched,target1,24,0.014943672344088554,0.009848973166434637,170,0.04084033519029617,0.022130423418909497,40
synonym,preimage_matched,target1,25,0.02198544703423977,0.01685686380930668,170,0.0400690957903862,0.03696480075744465,40
synonym,preimage_matched,target1,26,0.026360344141721725,0.029379939789052022,170,0.046557385474443436,0.06584885812591917,40
synonym,preimage_matched,target1,27,-0.4543297290802002,0.10042010241844308,170,-0.45166316628456116,0.22070951235996394,40
synonym,preimage_matched,final_cue,0,0.01910005509853363,0.005413127894772093,170,0.009195101447403431,0.010602667172040565,40
synonym,preimage_matched,final_cue,1,-0.06335590779781342,0.011472881877470394,170,-0.02954866923391819,0.023505304745674777,40
synonym,preimage_matched,final_cue,2,-0.012635444290935993,0.0026442159869115855,170,-0.01640627346932888,0.0051686008483355405,40
synonym,preimage_matched,final_cue,3,0.007587225176393986,0.0025742308184254197,170,0.009653287939727306,0.005301489676350605,40
synonym,preimage_matched,final_cue,4,0.0129148680716753,0.00590468408833717,170,0.010051232762634754,0.011740327715963193,40
synonym,preimage_matched,final_cue,5,-0.016595736145973206,0.00992090863727351,170,0.00593799352645874,0.018406110493502204,40
synonym,preimage_matched,final_cue,6,-0.12103213369846344,0.014402098867211615,170,-0.07872416079044342,0.026903623310714206,40
synonym,preimage_matched,final_cue,7,-0.096549391746521,0.018655803727854702,170,-0.0191205982118845,0.033985546443012896,40
synonym,preimage_matched,final_cue,8,-0.06521589308977127,0.015192041606372525,170,0.005510115530341864,0.028855449839557214,40
synonym,preimage_matched,final_cue,9,-0.09024184942245483,0.015571663130714638,170,-0.02332359552383423,0.03461151932333477,40
synonym,preimage_matched,final_cue,10,-0.04396814480423927,0.016294463582785433,170,-0.012336904183030128,0.03583047053324897,40
synonym,preimage_matched,final_cue,11,-0.2223193645477295,0.02793446917173622,170,-0.14082390069961548,0.055776482228773315,40
synonym,preimage_matched,final_cue,12,-0.29024603962898254,0.04155795911076367,170,-0.13560697436332703,0.08598588197630966,40
synonym,preimage_matched,final_cue,13,-0.23611298203468323,0.039625101478308035,170,-0.09937455505132675,0.07061245227769787,40
synonym,preimage_matched,final_cue,14,-0.06006144359707832,0.0244555663496571,170,-0.003761720610782504,0.049239117616580896,40
synonym,preimage_matched,final_cue,15,-0.16367006301879883,0.027149111614549564,170,-0.11092214286327362,0.0594305415470931,40
synonym,preimage_matched,final_cue,16,-0.09297512471675873,0.022286452987370444,170,-0.019894123077392578,0.04527255249851355,40
synonym,preimage_matched,final_cue,17,-0.12142745405435562,0.024260394398891518,170,-0.040019117295742035,0.04994119189568627,40
synonym,preimage_matched,final_cue,18,-0.07546960562467575,0.020965509146703417,170,-0.013678664341568947,0.04230285915857911,40
synonym,preimage_matched,final_cue,19,-0.2515265941619873,0.03290001781954801,170,-0.17970222234725952,0.07216989214264709,40
synonym,preimage_matched,final_cue,20,-0.3829270899295807,0.039284668859722954,170,-0.29353559017181396,0.09514819823586679,40
synonym,preimage_matched,final_cue,21,-0.3352164626121521,0.03496774060256546,170,-0.22274968028068542,0.08529778396647933,40
synonym,preimage_matched,final_cue,22,-0.129329115152359,0.021415508414309403,170,-0.058083754032850266,0.05296826993124829,40
synonym,preimage_matched,final_cue,23,-0.058013759553432465,0.013565761446534031,170,-0.01925233006477356,0.035074632854179486,40
synonym,preimage_matched,final_cue,24,-0.061062656342983246,0.017565689285011274,170,-0.022631358355283737,0.04277602608473681,40
synonym,preimage_matched,final_cue,25,-0.033577077090740204,0.015983362643006253,170,-0.024006014689803123,0.03936386554700843,40
synonym,preimage_matched,final_cue,26,-0.04914857819676399,0.025907864453790997,170,-0.025591205805540085,0.06082072797251156,40
synonym,preimage_matched,final_cue,27,-0.7877392768859863,0.09382656502478794,170,-0.7283123731613159,0.19375785563695874,40
synonym,preimage_icl10,cue1,0,-0.08833695948123932,0.033094529193249504,170,-0.1600525826215744,0.07931853240526629,40
synonym,preimage_icl10,cue1,1,-0.030264034867286682,0.007064737984991048,170,-0.03580788895487785,0.01461566592376814,40
synonym,preimage_icl10,cue1,2,-0.009263693355023861,0.004410419626179804,170,-0.029890865087509155,0.0077500451139684715,40
synonym,preimage_icl10,cue1,3,-0.01232137717306614,0.005329127749578475,170,-0.0009336948278360069,0.011200205695358761,40
synonym,preimage_icl10,cue1,4,-0.19415363669395447,0.018731003226539658,170,-0.17274679243564606,0.04373246281005479,40
synonym,preimage_icl10,cue1,5,-0.387166291475296,0.03314175016752974,170,-0.351436048746109,0.07342471232144922,40
synonym,preimage_icl10,cue1,6,-0.6817864775657654,0.05372092001829466,170,-0.6844993829727173,0.11137292221329152,40
synonym,preimage_icl10,cue1,7,-0.7787702679634094,0.06210692070381585,170,-0.7086548209190369,0.12499536474951549,40
synonym,preimage_icl10,cue1,8,-0.9997673630714417,0.06434149976746076,170,-0.8628863096237183,0.12297523309212348,40
synonym,preimage_icl10,cue1,9,-0.635117769241333,0.04899183738782218,170,-0.5194570422172546,0.09423578251782036,40
synonym,preimage_icl10,cue1,10,-0.4014018476009369,0.03997193872296084,170,-0.3394842743873596,0.07794596003734955,40
synonym,preimage_icl10,cue1,11,-0.3857092559337616,0.04355784360075324,170,-0.28104233741760254,0.08873387285733604,40
synonym,preimage_icl10,cue1,12,-0.45928052067756653,0.042691317351100086,170,-0.3416047692298889,0.0820139544191206,40
synonym,preimage_icl10,cue1,13,-0.3109208047389984,0.03687679460337608,170,-0.22915896773338318,0.06469240430622576,40
synonym,preimage_icl10,cue1,14,-0.22275520861148834,0.029963745912477007,170,-0.1927286684513092,0.0547123302170905,40
synonym,preimage_icl10,cue1,15,-0.5295867919921875,0.04375048981568554,170,-0.49376431107521057,0.09253227037665505,40
synonym,preimage_icl10,cue1,16,-0.4931546449661255,0.0439690699661512,170,-0.43914681673049927,0.09603437664193634,40
synonym,preimage_icl10,cue1,17,-0.505541205406189,0.046699740119192146,170,-0.4401586651802063,0.10106241255212565,40
