role,layer,W,stable_rank_raw,stable_rank_norm,first_sv_share_norm,pairwise_cos_mean,pairwise_cos_std,align_with_mean_axis_mean,mean_axis_resultant_len
label,0,82,10.4523,15.9289,0.0628,0.0118,0.0909,0.1544,0.1544
label,1,82,10.4611,13.1028,0.0763,0.0460,0.0690,0.2401,0.2401
label,2,82,11.9129,16.4094,0.0609,0.0335,0.0566,0.2127,0.2127
label,3,82,10.0450,12.3301,0.0811,0.0548,0.0644,0.2575,0.2575
label,4,82,8.9150,10.0452,0.0996,0.0645,0.0796,0.2756,0.2756
label,5,82,8.7281,9.6500,0.1036,0.0697,0.0802,0.2847,0.2847
label,6,82,7.4906,8.4010,0.1190,0.0760,0.0941,0.2955,0.2955
label,7,82,6.6072,7.3363,0.1363,0.0839,0.1076,0.3083,0.3083
label,8,82,6.2233,6.9430,0.1440,0.0928,0.1096,0.3222,0.3222
label,9,82,6.4988,7.2782,0.1374,0.0888,0.1042,0.3160,0.3160
label,10,82,6.5574,7.4601,0.1340,0.0875,0.1006,0.3141,0.3141
label,11,82,6.7584,7.7818,0.1285,0.0825,0.0984,0.3061,0.3061
label,12,82,6.0345,6.9446,0.1440,0.0924,0.1112,0.3217,0.3217
label,13,82,6.0646,7.0541,0.1418,0.0917,0.1090,0.3206,0.3206
label,14,82,6.2438,7.3493,0.1361,0.0880,0.1044,0.3148,0.3148
label,15,82,6.7264,7.8447,0.1275,0.0808,0.1002,0.3033,0.3033
label,16,82,6.8477,7.9964,0.1251,0.0783,0.0989,0.2992,0.2992
label,17,82,6.9151,8.1230,0.1231,0.0767,0.0976,0.2965,0.2965
label,18,82,7.1717,8.3951,0.1191,0.0732,0.0951,0.2906,0.2906
label,19,82,7.2258,8.5151,0.1174,0.0708,0.0936,0.2865,0.2865
label,20,82,7.2440,8.6717,0.1153,0.0681,0.0937,0.2819,0.2819
label,21,82,7.3079,8.6882,0.1151,0.0672,0.0933,0.2803,0.2803
label,22,82,7.3344,8.7306,0.1145,0.0661,0.0926,0.2783,0.2783
label,23,82,7.3871,8.8344,0.1132,0.0650,0.0910,0.2763,0.2763
label,24,82,7.9844,9.3988,0.1064,0.0591,0.0873,0.2656,0.2656
label,25,82,8.6419,10.1119,0.0989,0.0534,0.0827,0.2548,0.2548
label,26,82,8.7343,10.2651,0.0974,0.0508,0.0834,0.2497,0.2497
label,27,82,6.2339,7.5897,0.1318,0.0604,0.1154,0.2681,0.2681
final,0,82,11.0305,13.9168,0.0719,0.0009,0.1152,0.1143,0.1143
final,1,82,8.4327,10.9495,0.0913,0.0003,0.1403,0.1117,0.1117
final,2,82,7.4945,9.4712,0.1056,0.0006,0.1405,0.1131,0.1131
final,3,82,10.2108,11.2386,0.0890,0.0025,0.1195,0.1212,0.1212
final,4,82,12.2715,13.7308,0.0728,0.0212,0.1052,0.1819,0.1819
final,5,82,11.0714,12.4961,0.0800,0.0245,0.1142,0.1909,0.1909
final,6,82,10.3034,12.1107,0.0826,0.0297,0.1146,0.2038,0.2038
final,7,82,9.0021,11.0984,0.0901,0.0355,0.1188,0.2174,0.2174
final,8,82,7.3924,8.9445,0.1118,0.0574,0.1287,0.2625,0.2625
final,9,82,7.3053,8.9566,0.1116,0.0578,0.1246,0.2633,0.2633
final,10,82,7.6804,9.3185,0.1073,0.0535,0.1219,0.2551,0.2551
final,11,82,6.8534,8.3337,0.1200,0.0579,0.1261,0.2634,0.2634
final,12,82,6.2266,7.5497,0.1325,0.0697,0.1309,0.2847,0.2847
final,13,82,5.9125,7.3454,0.1361,0.0690,0.1316,0.2835,0.2835
final,14,82,5.7338,7.1541,0.1398,0.0671,0.1367,0.2802,0.2802
final,15,82,5.0544,6.3086,0.1585,0.0843,0.1491,0.3089,0.3089
final,16,82,5.2718,6.5966,0.1516,0.0804,0.1443,0.3028,0.3028
final,17,82,5.0253,6.3324,0.1579,0.0834,0.1499,0.3075,0.3075
final,18,82,4.9437,6.3601,0.1572,0.0835,0.1459,0.3077,0.3077
final,19,82,4.9363,6.4557,0.1549,0.0814,0.1423,0.3043,0.3043
final,20,82,4.6336,6.1106,0.1636,0.0860,0.1477,0.3117,0.3117
final,21,82,4.6899,6.1827,0.1617,0.0848,0.1449,0.3098,0.3098
final,22,82,4.6247,6.1448,0.1627,0.0869,0.1442,0.3131,0.3131
final,23,82,4.8020,6.4257,0.1556,0.0821,0.1385,0.3054,0.3054
final,24,82,4.8930,6.5534,0.1526,0.0811,0.1358,0.3039,0.3039
final,25,82,4.8452,6.4948,0.1540,0.0806,0.1376,0.3030,0.3030
final,26,82,4.3885,5.9045,0.1694,0.0881,0.1501,0.3151,0.3151
final,27,82,2.5682,3.4648,0.2886,0.1833,0.2217,0.4396,0.4396
