layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.832196,-3.714527,-2.832196,0.178653,0.000000,-3.714527,0.157508,0.000000,4.000000
1,-2.832196,-3.714527,-2.803440,0.179241,0.028756,-3.715827,0.157485,-0.001300,-0.045201
2,-2.832196,-3.714527,-2.632852,0.178433,0.199344,-3.588920,0.156436,0.125607,0.630102
3,-2.832196,-3.714527,-2.566525,0.179074,0.265671,-3.534054,0.156970,0.180473,0.679309
4,-2.832196,-3.714527,-1.973257,0.185919,0.858940,-3.324420,0.156364,0.390107,0.454173
5,-2.832196,-3.714527,-0.478268,0.190403,2.353928,-2.746783,0.152974,0.967744,0.411119
6,-2.832196,-3.714527,-1.097234,0.185220,1.734962,-2.893073,0.153415,0.821454,0.473471
7,-2.832196,-3.714527,-0.185438,0.190289,2.646758,-2.593638,0.152155,1.120889,0.423495
8,-2.832196,-3.714527,0.962059,0.198652,3.794255,-2.376930,0.155555,1.337597,0.352532
9,-2.832196,-3.714527,-0.996754,0.190393,1.835443,-2.832074,0.155946,0.882453,0.480785
10,-2.832196,-3.714527,-1.319422,0.193009,1.512775,-3.199390,0.157535,0.515137,0.340525
11,-2.832196,-3.714527,-0.537822,0.197504,2.294374,-2.960561,0.155945,0.753966,0.328615
12,-2.832196,-3.714527,-1.575189,0.197889,1.257008,-3.354703,0.157955,0.359824,0.286254
13,-2.832196,-3.714527,-1.104750,0.199386,1.727447,-3.218004,0.160002,0.496523,0.287432
14,-2.832196,-3.714527,-2.750574,0.178981,0.081622,-3.632067,0.157632,0.082460,1.010268
15,-2.832196,-3.714527,-2.643350,0.179043,0.188846,-3.544288,0.157341,0.170239,0.901468
16,-2.832196,-3.714527,-2.782352,0.178205,0.049844,-3.675679,0.156938,0.038848,0.779390
17,-2.832196,-3.714527,-2.806753,0.178630,0.025443,-3.682766,0.157124,0.031761,1.248317
18,-2.832196,-3.714527,-2.818874,0.179264,0.013322,-3.708107,0.157937,0.006420,0.481929
19,-2.832196,-3.714527,-2.829959,0.179593,0.002237,-3.718776,0.158231,-0.004249,-1.899637
20,-2.832196,-3.714527,-2.834067,0.179291,-0.001871,-3.720284,0.158159,-0.005757,3.077589
21,-2.832196,-3.714527,-2.839854,0.179305,-0.007657,-3.726678,0.158124,-0.012151,1.586808
22,-2.832196,-3.714527,-2.841536,0.179216,-0.009340,-3.728163,0.158002,-0.013635,1.459901
23,-2.832196,-3.714527,-2.836940,0.178980,-0.004744,-3.721841,0.157727,-0.007314,1.541711
24,-2.832196,-3.714527,-2.834314,0.178858,-0.002118,-3.718978,0.157688,-0.004451,2.101223
25,-2.832196,-3.714527,-2.836376,0.178908,-0.004180,-3.720763,0.157727,-0.006235,1.491697
26,-2.832196,-3.714527,-2.833265,0.178721,-0.001069,-3.715843,0.157551,-0.001316,1.231415
27,-2.832196,-3.714527,-2.832229,0.178655,-0.000033,-3.714243,0.157491,0.000284,-8.609851
28,-2.832196,-3.714527,-2.832196,0.178653,0.000000,-3.714527,0.157508,0.000000,4.000000
