layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-2.105745,-3.226444,0.057368,0.000000,-2.105745,0.053662,-0.000000,-0.958333
1,-3.226444,-2.105745,-3.226050,0.057410,0.000395,-2.105114,0.053730,0.000631,1.599251
2,-3.226444,-2.105745,-3.235125,0.057287,-0.008680,-2.101602,0.053648,0.004143,-0.477266
3,-3.226444,-2.105745,-3.248303,0.057208,-0.021859,-2.104364,0.053605,0.001381,-0.063172
4,-3.226444,-2.105745,-0.853417,0.050488,2.373027,-1.089055,0.043823,1.016690,0.428436
5,-3.226444,-2.105745,-0.511166,0.046955,2.715278,-0.762824,0.040017,1.342921,0.494580
6,-3.226444,-2.105745,-0.922704,0.046872,2.303741,-0.961135,0.039703,1.144610,0.496848
7,-3.226444,-2.105745,-1.499527,0.045477,1.726918,-1.207189,0.041769,0.898556,0.520323
8,-3.226444,-2.105745,-2.206360,0.048717,1.020084,-1.606179,0.046933,0.499566,0.489730
9,-3.226444,-2.105745,-2.419074,0.047899,0.807371,-1.535038,0.045977,0.570707,0.706871
10,-3.226444,-2.105745,-2.572088,0.048379,0.654356,-1.603338,0.046958,0.502407,0.767788
11,-3.226444,-2.105745,-2.550347,0.047668,0.676097,-1.606929,0.046136,0.498816,0.737788
12,-3.226444,-2.105745,-2.674676,0.047709,0.551768,-1.649740,0.046391,0.456005,0.826444
13,-3.226444,-2.105745,-2.482205,0.047860,0.744239,-1.489504,0.046633,0.616240,0.828014
14,-3.226444,-2.105745,-3.089173,0.048231,0.137271,-1.994673,0.047761,0.111072,0.809139
15,-3.226444,-2.105745,-2.961174,0.053269,0.265270,-1.913155,0.049522,0.192590,0.726014
16,-3.226444,-2.105745,-3.182726,0.054121,0.043719,-2.079388,0.050460,0.026357,0.602884
17,-3.226444,-2.105745,-3.143742,0.056412,0.082702,-2.045928,0.052472,0.059817,0.723280
18,-3.226444,-2.105745,-3.179253,0.057006,0.047191,-2.070312,0.053166,0.035432,0.750832
19,-3.226444,-2.105745,-3.227628,0.057422,-0.001184,-2.104167,0.053768,0.001578,-1.333370
20,-3.226444,-2.105745,-3.225773,0.057343,0.000671,-2.101957,0.053743,0.003788,5.645921
21,-3.226444,-2.105745,-3.229837,0.057523,-0.003393,-2.105863,0.053821,-0.000118,0.034918
22,-3.226444,-2.105745,-3.233073,0.057462,-0.006629,-2.109138,0.053845,-0.003393,0.511930
23,-3.226444,-2.105745,-3.231929,0.057421,-0.005484,-2.108546,0.053771,-0.002802,0.510822
24,-3.226444,-2.105745,-3.220486,0.057298,0.005958,-2.101050,0.053677,0.004695,0.788046
25,-3.226444,-2.105745,-3.220447,0.057288,0.005998,-2.100694,0.053610,0.005050,0.842071
26,-3.226444,-2.105745,-3.226484,0.057376,-0.000039,-2.105903,0.053674,-0.000158,4.014569
27,-3.226444,-2.105745,-3.227075,0.057367,-0.000631,-2.106258,0.053685,-0.000513,0.812824
28,-3.226444,-2.105745,-3.226444,0.057368,0.000000,-2.105745,0.053662,-0.000000,-0.958333
