layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
1,-3.226444,-3.410906,-3.226050,0.057410,0.000395,-3.411616,0.060677,-0.000710,-1.799717
2,-3.226444,-3.410906,-3.235125,0.057287,-0.008680,-3.423374,0.060567,-0.012469,1.436394
3,-3.226444,-3.410906,-3.248303,0.057208,-0.021859,-3.432686,0.060491,-0.021780,0.996400
4,-3.226444,-3.410906,-0.853417,0.050488,2.373027,-2.024345,0.052397,1.386561,0.584300
5,-3.226444,-3.410906,-0.511166,0.046955,2.715278,-1.613005,0.048691,1.797901,0.662142
6,-3.226444,-3.410906,-0.922704,0.046872,2.303741,-1.795533,0.045435,1.615372,0.701195
7,-3.226444,-3.410906,-1.499527,0.045477,1.726918,-2.056976,0.046401,1.353930,0.784015
8,-3.226444,-3.410906,-2.206360,0.048717,1.020084,-2.612729,0.051092,0.798177,0.782462
9,-3.226444,-3.410906,-2.419074,0.047899,0.807371,-2.701310,0.049862,0.709596,0.878897
10,-3.226444,-3.410906,-2.572088,0.048379,0.654356,-2.807094,0.050383,0.603811,0.922757
11,-3.226444,-3.410906,-2.550347,0.047668,0.676097,-2.807055,0.049707,0.603851,0.893142
12,-3.226444,-3.410906,-2.674676,0.047709,0.551768,-2.933870,0.050190,0.477036,0.864559
13,-3.226444,-3.410906,-2.482205,0.047860,0.744239,-2.933752,0.049255,0.477154,0.641130
14,-3.226444,-3.410906,-3.089173,0.048231,0.137271,-3.236229,0.050845,0.174676,1.272490
15,-3.226444,-3.410906,-2.961174,0.053269,0.265270,-3.122277,0.056035,0.288628,1.088055
16,-3.226444,-3.410906,-3.182726,0.054121,0.043719,-3.355271,0.057156,0.055634,1.272558
17,-3.226444,-3.410906,-3.143742,0.056412,0.082702,-3.327573,0.059599,0.083333,1.007631
18,-3.226444,-3.410906,-3.179253,0.057006,0.047191,-3.360598,0.060220,0.050308,1.066049
19,-3.226444,-3.410906,-3.227628,0.057422,-0.001184,-3.411735,0.060616,-0.000829,0.700150
20,-3.226444,-3.410906,-3.225773,0.057343,0.000671,-3.410393,0.060560,0.000513,0.764431
21,-3.226444,-3.410906,-3.229837,0.057523,-0.003393,-3.414497,0.060730,-0.003591,1.058204
22,-3.226444,-3.410906,-3.233073,0.057462,-0.006629,-3.417732,0.060700,-0.006826,1.029794
23,-3.226444,-3.410906,-3.231929,0.057421,-0.005484,-3.416154,0.060676,-0.005248,0.956872
24,-3.226444,-3.410906,-3.220486,0.057298,0.005958,-3.405658,0.060601,0.005248,0.880761
25,-3.226444,-3.410906,-3.220447,0.057288,0.005998,-3.405027,0.060491,0.005879,0.980228
26,-3.226444,-3.410906,-3.226484,0.057376,-0.000039,-3.412208,0.060630,-0.001302,33.099412
27,-3.226444,-3.410906,-3.227075,0.057367,-0.000631,-3.411656,0.060608,-0.000750,1.187870
28,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
