layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-1.507812,0.478733,-1.507812,0.052718,0.000000,0.478733,0.041872,-0.000000,nan
1,-1.507812,0.478733,-1.501263,0.052656,0.006550,0.482442,0.041749,0.003709,0.566264
2,-1.507812,0.478733,-1.448074,0.052183,0.059738,0.524818,0.041452,0.046086,0.771466
3,-1.507812,0.478733,-1.428425,0.051847,0.079388,0.532592,0.041321,0.053859,0.678429
4,-1.507812,0.478733,0.360440,0.038995,1.868253,1.118174,0.036953,0.639441,0.342267
5,-1.507812,0.478733,0.121252,0.042380,1.629064,1.186671,0.041696,0.707939,0.434568
6,-1.507812,0.478733,-0.593868,0.042755,0.913944,0.742306,0.038231,0.263573,0.288391
7,-1.507812,0.478733,-0.505997,0.042624,1.001815,0.670297,0.037019,0.191564,0.191217
8,-1.507812,0.478733,-0.332939,0.043397,1.174874,0.716580,0.037588,0.237847,0.202445
9,-1.507812,0.478733,-0.568774,0.043386,0.939039,0.620739,0.037285,0.142006,0.151225
10,-1.507812,0.478733,-0.814354,0.043381,0.693458,0.540049,0.037573,0.061316,0.088421
11,-1.507812,0.478733,-0.917929,0.042708,0.589883,0.477628,0.037322,-0.001105,-0.001873
12,-1.507812,0.478733,-1.040325,0.044205,0.467487,0.549400,0.037758,0.070668,0.151165
13,-1.507812,0.478733,-1.298414,0.045640,0.209399,0.561356,0.038839,0.082623,0.394573
14,-1.507812,0.478733,-1.389441,0.050385,0.118371,0.483902,0.040345,0.005169,0.043667
15,-1.507812,0.478733,-1.305398,0.048232,0.202415,0.471867,0.038968,-0.006866,-0.033918
16,-1.507812,0.478733,-1.384312,0.051073,0.123501,0.523635,0.040704,0.044902,0.363578
17,-1.507812,0.478733,-1.439591,0.051374,0.068221,0.488952,0.041292,0.010219,0.149797
18,-1.507812,0.478733,-1.439039,0.051221,0.068774,0.483507,0.040980,0.004774,0.069420
19,-1.507812,0.478733,-1.493450,0.051956,0.014362,0.481337,0.041599,0.002604,0.181318
20,-1.507812,0.478733,-1.488991,0.052033,0.018821,0.480193,0.041481,0.001460,0.077568
21,-1.507812,0.478733,-1.506076,0.052549,0.001736,0.480824,0.041761,0.002091,1.204542
22,-1.507812,0.478733,-1.506826,0.052803,0.000986,0.480666,0.041918,0.001933,1.959993
23,-1.507812,0.478733,-1.508602,0.052804,-0.000789,0.480745,0.041970,0.002012,-2.549992
24,-1.507812,0.478733,-1.508168,0.052760,-0.000355,0.481929,0.041905,0.003196,-8.999981
25,-1.507812,0.478733,-1.505761,0.052636,0.002052,0.480548,0.041720,0.001815,0.884612
26,-1.507812,0.478733,-1.507378,0.052724,0.000434,0.479759,0.041798,0.001026,2.363621
27,-1.507812,0.478733,-1.507655,0.052712,0.000158,0.479009,0.041827,0.000276,1.749958
28,-1.507812,0.478733,-1.507812,0.052718,0.000000,0.478733,0.041872,-0.000000,nan
