task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
next_number,preimage_matched,cue1,0,0.0072172642685472965,0.0018321866307538614,170,0.006295377854257822,0.0033940947017988984,40
next_number,preimage_matched,cue1,1,0.010429315268993378,0.0017072464220065863,170,0.008212710730731487,0.003251726478572361,40
next_number,preimage_matched,cue1,2,0.009253822267055511,0.002414607170929587,170,0.012364487163722515,0.005423491645590781,40
next_number,preimage_matched,cue1,3,0.005673930048942566,0.0012198752641448924,170,0.006626372691243887,0.0022904185569081,40
next_number,preimage_matched,cue1,4,0.0056007020175457,0.0012293144875299548,170,0.0071928007528185844,0.002298199365364605,40
next_number,preimage_matched,cue1,5,0.006017397623509169,0.0012087757408811913,170,0.007703249342739582,0.00242027967428,40
next_number,preimage_matched,cue1,6,0.0003488748916424811,0.0010652358734564746,170,0.0018749149749055505,0.001811326530164392,40
next_number,preimage_matched,cue1,7,0.0006012119119986892,0.000803918001243833,170,0.0014797631883993745,0.0013205277286465187,40
next_number,preimage_matched,cue1,8,0.0006625168025493622,0.0006997953986671853,170,0.0012848691549152136,0.001129202141451994,40
next_number,preimage_matched,cue1,9,-0.003121917834505439,0.0007046087254449331,170,-0.0031879611779004335,0.0011199157239555088,40
next_number,preimage_matched,cue1,10,0.0012955531710758805,0.0007963107934880657,170,0.0020100546535104513,0.0018373506168598468,40
next_number,preimage_matched,cue1,11,-0.0005003914702683687,0.0003972641748551248,170,3.380514681339264e-05,0.0008050777726923971,40
next_number,preimage_matched,cue1,12,-2.1465408281073906e-05,0.00036108815194445915,170,-0.00013717860565520823,0.0007967510898448507,40
next_number,preimage_matched,cue1,13,-0.00022589923173654824,0.00029370807711144424,170,-0.00016100145876407623,0.0006173554792341004,40
next_number,preimage_matched,cue1,14,-0.002711524721235037,0.00026894825873758027,170,-0.0020624122116714716,0.0005146368136861601,40
next_number,preimage_matched,cue1,15,-0.0027513529639691114,0.0002905338893175219,170,-0.001508435932919383,0.0005752773916237355,40
next_number,preimage_matched,cue1,16,-0.002543078735470772,0.0002762959464221866,170,-0.001884771860204637,0.0005326740453263336,40
next_number,preimage_matched,cue1,17,-0.0009055667323991656,0.00022038929089979842,170,-0.0002970971108879894,0.000410228028547396,40
next_number,preimage_matched,cue1,18,-0.0010985510889440775,0.00022015203887575354,170,-0.0007796460995450616,0.0003461195210586384,40
next_number,preimage_matched,cue1,19,-0.0005276466836221516,0.00022978472819702706,170,8.647479262435809e-05,0.000315793967722578,40
next_number,preimage_matched,cue1,20,-0.0004154519992880523,0.0002102413471827857,170,-5.2371247875271365e-05,0.0003461282459190833,40
next_number,preimage_matched,cue1,21,-0.0005748436087742448,0.00021308612145212903,170,-0.00040946397348307073,0.00029360986881495646,40
next_number,preimage_matched,cue1,22,-0.0003590166743379086,0.00021117146226064227,170,-0.000480823393445462,0.0002987538182879732,40
next_number,preimage_matched,cue1,23,-0.00012885926116723567,0.00019630778188415709,170,5.128234624862671e-05,0.000308999363006404,40
next_number,preimage_matched,cue1,24,-0.0008559947600588202,0.0001961528162763999,170,-0.0006026172777637839,0.0003043865072009328,40
next_number,preimage_matched,cue1,25,-0.0004053415614180267,0.00016880813656484803,170,-0.00028497035964392126,0.0002883595643975291,40
next_number,preimage_matched,cue1,26,-7.759810250718147e-05,0.00013640827086934158,170,0.00023458190844394267,0.0002893334907498497,40
next_number,preimage_matched,cue1,27,0.0,0.0,170,0.0,0.0,40
next_number,preimage_matched,target1,0,-0.14802739024162292,0.020809848390158665,170,-0.14688950777053833,0.04739294009154133,40
next_number,preimage_matched,target1,1,-0.14648714661598206,0.021010750675525172,170,-0.1469421237707138,0.047966216876346425,40
next_number,preimage_matched,target1,2,-0.1465713232755661,0.020282646178204498,170,-0.14102795720100403,0.04662082425258964,40
next_number,preimage_matched,target1,3,-0.15292727947235107,0.02103909148873494,170,-0.1468454897403717,0.04820290871912633,40
next_number,preimage_matched,target1,4,-0.1504041999578476,0.020080486739255814,170,-0.1434599906206131,0.04525931603850222,40
next_number,preimage_matched,target1,5,-0.1518859565258026,0.01866180835050992,170,-0.14953964948654175,0.04474507791780601,40
next_number,preimage_matched,target1,6,-0.1615680754184723,0.017657606640605356,170,-0.15999147295951843,0.04139623939845861,40
next_number,preimage_matched,target1,7,-0.1787651777267456,0.01622421955494803,170,-0.17548327147960663,0.03718954491622359,40
next_number,preimage_matched,target1,8,-0.15037639439105988,0.012234447231680963,170,-0.15767896175384521,0.028915720733745473,40
next_number,preimage_matched,target1,9,-0.13749456405639648,0.01108821802439687,170,-0.14632384479045868,0.02693288582999876,40
next_number,preimage_matched,target1,10,-0.13733521103858948,0.010427472958875958,170,-0.14481519162654877,0.024562025679594028,40
next_number,preimage_matched,target1,11,-0.08632293343544006,0.007035403449017917,170,-0.08866782486438751,0.01695814944114041,40
next_number,preimage_matched,target1,12,-0.07414012402296066,0.006165094881382765,170,-0.08107510954141617,0.015959180751400147,40
next_number,preimage_matched,target1,13,-0.026909561827778816,0.002308649266981327,170,-0.027690792456269264,0.00477685240553425,40
next_number,preimage_matched,target1,14,-0.022248195484280586,0.002155615675706594,170,-0.022443195804953575,0.005835098901549857,40
next_number,preimage_matched,target1,15,-0.006937980651855469,0.0010661107380629782,170,-0.008480844087898731,0.003034243759764036,40
next_number,preimage_matched,target1,16,-0.003957533277571201,0.0006712193691650256,170,-0.0027730166912078857,0.0018058459925097395,40
next_number,preimage_matched,target1,17,-0.0071945651434361935,0.0006642285952396084,170,-0.005715392529964447,0.0012765915402714481,40
next_number,preimage_matched,target1,18,-0.004243769217282534,0.0005442376430011534,170,-0.0022223186679184437,0.0012307289616121557,40
next_number,preimage_matched,target1,19,-0.004145944025367498,0.00046037282039057163,170,-0.0034085153602063656,0.0009879467244766308,40
next_number,preimage_matched,target1,20,-0.0018569041276350617,0.0003127934185037714,170,-0.001673785736784339,0.000606163213529884,40
next_number,preimage_matched,target1,21,-0.0014972148928791285,0.00024357541727674983,170,-0.0015970508102327585,0.0004729525964635587,40
next_number,preimage_matched,target1,22,-0.0010531897423788905,0.00022692436450897296,170,-0.0009601868805475533,0.00040791973234648496,40
next_number,preimage_matched,target1,23,-0.001055620494298637,0.00021429761393047299,170,-0.0007385183125734329,0.00031552669984565837,40
next_number,preimage_matched,target1,24,-0.0009193639270961285,0.00018247955676992111,170,-0.0008776219328865409,0.00038090391984712683,40
next_number,preimage_matched,target1,25,-8.759395859669894e-05,0.00017176230462459473,170,-2.0566396415233612e-05,0.00030997761497518977,40
next_number,preimage_matched,target1,26,0.00024512267555110157,0.00013470915815958246,170,0.00027394984499551356,0.0002556133408668529,40
next_number,preimage_matched,target1,27,0.0,0.0,170,0.0,0.0,40
next_number,preimage_matched,final_cue,0,-0.4819594919681549,0.061103190997938046,170,-0.44422879815101624,0.13883220118306774,40
next_number,preimage_matched,final_cue,1,-0.4771990180015564,0.06220786785073062,170,-0.4420951008796692,0.14134059753019032,40
next_number,preimage_matched,final_cue,2,-0.44707614183425903,0.06375984909099575,170,-0.4205344617366791,0.14509224098890686,40
next_number,preimage_matched,final_cue,3,-0.4483166038990021,0.063764562274062,170,-0.4207286834716797,0.14509129855672379,40
next_number,preimage_matched,final_cue,4,-0.44802936911582947,0.06360050144585455,170,-0.42132291197776794,0.14475430365669895,40
next_number,preimage_matched,final_cue,5,-0.44809526205062866,0.06326781746480323,170,-0.41972923278808594,0.1431388523787204,40
next_number,preimage_matched,final_cue,6,-0.4340254068374634,0.06450458230160791,170,-0.4076665937900543,0.14541533501423132,40
next_number,preimage_matched,final_cue,7,-0.4484383165836334,0.0676558777573739,170,-0.419008731842041,0.15072561051460864,40
next_number,preimage_matched,final_cue,8,-0.45189082622528076,0.06760939050363891,170,-0.42143040895462036,0.15268722655775338,40
next_number,preimage_matched,final_cue,9,-0.3974299728870392,0.059766393307732917,170,-0.3744949400424957,0.1368286563320979,40
next_number,preimage_matched,final_cue,10,-0.3581758439540863,0.057299181402307435,170,-0.33571022748947144,0.13041708285554174,40
next_number,preimage_matched,final_cue,11,-0.32908326387405396,0.054189943448199614,170,-0.310039758682251,0.1222785777980708,40
next_number,preimage_matched,final_cue,12,-0.3437119722366333,0.052348739169085806,170,-0.32801398634910583,0.1150264584817497,40
next_number,preimage_matched,final_cue,13,-0.3169725835323334,0.04276193738214525,170,-0.29302483797073364,0.0918151360312641,40
next_number,preimage_matched,final_cue,14,-0.2753492593765259,0.036309612621775,170,-0.24692697823047638,0.07306532523275447,40
next_number,preimage_matched,final_cue,15,-0.23953363299369812,0.031016008603828076,170,-0.21848523616790771,0.06554436299972777,40
next_number,preimage_matched,final_cue,16,-0.16588908433914185,0.022490683301129036,170,-0.14119024574756622,0.04327753194663964,40
next_number,preimage_matched,final_cue,17,-0.16420413553714752,0.022361107338547494,170,-0.1390947550535202,0.042325793245754306,40
next_number,preimage_matched,final_cue,18,-0.13304568827152252,0.019845405876590682,170,-0.11022951453924179,0.03774354189464337,40
next_number,preimage_matched,final_cue,19,-0.12005415558815002,0.019005955286496876,170,-0.09854145348072052,0.035710423521768564,40
next_number,preimage_matched,final_cue,20,-0.11985677480697632,0.019134038664916312,170,-0.09990710765123367,0.03532224748596125,40
next_number,preimage_matched,final_cue,21,-0.10162186622619629,0.018261970653699562,170,-0.0835471972823143,0.03216115323788516,40
next_number,preimage_matched,final_cue,22,-0.09796057641506195,0.01722437437318489,170,-0.07612765580415726,0.030320719837001454,40
next_number,preimage_matched,final_cue,23,-0.09356125444173813,0.016906490518396437,170,-0.07235118001699448,0.030169876497858534,40
next_number,preimage_matched,final_cue,24,-0.0906977728009224,0.016729092433549007,170,-0.0675729364156723,0.02906722848757746,40
next_number,preimage_matched,final_cue,25,-0.09136667102575302,0.01669705673167454,170,-0.06807855516672134,0.028860124303185276,40
next_number,preimage_matched,final_cue,26,-0.07354357093572617,0.01598614552389043,170,-0.05040883272886276,0.027021422621437974,40
next_number,preimage_matched,final_cue,27,-0.06592493504285812,0.016360203572197977,170,-0.04385820031166077,0.02886728443169621,40
next_number,preimage_icl10,cue1,0,-0.05904972925782204,0.006910161809127643,170,-0.06686816364526749,0.014065651899362082,40
next_number,preimage_icl10,cue1,1,-0.03234856575727463,0.0027844983265456753,170,-0.03098486363887787,0.007001903571714041,40
next_number,preimage_icl10,cue1,2,-0.030339157208800316,0.0030339901692966447,170,-0.027407903224229813,0.007088467734790048,40
next_number,preimage_icl10,cue1,3,-0.029680680483579636,0.0028549123558333964,170,-0.027248406782746315,0.006626625309352258,40
next_number,preimage_icl10,cue1,4,-0.031167395412921906,0.002508886260957814,170,-0.028659705072641373,0.005871071537977923,40
next_number,preimage_icl10,cue1,5,-0.031210433691740036,0.0025070188164548397,170,-0.0283065102994442,0.005784499717640429,40
next_number,preimage_icl10,cue1,6,-0.030992047861218452,0.0020361783710485613,170,-0.029189923778176308,0.005181920360182997,40
next_number,preimage_icl10,cue1,7,-0.02850230224430561,0.0017341509372487205,170,-0.029550954699516296,0.004113279720718217,40
next_number,preimage_icl10,cue1,8,-0.021912269294261932,0.0013555021354908143,170,-0.02310960367321968,0.003444025053368399,40
next_number,preimage_icl10,cue1,9,-0.020311517640948296,0.0012571164389997272,170,-0.021601196378469467,0.002807194470767303,40
next_number,preimage_icl10,cue1,10,-0.010026797652244568,0.0007984258829608922,170,-0.010981452651321888,0.0017497271011080494,40
next_number,preimage_icl10,cue1,11,-0.0025454030837863684,0.0005575754710745705,170,-0.003359508467838168,0.0010260714931477715,40
next_number,preimage_icl10,cue1,12,-0.0001513486640760675,0.000539008098386853,170,-0.0008077148231677711,0.0009978339424898278,40
next_number,preimage_icl10,cue1,13,-0.0009046181221492589,0.0005497807617191892,170,-0.0005831427988596261,0.001163185362443595,40
next_number,preimage_icl10,cue1,14,-0.0003507954243104905,0.0004677075972507474,170,-0.00047677120892331004,0.000847542809704181,40
next_number,preimage_icl10,cue1,15,-0.00031759837293066084,0.000405430958813321,170,-0.0004921077052131295,0.0006689222391227405,40
next_number,preimage_icl10,cue1,16,0.0007060036878101528,0.00038884835305805085,170,0.00010258946713292971,0.000622234958675741,40
next_number,preimage_icl10,cue1,17,-0.0003643138625193387,0.0003628389525951785,170,-0.0002570275100879371,0.0005464205599429899,40
next_number,preimage_icl10,cue1,18,0.0003329079190734774,0.0003607735778321925,170,0.0005329055711627007,0.0005734465330393218,40
next_number,preimage_icl10,cue1,19,0.00015099701704457402,0.0003330254839647473,170,0.00024394858337473124,0.0005073723181737047,40
next_number,preimage_icl10,cue1,20,0.0016299712006002665,0.00033777870308684737,170,0.0016323523595929146,0.0005823017141845347,40
next_number,preimage_icl10,cue1,21,0.0008656837744638324,0.00032806147733009075,170,0.0009878638666123152,0.0005030823006115734,40
next_number,preimage_icl10,cue1,22,0.0005890217144042253,0.00030264604622020513,170,0.0005920920521020889,0.0005260209895064069,40
next_number,preimage_icl10,cue1,23,7.032317807897925e-05,0.0003244521608239976,170,0.0006133891874924302,0.0006537512161731083,40
next_number,preimage_icl10,cue1,24,-0.00012652736040763557,0.0002348557714591204,170,-0.00015474110841751099,0.0005441612260390903,40
next_number,preimage_icl10,cue1,25,-0.0002797531196847558,0.00023172411974236768,170,8.165314648067579e-05,0.0005437443470531071,40
next_number,preimage_icl10,cue1,26,-0.00012608058750629425,0.00018407608824739616,170,-0.0003026157501153648,0.0002798798651683826,40
next_number,preimage_icl10,cue1,27,0.0,0.0,170,0.0,0.0,40
next_number,preimage_icl10,target1,0,-0.12085145711898804,0.017342837098100014,170,-0.1138354167342186,0.0381859549025868,40
next_number,preimage_icl10,target1,1,-0.12012362480163574,0.01738361116023748,170,-0.11372357606887817,0.03826822923216946,40
next_number,preimage_icl10,target1,2,-0.12026205658912659,0.01722459266076143,170,-0.11299973726272583,0.037826360478811764,40
next_number,preimage_icl10,target1,3,-0.12524007260799408,0.01851372251573121,170,-0.1219986081123352,0.0433898463020579,40
next_number,preimage_icl10,target1,4,-0.12278944253921509,0.016488442380514844,170,-0.11540877819061279,0.036935743217159915,40
next_number,preimage_icl10,target1,5,-0.11380521208047867,0.012992063980776614,170,-0.1146155446767807,0.03135769210452432,40
next_number,preimage_icl10,target1,6,-0.13058538734912872,0.013702178610336383,170,-0.13544940948486328,0.03334392212021057,40
next_number,preimage_icl10,target1,7,-0.12335694581270218,0.011697975226358603,170,-0.12358579784631729,0.02688531420947747,40
next_number,preimage_icl10,target1,8,-0.10996104776859283,0.008660309882851163,170,-0.11646177619695663,0.020880355454390535,40
