task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
antonym,preimage_matched,cue1,0,0.02611289545893669,0.009739381374342087,170,0.005958040710538626,0.02050210794163194,40
antonym,preimage_matched,cue1,1,-0.22408977150917053,0.02615590542702145,170,-0.1895141303539276,0.046150239590613575,40
antonym,preimage_matched,cue1,2,-0.14437347650527954,0.02189796281593954,170,-0.1052074059844017,0.03939928450452894,40
antonym,preimage_matched,cue1,3,0.07102178782224655,0.007250540712968756,170,0.07197195291519165,0.012699813209393429,40
antonym,preimage_matched,cue1,4,0.025259559974074364,0.010830970115477337,170,0.05976443365216255,0.020078062936936703,40
antonym,preimage_matched,cue1,5,0.0034076953306794167,0.006665259719818501,170,-0.007594457361847162,0.013467848316992395,40
antonym,preimage_matched,cue1,6,0.007060760632157326,0.004884086238553825,170,0.00016148239956237376,0.009205840722872212,40
antonym,preimage_matched,cue1,7,-0.022715702652931213,0.008585140098705422,170,-0.03992900997400284,0.019048846886280568,40
antonym,preimage_matched,cue1,8,-0.003636691253632307,0.004163612663476945,170,-0.0031151040457189083,0.009793421272135965,40
antonym,preimage_matched,cue1,9,-0.030781729146838188,0.004092278626340451,170,-0.025646870955824852,0.00790806978634644,40
antonym,preimage_matched,cue1,10,-0.03416966646909714,0.006723872791287012,170,-0.01696869358420372,0.011725295922643108,40
antonym,preimage_matched,cue1,11,-0.05823999270796776,0.013121501656464115,170,-0.048326216638088226,0.02669153366007354,40
antonym,preimage_matched,cue1,12,-0.10564126074314117,0.01583990084767616,170,-0.0791754350066185,0.03049546796846813,40
antonym,preimage_matched,cue1,13,-0.06302093714475632,0.012330180619830386,170,-0.05141633749008179,0.023385019770068145,40
antonym,preimage_matched,cue1,14,-0.03486606478691101,0.008201660255732929,170,-0.033669985830783844,0.01761585283502627,40
antonym,preimage_matched,cue1,15,-0.05183257907629013,0.010543684236012098,170,-0.05157558247447014,0.02222189117443808,40
antonym,preimage_matched,cue1,16,-0.012375368736684322,0.005005059842032619,170,-0.014653535559773445,0.01207600203289149,40
antonym,preimage_matched,cue1,17,-0.020197434350848198,0.0056000774896768106,170,-0.026229780167341232,0.01261727028663859,40
antonym,preimage_matched,cue1,18,-0.014553070068359375,0.004470588710922979,170,-0.017628703266382217,0.011291971495065242,40
antonym,preimage_matched,cue1,19,-0.006174037698656321,0.004940306146748635,170,-0.002496385481208563,0.00872040215165062,40
antonym,preimage_matched,cue1,20,-0.004245441406965256,0.003592767222050722,170,-0.00400223582983017,0.008377269073013378,40
antonym,preimage_matched,cue1,21,-0.008228488266468048,0.005066332364760875,170,-0.00872419960796833,0.009752310613249784,40
antonym,preimage_matched,cue1,22,-0.0036096489056944847,0.003914409680333152,170,-0.0045531331561505795,0.008236921483289372,40
antonym,preimage_matched,cue1,23,-0.001104550203308463,0.003890354903688427,170,-0.0018937140703201294,0.0074908915781451485,40
antonym,preimage_matched,cue1,24,-0.008812078274786472,0.005957074249573921,170,-0.0023177966941148043,0.011870993582066424,40
antonym,preimage_matched,cue1,25,-0.01492156833410263,0.00934322313749337,170,-0.004364539869129658,0.018244981685121224,40
antonym,preimage_matched,cue1,26,-0.04338345304131508,0.01975092049908829,170,-0.03579907491803169,0.03875873691049578,40
antonym,preimage_matched,cue1,27,-0.04741582274436951,0.020470832926520764,170,-0.056372202932834625,0.04378708617938596,40
antonym,preimage_matched,target1,0,-0.027990873903036118,0.011896247775004582,170,0.005397717468440533,0.02191285823728515,40
antonym,preimage_matched,target1,1,0.024784138426184654,0.03027720458665621,170,0.04401058703660965,0.059742335810542446,40
antonym,preimage_matched,target1,2,-0.1277153044939041,0.023800957336484085,170,-0.08776703476905823,0.03786691333564959,40
antonym,preimage_matched,target1,3,-0.07812818884849548,0.01106911729001608,170,-0.056731484830379486,0.01878319174643424,40
antonym,preimage_matched,target1,4,0.07573103904724121,0.00972311037838808,170,0.090245321393013,0.0184853395890933,40
antonym,preimage_matched,target1,5,-0.1910964548587799,0.01908438224128734,170,-0.10135972499847412,0.027466943299505088,40
antonym,preimage_matched,target1,6,-0.13993462920188904,0.016298013327354734,170,-0.0712716355919838,0.028489277239144302,40
antonym,preimage_matched,target1,7,-0.1868668794631958,0.01669923960743995,170,-0.13725368678569794,0.029305060673298886,40
antonym,preimage_matched,target1,8,-0.07405369728803635,0.0170574426633425,170,-0.06283513456583023,0.03260921848284659,40
antonym,preimage_matched,target1,9,-0.16618238389492035,0.018688705722833977,170,-0.13840016722679138,0.035655906176057996,40
antonym,preimage_matched,target1,10,-0.26282748579978943,0.02233529911837236,170,-0.20702657103538513,0.04270174358006665,40
antonym,preimage_matched,target1,11,-0.06844966858625412,0.01441752528453178,170,-0.0302263293415308,0.02702314256017209,40
antonym,preimage_matched,target1,12,-0.08129393309354782,0.012511710168495596,170,-0.053086210042238235,0.02191564783654706,40
antonym,preimage_matched,target1,13,-0.0671759694814682,0.012454959970062488,170,-0.030616527423262596,0.020808355991683875,40
antonym,preimage_matched,target1,14,-0.09875768423080444,0.017402253604994224,170,-0.04384284466505051,0.03054556766332053,40
antonym,preimage_matched,target1,15,-0.07786638289690018,0.014590940478257507,170,-0.03580625355243683,0.02607611366412168,40
