icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
6,pre_label_token,0,4096,4096,0.1,0.19794350862503052,True,3400,1190,0.19782809913158417,0.2171173656688017,810.3038940429688,889.3127494747899
6,pre_label_token,1,4096,4096,1000000.0,0.19790439307689667,False,3400,1190,0.19674663245677948,0.21627940650747604,805.8742065429688,885.8804424894957
6,pre_label_token,2,4096,4096,1000000.0,0.19784964621067047,False,3400,1190,0.19678063690662384,0.21589668818882535,806.0134887695312,884.3128348214286
6,pre_label_token,3,4096,4096,1000000.0,0.1978481560945511,False,3400,1190,0.1967712789773941,0.21594348074007436,805.97509765625,884.5044774159663
6,pre_label_token,4,4096,4096,3162277.6601683795,0.1979195773601532,False,3400,1190,0.19740349054336548,0.21625816922227875,808.564697265625,885.7934545693278
6,pre_label_token,5,4096,4096,3162277.6601683795,0.1979222446680069,False,3400,1190,0.1974024474620819,0.21619519145548843,808.5603637695312,885.5354582457983
6,pre_label_token,6,4096,4096,3162277.6601683795,0.1979224681854248,False,3400,1190,0.1973988562822342,0.2161239367573201,808.545654296875,885.2436515231093
6,pre_label_token,7,4096,4096,3162277.6601683795,0.1979304701089859,False,3400,1190,0.19740477204322815,0.2160484714668338,808.5699462890625,884.9345522584034
6,pre_label_token,8,4096,4096,3162277.6601683795,0.1979275643825531,False,3400,1190,0.1973988115787506,0.2159974971739184,808.5455322265625,884.7257615546218
6,pre_label_token,9,4096,4096,3162277.6601683795,0.19793592393398285,False,3400,1190,0.19740857183933258,0.21583817906740332,808.5853881835938,884.0732011554621
6,pre_label_token,10,4096,4096,10000000.0,0.1979382187128067,False,3400,1190,0.19767670333385468,0.2165961465915712,809.6837158203125,887.1778230042016
6,pre_label_token,11,4096,4096,10000000.0,0.19793608784675598,False,3400,1190,0.19767387211322784,0.21657257080078124,809.6721801757812,887.0812565651261
6,pre_label_token,12,4096,4096,3162277.6601683795,0.19793494045734406,False,3400,1190,0.19740456342697144,0.2159709706025965,808.5691528320312,884.6170955882353
6,pre_label_token,13,4096,4096,3162277.6601683795,0.19792287051677704,False,3400,1190,0.19739021360874176,0.21601013696494223,808.5104370117188,884.7775144432773
