icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
4,pre_label_token,0,16,16,16,16,0.01,91.58484649658203,True,3400,1190,0.3306625949635225,0.33284623282296316,82.65532542509192,39.63892504267332,0.1780068725347519,1354.3939889705882,1363.3382221638656
4,pre_label_token,1,16,16,16,16,1000.0,72.3534927368164,False,3400,1190,0.12353503788218778,0.29464442790055473,29.630669447954965,29.859243492318804,0.1780068725347519,505.99951056985293,1206.8636029411764
4,pre_label_token,2,16,16,16,16,1000.0,74.82614135742188,False,3400,1190,0.12267633858849021,0.28716870957062024,29.410842931410844,27.94547231978729,0.1780068725347519,502.48227251838233,1176.2430606617647
4,pre_label_token,3,16,16,16,16,1000.0,71.28313446044922,False,3400,1190,0.11134776620303884,0.2876303648748318,26.510731237074907,28.063659975709033,0.1780068725347519,456.0804538143382,1178.133987657563
4,pre_label_token,4,16,16,16,16,316.22776601683796,61.5603141784668,False,3400,1190,0.06673454628271215,0.2820512354874811,15.089739631204043,26.63538295200893,0.1780068725347519,273.3447044462316,1155.281899947479
4,pre_label_token,5,16,16,16,16,316.22776601683796,60.95161437988281,False,3400,1190,0.056433111218845144,0.26684413717574434,12.45257080078125,22.74235634683561,0.1780068725347519,231.15001924402574,1092.9935464810924
4,pre_label_token,6,16,16,16,16,316.22776601683796,59.4331169128418,False,3400,1190,0.052000425983877746,0.25778879277846395,11.31780257281135,20.424191463694854,0.1780068725347519,212.99374224494485,1055.9029149159664
4,pre_label_token,7,16,16,16,16,316.22776601683796,58.60027313232422,False,3400,1190,0.04665417664191302,0.2511128481696634,9.949163952995749,18.71514277097558,0.1780068725347519,191.0955091050092,1028.558206407563
4,pre_label_token,8,16,16,16,16,316.22776601683796,57.88771438598633,False,3400,1190,0.04443554864210241,0.24518968277618663,9.381196585262522,17.198810891544117,0.1780068725347519,182.00800623276655,1004.2969406512605
4,pre_label_token,9,16,16,16,16,100.0,57.07481384277344,False,3400,1190,0.037403761253637424,0.22220515563708393,7.581058286779067,11.314767430409663,0.1780068725347519,153.2058073874081,910.1523010766807
4,pre_label_token,10,16,16,16,16,100.0,56.384700775146484,False,3400,1190,0.03590097017147962,0.216263623598243,7.196345026352827,9.793729689141282,0.1780068725347519,147.0503719554228,885.8157989758404
4,pre_label_token,11,16,16,16,16,100.0,55.470863342285156,False,3400,1190,0.03608694139648886,0.21396400467688295,7.24395502427045,9.205029399455094,0.1780068725347519,147.81211267807905,876.3965303308823
4,pre_label_token,12,16,16,16,16,100.0,55.557743072509766,False,3400,1190,0.03482523609610165,0.21425166089995568,6.920958296831916,9.278675137047006,0.1780068725347519,142.64416618795957,877.5748128939076
4,pre_label_token,13,16,16,16,16,100.0,58.690433502197266,False,3400,1190,0.033144427082117865,0.21106951417041425,6.490670201918658,8.464046856535584,0.1780068725347519,135.75957103056066,864.5407169117647
