layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5270758122743683,0.0014661546066068298,0.8157350369451601
1,1.0,0.5586642599277978,0.0014632843347631187,0.797257115455185
2,1.0,0.5884476534296029,0.0014145740033989732,0.7433002658432295
3,1.0,0.6001805054151624,0.0013902305298093322,0.7541459942914126
4,1.0,0.6435018050541517,0.0013583845772567097,0.7131191345183087
5,1.0,0.7427797833935018,0.001275588929433415,0.5431167217833222
6,1.0,0.7933212996389891,0.0011852435309774004,0.42635094565215337
7,1.0,0.8483754512635379,0.0011249261361674732,0.34325059970645055
8,1.0,0.8953068592057761,0.0009868041469646908,0.23475779429000496
9,1.0,0.9323104693140795,0.000950533520873728,0.1697952981224985
10,1.0,0.9494584837545126,0.0009420350893668952,0.1438395273590059
11,1.0,0.9638989169675091,0.0009007962650819127,0.11436928591917098
12,1.0,0.9648014440433214,0.0008903831391896773,0.109052682220705
13,1.0,0.9720216606498195,0.000864130312593659,0.09447368591102948
14,1.0,0.973826714801444,0.0008787316865595515,0.09189568948223355
15,1.0,0.9756317689530686,0.0008819908230239782,0.09452644253275964
16,1.0,0.970216606498195,0.000899229879504797,0.10254824282188023
17,1.0,0.9675090252707581,0.0009203145540769575,0.1131204874000761
18,1.0,0.9629963898916968,0.0009354440625685188,0.12423098470269545
19,1.0,0.9611913357400722,0.0009574587837938138,0.13355408459578647
20,1.0,0.9620938628158845,0.0009650649182027677,0.13176682932646158
21,1.0,0.9638989169675091,0.0009738347156933742,0.1376178450029737
22,1.0,0.9629963898916968,0.0009866269930611598,0.1435620171297831
23,1.0,0.9566787003610109,0.0009911716991836302,0.15284754737321582
24,1.0,0.9602888086642599,0.000993847668539574,0.15325877099890295
25,1.0,0.9584837545126353,0.0009997499813664899,0.15302959968243687
26,1.0,0.9548736462093863,0.0010109221718939117,0.15986532140798898
27,1.0,0.9530685920577617,0.0010209076565115447,0.1588079237489154
28,1.0,0.9467509025270758,0.0010288407327381705,0.16365998359557596
