layer,best_alpha,alpha_pinned,r2_train_insample_uniform,r2_train_unseenprompts_uniform,r2_train_unseenprompts_oracle,r2_test_uniform,r2_test_weighted
0,3162.28,False,0.3595,0.3273,0.4982,0.2115,0.2433
1,3162.28,False,0.4106,0.3653,0.4982,0.2231,0.2561
2,10000,False,0.4127,0.3720,0.4982,0.2322,0.2646
3,10000,False,0.4440,0.3965,0.4982,0.2425,0.2753
4,10000,False,0.4656,0.4131,0.4982,0.2503,0.2838
5,10000,False,0.4823,0.4264,0.4982,0.2582,0.2928
6,10000,False,0.4933,0.4355,0.4982,0.2606,0.2955
7,10000,False,0.5071,0.4417,0.4982,0.2664,0.3016
8,31622.8,False,0.4706,0.4287,0.4982,0.2675,0.3015
9,31622.8,False,0.4660,0.4287,0.4982,0.2698,0.3036
10,31622.8,False,0.4667,0.4315,0.4982,0.2707,0.3045
11,31622.8,False,0.4738,0.4384,0.4982,0.2740,0.3081
12,31622.8,False,0.4779,0.4423,0.4982,0.2775,0.3115
13,31622.8,False,0.4818,0.4452,0.4982,0.2790,0.3131
14,31622.8,False,0.4866,0.4494,0.4982,0.2828,0.3167
15,31622.8,False,0.4927,0.4538,0.4982,0.2842,0.3183
16,31622.8,False,0.4978,0.4572,0.4982,0.2864,0.3202
17,31622.8,False,0.5022,0.4595,0.4982,0.2860,0.3201
18,31622.8,False,0.5031,0.4602,0.4982,0.2871,0.3212
19,31622.8,False,0.5067,0.4623,0.4982,0.2891,0.3237
20,31622.8,False,0.5123,0.4622,0.4982,0.2899,0.3247
21,31622.8,False,0.5195,0.4626,0.4982,0.2893,0.3245
22,31622.8,False,0.5329,0.4630,0.4982,0.2871,0.3228
23,100000,False,0.4991,0.4496,0.4982,0.2813,0.3158
24,100000,False,0.5140,0.4554,0.4982,0.2830,0.3180
25,100000,False,0.5280,0.4582,0.4982,0.2812,0.3167
26,316228,False,0.4940,0.4452,0.4982,0.2739,0.3082
27,316228,False,0.5022,0.4474,0.4982,0.2696,0.3041
