layer,cos_task_a0.0,cos_task_a0.5,cos_task_a1.0,cos_task_a2.0,cos_task_a4.0,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0
0,0.17569,0.17569,0.17569,0.17569,0.17569,0.0,0.0,0.0,0.0,0.0
1,0.21363,0.21363,0.21363,0.21363,0.21363,0.0,0.0,0.0,0.0,0.0
2,0.24233,0.24233,0.24233,0.24233,0.24233,0.0,0.0,0.0,0.0,0.0
3,0.16835,0.16835,0.16835,0.16835,0.16835,0.0,0.0,0.0,0.0,0.0
4,0.18823,0.18823,0.18823,0.18823,0.18823,0.0,0.0,0.0,0.0,0.0
5,0.19147,0.19147,0.19147,0.19147,0.19147,0.0,0.0,0.0,0.0,0.0
6,0.21138,0.21138,0.21138,0.21138,0.21138,0.0,0.0,0.0,0.0,0.0
7,0.22824,0.22824,0.22824,0.22824,0.22824,0.0,0.0,0.0,0.0,0.0
8,0.19822,0.19822,0.19822,0.19822,0.19822,0.0,0.0,0.0,0.0,0.0
9,0.27989,0.27989,0.27989,0.27989,0.27989,0.0,0.0,0.0,0.0,0.0
10,0.28833,0.28833,0.28833,0.28833,0.28833,0.0,0.0,0.0,0.0,0.0
11,0.30756,0.30756,0.30756,0.30756,0.30756,0.0,0.0,0.0,0.0,0.0
12,0.31009,0.31009,0.31009,0.31009,0.31009,0.0,0.0,0.0,0.0,0.0
13,0.29229,0.29593,0.29714,0.29761,0.29769,0.0,0.00364,0.00485,0.00532,0.0054
14,0.33761,0.34651,0.34752,0.34403,0.34123,0.0,0.00889,0.00991,0.00641,0.00362
15,0.32252,0.33119,0.33364,0.33176,0.32964,0.0,0.00867,0.01112,0.00924,0.00712
16,0.32857,0.34229,0.35044,0.35135,0.34284,0.0,0.01371,0.02186,0.02277,0.01427
17,0.34368,0.35952,0.37938,0.39292,0.38527,0.0,0.01585,0.0357,0.04924,0.0416
18,0.35391,0.37062,0.39391,0.40769,0.39731,0.0,0.0167,0.04,0.05378,0.04339
19,0.35995,0.38137,0.40927,0.42805,0.41672,0.0,0.02142,0.04932,0.0681,0.05677
20,0.35626,0.37785,0.41211,0.43831,0.43535,0.0,0.02158,0.05585,0.08205,0.07909
21,0.34065,0.36221,0.39708,0.42618,0.42254,0.0,0.02156,0.05643,0.08553,0.08189
22,0.34094,0.36617,0.40696,0.44237,0.44449,0.0,0.02522,0.06601,0.10143,0.10354
23,0.36332,0.38614,0.42181,0.45,0.45258,0.0,0.02281,0.05849,0.08667,0.08926
24,0.39065,0.41552,0.45534,0.48019,0.48121,0.0,0.02487,0.06469,0.08953,0.09056
25,0.3857,0.40789,0.44526,0.46926,0.46738,0.0,0.02219,0.05957,0.08357,0.08168
26,0.40881,0.42271,0.44872,0.46623,0.46751,0.0,0.0139,0.03991,0.05742,0.0587
27,0.10598,0.11072,0.10726,0.12384,0.12666,0.0,0.00474,0.00128,0.01786,0.02068
