variant,n_shots,spearman_rho,spearman_p,pearson_r,pearson_p
L24_minus_gm,0,0.2501,1.399e-02,0.1048,3.096e-01
L24_minus_gm,1,0.2857,4.775e-03,0.3384,7.462e-04
L24_minus_gm,2,-0.0228,8.254e-01,0.0573,5.790e-01
L24_minus_gm,3,-0.1103,2.846e-01,-0.0960,3.521e-01
L24_minus_gm,4,-0.2170,3.368e-02,-0.2251,2.742e-02
L24_minus_gm,5,-0.2138,3.645e-02,-0.2337,2.195e-02
L24_minus_gm,6,-0.2250,2.749e-02,-0.2569,1.151e-02
L24_minus_gm,pooled,0.3655,1.140e-22,0.5439,5.342e-53
L24_cos_gm,0,0.0464,6.536e-01,-0.4027,4.754e-05
L24_cos_gm,1,0.3716,1.936e-04,0.3500,4.724e-04
L24_cos_gm,2,0.3001,2.976e-03,0.3349,8.523e-04
L24_cos_gm,3,0.2705,7.687e-03,0.3579,3.432e-04
L24_cos_gm,4,0.2955,3.467e-03,0.3685,2.206e-04
L24_cos_gm,5,0.3008,2.907e-03,0.3547,3.907e-04
L24_cos_gm,6,0.2644,9.229e-03,0.3571,3.551e-04
L24_cos_gm,pooled,0.1981,2.260e-07,0.1468,1.333e-04
meanL9-20_minus_gm,0,0.1047,3.100e-01,-0.0919,3.729e-01
meanL9-20_minus_gm,1,0.2942,3.625e-03,0.2531,1.285e-02
meanL9-20_minus_gm,2,0.0385,7.098e-01,0.0585,5.710e-01
meanL9-20_minus_gm,3,-0.0618,5.496e-01,-0.0340,7.424e-01
meanL9-20_minus_gm,4,-0.1352,1.890e-01,-0.1140,2.686e-01
meanL9-20_minus_gm,5,-0.1333,1.954e-01,-0.1231,2.322e-01
meanL9-20_minus_gm,6,-0.1833,7.389e-02,-0.1648,1.085e-01
meanL9-20_minus_gm,pooled,0.2810,1.175e-13,0.3792,2.074e-24
