task,pooled_zs_best,fail,c_mass_coverage,cos_v39_vown,probe_L6_9_12_max
adjective_to_adverb,0.86,0,0.6329635381698608,0.9019544124603271,0.84
agent_noun,0.2,1,0.6720616817474365,0.766748309135437,0.2
agent_noun_to_verb,0.56,0,0.5994462966918945,0.8103329539299011,0.56
animal_class,0.8,0,0.5913849472999573,0.7826623916625977,0.6
animal_plant_object,0.74,0,0.5751674771308899,0.7226945161819458,0.58
antonym,0.42,0,0.5017266273498535,0.7915691137313843,0.42
article_choice,0.6,0,0.6398945450782776,0.6996490955352783,0.48
capitalize,0.98,0,0.5959723591804504,0.8246510028839111,0.98
capitalize_first_letter,1.0,0,0.4283679127693176,0.7130270600318909,0.98
case_of_word,0.24,1,0.46420416235923767,0.700484037399292,0.0
city-continent,0.38,1,0.6132298707962036,0.7731812000274658,0.28
city-country,0.84,0,0.5310794115066528,0.48921626806259155,0.84
compound_join,0.16,1,0.4176473915576935,0.624714732170105,0.12
concrete_abstract,0.42,0,0.7875420451164246,0.7002345323562622,0.18
contains_letter_e,0.48,0,0.7140752673149109,0.6569569110870361,0.48
count_vowels,0.38,1,0.9555101990699768,0.6713624596595764,0.12
countable_uncountable,0.02,1,0.6357408761978149,0.6547662615776062,0.0
days_in_month,0.22,1,0.31939321756362915,0.491893470287323,0.12
ends_with_ing,0.4,0,0.5643621683120728,0.8421120643615723,0.4
ends_with_vowel,0.38,1,0.5979373455047607,0.8212262392044067,0.18
english-dutch,0.12,1,0.3701140582561493,0.5937420725822449,0.06
english-french,0.58,0,0.43139076232910156,0.8119962215423584,0.58
english-italian,0.5,0,0.47161489725112915,0.6608433127403259,0.4
english-spanish,0.6,0,0.4194432199001312,0.7338587045669556,0.6
first_digit,0.88,0,0.39888739585876465,0.7425679564476013,0.86
first_three_letters,0.44,0,0.5048388242721558,0.8582569360733032,0.4
french-english,0.66,0,0.46975910663604736,0.6528697609901428,0.66
french_noun_gender,0.82,0,0.689505934715271,0.5899001359939575,0.7
german-english,0.7,0,0.6137456297874451,0.7365375757217407,0.7
german_noun_gender,0.54,0,0.5137050747871399,0.7336586713790894,0.5
gerund_to_past,0.9,0,0.6773216724395752,0.8693163394927979,0.8
hour_after_time,0.28,1,0.4062063694000244,0.47074615955352783,0.26
hypernym_category,0.52,0,0.5690613985061646,0.8174158334732056,0.36
initials_two_words,0.7,0,0.3891380727291107,0.8008227348327637,0.68
iso_date_to_month,0.92,0,0.3890915513038635,0.6915728449821472,0.82
iso_date_year_plus_one,0.62,0,0.36472731828689575,0.387783020734787,0.44
landmark-country,0.7,0,0.4051770269870758,0.751403272151947,0.7
language_identification,0.98,0,0.6940777897834778,0.7797351479530334,0.98
larger_of_pair,0.8,0,0.3427868187427521,0.47215574979782104,0.6
larger_than_1000,0.58,0,0.5422161817550659,0.6547116041183472,0.58
living_nonliving,0.02,1,0.6422775983810425,0.6951631307601929,0.0
lowercase_first_letter,0.56,0,0.46717536449432373,0.7641355395317078,0.44
lowercase_word,0.98,0,0.6427055597305298,0.8493523001670837,0.98
natural_manmade,0.66,0,0.4591076672077179,0.7630242705345154,0.38
next_item,0.6595744680851063,0,0.40079307556152344,0.5513144731521606,0.574468085106383
next_month_of_date,1.0,0,0.5005287528038025,0.7053263783454895,1.0
next_number_digits,1.0,0,0.3907433748245239,0.2938562035560608,1.0
noun_possessive,0.0,1,0.5506884455680847,0.4923388659954071,0.0
number_word_to_digits,0.76,0,0.3009795844554901,0.46724072098731995,0.68
park-country,0.62,0,0.34751516580581665,0.6937324404716492,0.62
past_to_base,0.92,0,0.6153604388237,0.8082392811775208,0.92
person-instrument,0.48,0,0.5161421895027161,0.7322067022323608,0.4
person-sport,0.86,0,0.5716428160667419,0.8460674285888672,0.84
person_place_thing,0.82,0,0.5554845929145813,0.7235934734344482,0.72
plural_to_singular,0.94,0,0.64970862865448,0.886268675327301,0.9
plus_ten,0.0,1,0.4096980690956116,0.42312970757484436,0.0
pos_label,0.42,0,0.8445764183998108,0.18163922429084778,0.4
present-past,0.96,0,0.6698995232582092,0.8629888296127319,0.96
product-company,0.74,0,0.4188878834247589,0.7763727307319641,0.66
round_down_to_hundred,0.04,1,0.37823158502578735,0.4912400245666504,0.04
singular-plural,0.9069767441860465,0,0.6445114612579346,0.847846269607544,0.7674418604651163
singular_or_plural,0.76,0,0.5956693887710571,0.7467930316925049,0.76
spanish-english,0.8,0,0.43065017461776733,0.8266937732696533,0.72
spanish_noun_gender,0.9,0,0.6243745684623718,0.5904018878936768,0.9
starts_with_vowel,0.48,0,0.7148309946060181,0.5587727427482605,0.16
third_person_to_base,0.96,0,0.5947909355163574,0.9098902940750122,0.94
us-city-state,0.78,0,0.35982421040534973,0.5155119895935059,0.72
verb_tense_label,0.48,0,0.7279091477394104,0.687250018119812,0.48
verb_to_gerund,0.32,1,0.7331399321556091,0.8408156633377075,0.32
verb_to_third_person,0.92,0,0.7057051062583923,0.8623340129852295,0.86
word_polarity,0.66,0,0.6386990547180176,0.6905288100242615,0.62
year_to_decade,0.0,1,0.49000176787376404,0.30709248781204224,0.0
