task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
word_length,preimage_matched,cue1,0,-0.00940011814236641,0.004135102420250307,170,-0.01247898954898119,0.009565950539247362,40
word_length,preimage_matched,cue1,1,-0.0249625314027071,0.0030894794998301777,170,-0.020458782091736794,0.006598338207377188,40
word_length,preimage_matched,cue1,2,-0.041861746460199356,0.0032866243245696022,170,-0.03457557037472725,0.005700643869050541,40
word_length,preimage_matched,cue1,3,-0.04127506539225578,0.0033084893682475587,170,-0.03402232006192207,0.00562720601922446,40
word_length,preimage_matched,cue1,4,-0.04965154826641083,0.0035743230646998942,170,-0.041560739278793335,0.006242874581664609,40
word_length,preimage_matched,cue1,5,-0.046386461704969406,0.003130710423008075,170,-0.040524955838918686,0.005899469964754619,40
word_length,preimage_matched,cue1,6,-0.04486287385225296,0.003018349464434064,170,-0.03833731263875961,0.005894627630393944,40
word_length,preimage_matched,cue1,7,-0.0388963520526886,0.002630368440203942,170,-0.03307657688856125,0.00491781876088846,40
word_length,preimage_matched,cue1,8,-0.038906797766685486,0.002516787471221776,170,-0.03379783779382706,0.004700722733785254,40
word_length,preimage_matched,cue1,9,-0.04443516954779625,0.0027350119043670217,170,-0.04131471738219261,0.005368128466995897,40
word_length,preimage_matched,cue1,10,-0.024918973445892334,0.0018545121069312893,170,-0.024458039551973343,0.0038998571175586126,40
word_length,preimage_matched,cue1,11,-0.013193909078836441,0.0014759615917261713,170,-0.009999441914260387,0.0031002464086857507,40
word_length,preimage_matched,cue1,12,-0.014086426235735416,0.0013867292590385636,170,-0.010905707255005836,0.0032576287546289408,40
word_length,preimage_matched,cue1,13,-0.005922290030866861,0.000624322754794831,170,-0.0045649707317352295,0.0012248000323953983,40
word_length,preimage_matched,cue1,14,-0.0035725256893783808,0.00038688672918018457,170,-0.0029542266856878996,0.0007925131637490886,40
word_length,preimage_matched,cue1,15,-0.0028922937344759703,0.00037017726519980414,170,-0.0027774751652032137,0.000923962352976988,40
word_length,preimage_matched,cue1,16,-0.00201148702763021,0.00029427467123088725,170,-0.0007791817188262939,0.0006660520913601838,40
word_length,preimage_matched,cue1,17,-0.0010347162606194615,0.0002653556209452052,170,-0.0007902830839157104,0.0005331254556165248,40
word_length,preimage_matched,cue1,18,-0.0006074323318898678,0.00022224253885308782,170,-0.0005394726758822799,0.000498216258191293,40
word_length,preimage_matched,cue1,19,-0.0005513654323294759,0.00023947523944016247,170,-1.7428397768526338e-05,0.0005245717791423825,40
word_length,preimage_matched,cue1,20,-0.0007399713504128158,0.00026561944462450966,170,-0.0003086388169322163,0.0005831082299762089,40
word_length,preimage_matched,cue1,21,-4.3015621486119926e-05,0.00020525750109316046,170,0.0003739953099284321,0.0005248532939433197,40
word_length,preimage_matched,cue1,22,-8.080356201389804e-05,0.0002374078646601139,170,0.0008017003419809043,0.0005947110427001784,40
word_length,preimage_matched,cue1,23,0.00012681273801717907,0.0002186444010137907,170,0.0009179592016153038,0.0004810776871769437,40
word_length,preimage_matched,cue1,24,-6.464860052801669e-05,0.000197432970054793,170,0.00022721290588378906,0.00048823203592800185,40
word_length,preimage_matched,cue1,25,0.00011810976138804108,0.0001325881043501587,170,3.7547946703853086e-05,0.0003591777288578338,40
word_length,preimage_matched,cue1,26,7.931414438644424e-05,0.00010219974688666344,170,9.987354133045301e-05,0.0002082340354129202,40
word_length,preimage_matched,cue1,27,0.0,0.0,170,0.0,0.0,40
word_length,preimage_matched,target1,0,-0.08204519003629684,0.014353852741328466,170,-0.13173659145832062,0.03153402116597811,40
word_length,preimage_matched,target1,1,-0.04324277862906456,0.012505779832188415,170,-0.09021331369876862,0.027963430710033037,40
word_length,preimage_matched,target1,2,-0.054122257977724075,0.011997032634820558,170,-0.09288252890110016,0.026251945592598896,40
word_length,preimage_matched,target1,3,-0.016579438000917435,0.009687340930374558,170,-0.048667166382074356,0.02002934626131297,40
word_length,preimage_matched,target1,4,0.020268196240067482,0.007809894627787017,170,-0.01013538520783186,0.01585781038970788,40
word_length,preimage_matched,target1,5,0.012808004394173622,0.006694426254358378,170,-0.013211121782660484,0.014079836681757626,40
