task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,0,-2.690530300140381,0.1001955976460047,170,-2.7258477210998535,0.22770837187572665,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,1,-2.5897889137268066,0.10027538804099838,170,-2.656768798828125,0.2330197877190455,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,2,-2.7143499851226807,0.10003592542666592,170,-2.8995842933654785,0.22738234688631281,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,3,-2.033526659011841,0.08458446560714428,170,-2.128248453140259,0.1870632697758244,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,4,-2.36072039604187,0.09815401680029512,170,-2.4919636249542236,0.20643287109953493,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,5,-1.4857579469680786,0.06791215422943449,170,-1.4871827363967896,0.13613942740364787,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,6,-1.4208593368530273,0.0639318962730507,170,-1.3587605953216553,0.12916863351829722,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,7,-1.0046335458755493,0.05016274566279123,170,-0.9897459745407104,0.11503740954371705,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,8,-0.9781947135925293,0.047762281755377826,170,-0.9183350801467896,0.09665007701146267,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,9,-1.1059887409210205,0.06018424830110961,170,-1.0969221591949463,0.1314288497743282,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,10,-0.5585233569145203,0.030961491567303667,170,-0.5515168905258179,0.0673140621531106,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,11,-0.11207406967878342,0.012351051655028257,170,-0.08869074285030365,0.025539794357375967,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,12,-0.32733768224716187,0.020445417852556783,170,-0.2922140657901764,0.037565177179674135,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,13,-0.125100776553154,0.011579758217825448,170,-0.1249064952135086,0.0261734268552658,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,14,-0.07349187880754471,0.00687307863562075,170,-0.063111312687397,0.013982502285889388,40
capitalize_first_letter,pcasub_matched_k0_zero,cue1,0,zero,15,-0.06368287652730942,0.007237490887352346,170,-0.04837394133210182,0.014190353347786662,40
