property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,24,8,8.0,32.0,0.0,0.515,0.936,0.016,1.0,0.0,0.183,0.195,0.095,199,0.061,0.974,0.979,0.015,199,0.005,0.01,0.419
ampersand,20,16,8.0,16.0,0.0,0.0,0.128,0.761,0.333,0.667,0.978,0.978,0.035,144,0.0,0.908,1.0,0.021,144,0.092,0.0,0.348
contractions,4,16,16.0,4.0,0.042,0.054,0.12,0.78,0.16,0.83,0.047,0.381,0.011,174,0.878,0.087,0.652,0.006,174,0.867,0.081,0.069
curly_quotes,24,20,8.0,32.0,0.013,0.138,0.308,0.674,0.316,0.684,0.076,0.135,0.21,167,0.439,0.992,1.0,0.204,167,0.008,0.006,0.072
double_space,16,8,32.0,16.0,0.0,0.0,0.658,0.196,0.722,0.278,0.848,0.955,0.01,200,0.111,0.894,1.0,0.01,200,0.106,0.0,0.9
em_dash,20,20,16.0,8.0,0.0,0.0,0.464,0.536,0.473,0.527,1.0,1.0,0.0,99,0.0,0.959,1.0,0.02,99,0.041,0.012,0.035
num_words,20,16,8.0,16.0,0.0,0.0,0.4,0.553,0.235,0.729,0.827,0.957,0.0,81,0.136,0.605,0.942,0.0,81,0.358,0.074,0.148
ordinal_words,20,20,8.0,16.0,0.068,0.0,0.169,0.831,0.169,0.759,0.862,0.994,0.025,200,0.133,0.112,0.229,0.02,200,0.51,0.115,0.01
oxford_comma,20,16,16.0,16.0,0.0,0.0,0.5,0.455,0.591,0.364,0.985,1.0,0.0,67,0.015,0.716,1.0,0.0,67,0.284,0.134,0.485
percent_sign,8,4,8.0,16.0,0.0,0.0,0.695,0.288,0.831,0.169,0.932,0.96,0.01,104,0.029,0.913,0.931,0.0,104,0.019,0.077,0.437
quote_punct,16,16,32.0,2.0,0.024,0.79,0.796,0.053,0.965,0.035,0.982,0.982,0.128,125,0.0,0.926,0.991,0.032,125,0.066,0.017,0.902
sentence_caps,20,2,8.0,16.0,0.151,0.057,0.702,0.03,0.965,0.03,0.387,0.399,0.03,200,0.031,0.938,0.978,0.03,200,0.041,0.0,0.862
us_uk,20,12,32.0,0.25,0.007,0.168,0.15,0.833,0.233,0.767,0.09,0.481,0.014,146,0.812,0.181,1.0,0.014,146,0.819,0.017,0.22
