property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,24,8,8.0,32.0,0.0,0.266,0.88,0.016,0.99,0.0,0.166,0.185,0.196,0.106,199,0.056,0.955,0.969,0.974,0.015,199,0.005,0.01,0.377
ampersand,20,16,8.0,16.0,0.0,0.0,0.12,0.761,0.325,0.667,0.931,0.964,0.964,0.035,144,0.0,0.889,0.908,1.0,0.021,144,0.092,0.0,0.326
contractions,4,16,16.0,16.0,0.034,0.023,0.12,0.78,0.16,0.83,0.046,0.047,0.364,0.011,174,0.872,0.144,0.146,0.781,0.017,174,0.813,0.08,0.069
curly_quotes,24,20,8.0,32.0,0.012,0.12,0.306,0.674,0.312,0.684,0.06,0.074,0.104,0.192,167,0.289,0.844,0.993,1.0,0.15,167,0.007,0.006,0.072
double_space,16,8,32.0,16.0,0.0,0.0,0.655,0.196,0.715,0.278,0.845,0.854,0.955,0.01,200,0.106,0.88,0.889,1.0,0.01,200,0.111,0.0,0.9
em_dash,20,20,16.0,8.0,0.0,0.0,0.433,0.536,0.433,0.527,1.0,1.0,1.0,0.0,99,0.0,0.939,0.959,1.0,0.02,99,0.041,0.01,0.03
num_words,20,16,16.0,16.0,0.0,0.0,0.4,0.553,0.235,0.729,0.877,0.877,0.947,0.0,81,0.074,0.58,0.58,0.94,0.0,81,0.383,0.074,0.148
ordinal_words,16,20,32.0,16.0,0.05,0.0,0.169,0.831,0.169,0.759,0.675,0.699,1.0,0.035,200,0.301,0.105,0.107,0.21,0.02,200,0.49,0.115,0.01
oxford_comma,20,16,16.0,16.0,0.0,0.0,0.5,0.455,0.591,0.364,0.955,0.955,0.985,0.0,67,0.03,0.687,0.687,1.0,0.0,67,0.313,0.134,0.478
percent_sign,8,4,8.0,32.0,0.0,0.0,0.695,0.288,0.831,0.169,0.875,0.883,0.91,0.01,104,0.029,0.962,0.971,0.98,0.01,104,0.01,0.077,0.433
quote_punct,16,16,32.0,2.0,0.032,0.744,0.744,0.053,0.917,0.035,0.856,0.982,0.982,0.128,125,0.0,0.896,0.926,0.991,0.032,125,0.066,0.016,0.888
sentence_caps,20,2,8.0,16.0,0.055,0.03,0.695,0.03,0.96,0.03,0.365,0.378,0.39,0.035,200,0.031,0.91,0.938,0.978,0.03,200,0.041,0.0,0.845
us_uk,24,12,4.0,0.25,0.014,0.158,0.15,0.833,0.233,0.767,0.075,0.078,0.5,0.034,146,0.844,0.178,0.181,1.0,0.014,146,0.819,0.017,0.217
