property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
all_caps,alt,2,4.0,0.05,0.052,0.017,0.033,60
all_caps,alt,4,32.0,0.217,0.22,0.085,0.017,60
all_caps,alt,6,32.0,0.45,0.529,0.078,0.15,60
all_caps,alt,8,8.0,0.233,0.241,0.034,0.033,60
all_caps,alt,10,8.0,0.35,0.412,0.098,0.15,60
all_caps,alt,12,32.0,0.383,0.469,0.102,0.183,60
all_caps,alt,16,32.0,0.517,0.939,0.03,0.45,60
all_caps,alt,20,16.0,0.517,0.795,0.103,0.35,60
all_caps,alt,24,32.0,0.317,0.452,0.119,0.3,60
all_caps,nat,2,32.0,0.383,0.59,0.179,0.35,60
all_caps,nat,4,32.0,0.717,0.915,0.021,0.217,60
all_caps,nat,6,32.0,0.967,1.0,0.0,0.033,60
all_caps,nat,8,8.0,0.833,0.833,0.05,0.0,60
all_caps,nat,10,16.0,0.85,0.895,0.035,0.05,60
all_caps,nat,12,4.0,0.9,0.9,0.0,0.0,60
all_caps,nat,16,2.0,0.783,0.797,0.085,0.017,60
all_caps,nat,20,16.0,0.9,0.947,0.053,0.05,60
all_caps,nat,24,16.0,1.0,1.0,0.0,0.0,60
ampersand,alt,2,0.5,0.0,0.0,0.741,0.1,60
ampersand,alt,4,0.5,0.0,0.0,0.648,0.1,60
ampersand,alt,6,0.5,0.0,0.0,0.691,0.083,60
ampersand,alt,8,32.0,0.05,0.053,0.649,0.05,60
ampersand,alt,10,32.0,0.233,0.25,0.393,0.067,60
ampersand,alt,12,32.0,0.717,0.741,0.259,0.033,60
ampersand,alt,16,32.0,0.517,0.544,0.456,0.05,60
ampersand,alt,20,16.0,0.967,1.0,0.0,0.033,60
ampersand,alt,24,8.0,0.967,0.983,0.017,0.017,60
ampersand,nat,2,0.5,0.233,0.259,0.741,0.1,60
ampersand,nat,4,0.5,0.317,0.345,0.655,0.083,60
ampersand,nat,6,16.0,0.25,0.263,0.737,0.05,60
ampersand,nat,8,16.0,0.333,0.351,0.649,0.05,60
ampersand,nat,10,8.0,0.25,0.273,0.727,0.083,60
ampersand,nat,12,32.0,0.517,0.534,0.466,0.033,60
ampersand,nat,16,32.0,0.883,0.883,0.117,0.0,60
ampersand,nat,20,32.0,1.0,1.0,0.0,0.0,60
ampersand,nat,24,32.0,0.983,0.983,0.017,0.0,60
contractions,alt,2,1.0,0.083,0.083,0.867,0.0,60
contractions,alt,4,0.5,0.05,0.05,0.95,0.0,60
contractions,alt,6,0.5,0.117,0.117,0.833,0.0,60
contractions,alt,8,4.0,0.067,0.067,0.9,0.0,60
contractions,alt,10,4.0,0.133,0.133,0.867,0.0,60
contractions,alt,12,2.0,0.083,0.083,0.883,0.0,60
