property,source_run,arm,n_arm_points,judged,baseline_strict,strict,conditional,unscorable,incoherent,n,n_coherent,cf_strict,cf_unscorable,reverse_strict,reverse_baseline,reference_k4
all_caps,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.0,0.815,0.911,0.105,0.0,200,200,,,,,0.942
ampersand,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.0,0.515,1.0,0.485,0.0,200,200,,,,,0.667
contractions,full_cuecue1,headsum_cue_nat2alt_a4.0,4,False,0.161,0.195,0.78,0.75,0.0,200,200,,,,,0.754
curly_quotes,full_cuek4,headsum_cue_nat2alt_a8.0,4,False,0.023,0.156,0.771,0.798,0.0,173,173,,,,,0.975
double_space,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.0,0.805,0.92,0.125,0.0,200,200,,,,,0.864
em_dash,full_cuek4,headsum_cue_nat2alt_a8.0,4,False,0.019,0.495,0.963,0.486,0.0,105,105,,,,,1.0
num_words,full_cuecue1,headsum_cue_nat2alt_a4.0,4,False,0.047,0.412,1.0,0.588,0.0,85,85,,,,,0.856
ordinal_words,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.151,0.32,1.0,0.68,0.0,200,200,,,,,0.994
oxford_comma,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.149,0.881,1.0,0.119,0.0,67,67,,,,,0.85
percent_sign,full_cuecue1,headsum_cue_nat2alt_a4.0,4,False,0.146,0.779,1.0,0.221,0.0,104,104,,,,,0.966
quote_punct,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.056,0.913,0.927,0.016,0.0,126,126,,,,,0.901
sentence_caps,full_cuecue1,headsum_cue_nat2alt_a4.0,4,False,0.0,0.905,0.984,0.08,0.0,200,200,,,,,0.798
us_uk,full_cuecue1,headsum_cue_nat2alt_a8.0,4,False,0.01,0.19,0.809,0.765,0.0,200,200,,,,,0.917
