family,style,n_k8,n_k4_all,acc_k4_all,acc_k4_same_docs,acc_k8,ci_lo_k4,ci_hi_k4,ci_lo_k8,ci_hi_k8,delta,delta_se,sig,capped_k8,unscorable_k8,unscorable_k4_same_docs,judge_ok_k8
py_snake_camel,nat,199,200,0.965,0.965,0.96,0.929,0.983,0.923,0.979,-0.005,0.018,False,0.256,0.005,0.0,0.96
py_snake_camel,alt,199,200,0.92,0.92,0.93,0.873,0.95,0.885,0.958,0.01,0.025,False,0.246,0.0,0.0,0.935
js_camel_snake,nat,200,200,0.885,0.885,0.945,0.833,0.922,0.904,0.969,0.06,0.026,True,0.24,0.0,0.015,0.945
js_camel_snake,alt,200,200,0.9,0.9,0.925,0.851,0.934,0.88,0.954,0.025,0.029,False,0.275,0.0,0.01,0.925
py_const_naming,nat,195,200,0.655,0.656,0.831,0.587,0.719,0.772,0.877,0.174,0.041,True,0.456,0.077,0.19,0.908
py_const_naming,alt,195,200,0.6,0.6,0.61,0.53,0.666,0.54,0.676,0.01,0.049,False,0.549,0.318,0.308,0.882
py_class_naming,nat,186,200,0.46,0.441,0.882,0.371,0.513,0.827,0.921,0.441,0.045,True,0.237,0.032,0.366,0.946
py_class_naming,alt,186,200,0.63,0.618,0.871,0.547,0.685,0.815,0.912,0.253,0.043,True,0.274,0.022,0.317,0.882
py_private,nat,200,200,0.455,0.455,0.85,0.387,0.524,0.794,0.893,0.395,0.042,True,0.27,0.135,0.535,0.98
py_private,alt,200,200,0.385,0.385,0.855,0.32,0.454,0.8,0.897,0.47,0.043,True,0.265,0.13,0.575,0.975
py_bool_prefix,nat,200,200,0.575,0.575,0.75,0.506,0.641,0.686,0.805,0.175,0.048,True,0.23,0.185,0.32,0.915
py_bool_prefix,alt,200,200,0.315,0.315,0.37,0.255,0.382,0.306,0.439,0.055,0.048,False,0.175,0.585,0.65,0.83
py_loop_vars,nat,108,188,0.495,0.556,0.583,0.462,0.646,0.489,0.672,0.028,0.065,False,0.231,0.333,0.361,0.907
py_loop_vars,alt,108,188,0.473,0.5,0.657,0.407,0.593,0.564,0.74,0.157,0.065,True,0.278,0.194,0.407,0.87
