family,target,layer,alpha,target_rate,unscorable
py_snake_camel,nat,24,0.0,0.96,0.02
py_snake_camel,nat,24,0.5,1.0,0.0
py_snake_camel,nat,24,1.0,0.98,0.02
py_snake_camel,nat,24,2.0,0.98,0.02
py_snake_camel,nat,24,4.0,0.8,0.2
py_snake_camel,alt,24,0.0,0.02,0.02
py_snake_camel,alt,24,0.5,0.08,0.02
py_snake_camel,alt,24,1.0,0.62,0.02
py_snake_camel,alt,24,2.0,0.96,0.02
py_snake_camel,alt,24,4.0,0.98,0.0
js_camel_snake,nat,24,0.0,0.94,0.06
js_camel_snake,nat,24,0.5,0.98,0.02
js_camel_snake,nat,24,1.0,1.0,0.0
js_camel_snake,nat,24,2.0,0.98,0.02
js_camel_snake,nat,24,4.0,0.96,0.04
js_camel_snake,alt,24,0.0,0.0,0.06
js_camel_snake,alt,24,0.5,0.0,0.04
js_camel_snake,alt,24,1.0,0.12,0.02
js_camel_snake,alt,24,2.0,0.78,0.08
js_camel_snake,alt,24,4.0,0.7,0.16
py_const_naming,nat,24,0.0,0.04,0.96
py_const_naming,nat,24,0.5,0.06,0.94
py_const_naming,nat,24,1.0,0.06,0.94
py_const_naming,nat,24,2.0,0.04,0.96
py_const_naming,nat,24,4.0,0.04,0.96
py_const_naming,alt,24,0.0,0.0,0.96
py_const_naming,alt,24,0.5,0.0,0.98
py_const_naming,alt,24,1.0,0.0,0.98
py_const_naming,alt,24,2.0,0.02,0.96
py_const_naming,alt,24,4.0,0.04,0.9
py_class_naming,nat,24,0.0,0.16,0.34
py_class_naming,nat,24,0.5,0.06,0.28
py_class_naming,nat,24,1.0,0.22,0.34
py_class_naming,nat,24,2.0,0.06,0.32
py_class_naming,nat,24,4.0,0.12,0.48
py_class_naming,alt,24,0.0,0.5,0.34
py_class_naming,alt,24,0.5,0.58,0.34
py_class_naming,alt,24,1.0,0.54,0.42
py_class_naming,alt,24,2.0,0.62,0.38
py_class_naming,alt,24,4.0,0.54,0.44
py_private,nat,24,0.0,0.08,0.9
py_private,nat,24,0.5,0.08,0.92
py_private,nat,24,1.0,0.16,0.84
py_private,nat,24,2.0,0.24,0.76
py_private,nat,24,4.0,0.4,0.6
py_private,alt,24,0.0,0.02,0.9
py_private,alt,24,0.5,0.1,0.9
py_private,alt,24,1.0,0.08,0.88
py_private,alt,24,2.0,0.32,0.66
py_private,alt,24,4.0,0.42,0.58
py_bool_prefix,nat,24,0.0,0.06,0.92
py_bool_prefix,nat,24,0.5,0.02,0.94
py_bool_prefix,nat,24,1.0,0.1,0.82
py_bool_prefix,nat,24,2.0,0.1,0.88
py_bool_prefix,nat,24,4.0,0.38,0.58
py_bool_prefix,alt,24,0.0,0.02,0.92
py_bool_prefix,alt,24,0.5,0.02,0.98
py_bool_prefix,alt,24,1.0,0.12,0.84
py_bool_prefix,alt,24,2.0,0.06,0.94
py_bool_prefix,alt,24,4.0,0.12,0.88
