family,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,capped,step3_k0,step3_k4
py_snake_camel,nat,base,0,0.0,,200,0.895,0.845,0.93,0.995,0.005,0.9,0.51,0.905,0.965
py_snake_camel,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.005,0.9,0.51,0.0,0.92
py_snake_camel,alt,alt_top1,24,4.0,,200,0.785,0.723,0.836,0.955,0.015,0.815,0.45,0.0,0.92
py_snake_camel,alt,alt_top2,24,2.0,,200,0.765,0.702,0.818,0.91,0.005,0.825,0.49,0.0,0.92
py_snake_camel,nat,nat_top1,24,0.5,,200,0.87,0.816,0.91,1.0,0.0,0.87,0.455,0.905,0.965
py_snake_camel,nat,nat_top2,24,1.0,,200,0.875,0.822,0.914,1.0,0.0,0.875,0.5,0.905,0.965
js_camel_snake,nat,base,0,0.0,,200,0.86,0.805,0.901,0.965,0.03,0.88,0.45,0.845,0.885
js_camel_snake,alt,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.03,0.88,0.45,0.0,0.9
js_camel_snake,alt,alt_top1,24,2.0,,200,0.625,0.556,0.689,0.75,0.08,0.82,0.48,0.0,0.9
js_camel_snake,alt,alt_top2,24,4.0,,200,0.605,0.536,0.67,0.7,0.14,0.77,0.49,0.0,0.9
js_camel_snake,nat,nat_top1,24,1.0,,200,0.83,0.772,0.876,0.98,0.02,0.85,0.435,0.845,0.885
js_camel_snake,nat,nat_top2,24,0.5,,200,0.815,0.755,0.863,0.97,0.03,0.84,0.515,0.845,0.885
py_const_naming,nat,base,0,0.0,,200,0.015,0.005,0.043,0.02,0.98,0.755,0.535,0.015,0.655
py_const_naming,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.98,0.755,0.535,0.0,0.6
py_const_naming,alt,alt_top1,24,4.0,,200,0.01,0.003,0.036,0.02,0.975,0.435,0.435,0.0,0.6
py_const_naming,alt,alt_top2,24,2.0,,200,0.0,0.0,0.019,0.0,0.98,0.705,0.455,0.0,0.6
py_const_naming,nat,nat_top1,24,0.5,,200,0.035,0.017,0.07,0.035,0.96,0.745,0.51,0.015,0.655
py_const_naming,nat,nat_top2,24,1.0,,200,0.025,0.011,0.057,0.03,0.97,0.78,0.495,0.015,0.655
py_class_naming,nat,base,0,0.0,,200,0.115,0.078,0.167,0.155,0.365,0.77,0.42,0.155,0.46
py_class_naming,alt,base,0,0.0,,200,0.395,0.33,0.464,0.48,0.365,0.77,0.42,0.4,0.63
py_class_naming,alt,alt_top1,24,2.0,,200,0.43,0.363,0.499,0.655,0.32,0.625,0.49,0.4,0.63
py_class_naming,alt,alt_top2,24,0.5,,200,0.43,0.363,0.499,0.55,0.295,0.77,0.47,0.4,0.63
py_class_naming,nat,nat_top1,24,1.0,,200,0.135,0.094,0.189,0.155,0.41,0.83,0.415,0.155,0.46
py_class_naming,nat,nat_top2,24,4.0,,200,0.085,0.054,0.132,0.135,0.43,0.735,0.375,0.155,0.46
py_private,nat,base,0,0.0,,200,0.05,0.027,0.09,0.055,0.915,0.94,0.16,0.075,0.455
py_private,alt,base,0,0.0,,200,0.025,0.011,0.057,0.03,0.915,0.94,0.16,0.015,0.385
py_private,alt,alt_top1,24,4.0,,200,0.405,0.339,0.474,0.41,0.56,0.97,0.125,0.015,0.385
py_private,alt,alt_top2,24,2.0,,200,0.325,0.264,0.393,0.34,0.65,0.95,0.22,0.015,0.385
py_private,nat,nat_top1,24,4.0,,200,0.28,0.222,0.346,0.28,0.71,0.95,0.145,0.075,0.455
py_private,nat,nat_top2,24,2.0,,200,0.24,0.186,0.304,0.245,0.755,0.96,0.14,0.075,0.455
py_bool_prefix,nat,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.92,0.85,0.44,0.01,0.575
py_bool_prefix,alt,base,0,0.0,,200,0.07,0.042,0.114,0.075,0.92,0.85,0.44,0.09,0.315
py_bool_prefix,alt,alt_top1,24,1.0,,200,0.05,0.027,0.09,0.065,0.915,0.895,0.445,0.09,0.315
py_bool_prefix,alt,alt_top2,24,4.0,,200,0.075,0.046,0.12,0.085,0.895,0.83,0.405,0.09,0.315
py_bool_prefix,nat,nat_top1,24,4.0,,200,0.375,0.311,0.444,0.465,0.505,0.805,0.45,0.01,0.575
py_bool_prefix,nat,nat_top2,24,1.0,,200,0.055,0.031,0.096,0.06,0.845,0.88,0.435,0.01,0.575
py_loop_vars,nat,base,0,0.0,,188,0.346,0.281,0.416,0.394,0.511,0.888,0.346,0.314,0.495
py_loop_vars,alt,base,0,0.0,,188,0.074,0.045,0.121,0.096,0.511,0.888,0.346,0.059,0.473
py_loop_vars,alt,alt_top1,24,4.0,,188,0.207,0.156,0.271,0.255,0.665,0.851,0.394,0.059,0.473
py_loop_vars,alt,alt_top2,24,2.0,,188,0.144,0.101,0.201,0.154,0.66,0.878,0.431,0.059,0.473
py_loop_vars,nat,nat_top1,24,4.0,,188,0.691,0.622,0.753,0.761,0.202,0.862,0.42,0.314,0.495
py_loop_vars,nat,nat_top2,24,2.0,,188,0.5,0.429,0.571,0.58,0.383,0.856,0.362,0.314,0.495
