family,prompts,instances,median_tokens_per_instance,whitespace_only_share,outside_prompt_share,shared_tokens_dropped
us_uk,400,1600,1.0,0.0,0.0,0
ise_ize,400,1600,1.0,0.0,0.0,0
contractions,400,1600,2.0,0.0,0.0,0
num_words,400,1600,1.0,0.0,0.0,0
ordinal_words,400,1600,2.0,0.0,0.0,0
uk_vocab,400,1600,1.0,0.0,0.0,0
register,400,1600,1.0,0.0,0.0,0
unit_abbr,400,1600,1.0,0.0,0.0,0
diacritics,400,1600,2.0,0.0,0.0,0
latin_plural,400,1600,1.0,0.0,0.0,0
title_abbr,400,1600,1.0,0.0,0.0,0
pt_br_eu,400,1600,2.0,0.0,0.0,0
pt_acordo_eu,400,1600,2.0,0.0,0.0,0
es_rae2010,400,1600,1.0,0.0,0.0,0
zh_simp_trad,400,1600,1.0,0.0,0.0006,0
ru_yo,396,1584,2.0,0.0,0.0,0
