family,layer,rel_norm,split_half_cos,cos_read_write,n_nat,n_alt,tokens_per_prompt_nat,tokens_per_prompt_alt
us_uk,1,0.5959,0.997,0.556,200,200,4.02,4.55
us_uk,2,0.4369,0.996,0.347,200,200,4.02,4.55
us_uk,3,0.3857,0.996,0.266,200,200,4.02,4.55
us_uk,4,0.5678,0.998,0.373,200,200,4.02,4.55
us_uk,5,0.5698,0.998,0.437,200,200,4.02,4.55
us_uk,6,0.5523,0.998,0.481,200,200,4.02,4.55
us_uk,7,0.5339,0.998,0.581,200,200,4.02,4.55
us_uk,8,0.4825,0.998,0.621,200,200,4.02,4.55
us_uk,9,0.4922,0.998,0.632,200,200,4.02,4.55
us_uk,10,0.4225,0.998,0.612,200,200,4.02,4.55
us_uk,11,0.3917,0.998,0.614,200,200,4.02,4.55
us_uk,12,0.4251,0.998,0.627,200,200,4.02,4.55
us_uk,13,0.4139,0.998,0.636,200,200,4.02,4.55
us_uk,14,0.4273,0.998,0.628,200,200,4.02,4.55
us_uk,15,0.3545,0.998,0.623,200,200,4.02,4.55
us_uk,16,0.3873,0.998,0.605,200,200,4.02,4.55
us_uk,17,0.3586,0.997,0.615,200,200,4.02,4.55
us_uk,18,0.3335,0.997,0.573,200,200,4.02,4.55
us_uk,19,0.3317,0.997,0.546,200,200,4.02,4.55
us_uk,20,0.27,0.997,0.47,200,200,4.02,4.55
us_uk,21,0.2853,0.996,0.459,200,200,4.02,4.55
us_uk,22,0.2652,0.996,0.469,200,200,4.02,4.55
us_uk,23,0.3036,0.996,0.474,200,200,4.02,4.55
us_uk,24,0.2641,0.995,0.38,200,200,4.02,4.55
us_uk,25,0.2229,0.994,0.461,200,200,4.02,4.55
us_uk,26,0.1891,0.992,0.451,200,200,4.02,4.55
us_uk,27,0.1576,0.99,0.483,200,200,4.02,4.55
us_uk,28,0.1068,0.99,0.537,200,200,4.02,4.55
ise_ize,1,0.5488,0.997,0.174,200,200,4.0,5.46
ise_ize,2,0.4051,0.996,0.153,200,200,4.0,5.46
ise_ize,3,0.3654,0.994,0.185,200,200,4.0,5.46
ise_ize,4,0.4783,0.997,0.183,200,200,4.0,5.46
ise_ize,5,0.4739,0.997,0.153,200,200,4.0,5.46
ise_ize,6,0.4425,0.997,0.205,200,200,4.0,5.46
ise_ize,7,0.4349,0.998,0.339,200,200,4.0,5.46
ise_ize,8,0.4234,0.997,0.465,200,200,4.0,5.46
ise_ize,9,0.4488,0.997,0.481,200,200,4.0,5.46
ise_ize,10,0.3665,0.997,0.518,200,200,4.0,5.46
ise_ize,11,0.3655,0.998,0.538,200,200,4.0,5.46
ise_ize,12,0.3941,0.998,0.526,200,200,4.0,5.46
ise_ize,13,0.3823,0.997,0.535,200,200,4.0,5.46
ise_ize,14,0.3942,0.997,0.532,200,200,4.0,5.46
ise_ize,15,0.3284,0.997,0.52,200,200,4.0,5.46
ise_ize,16,0.3611,0.997,0.497,200,200,4.0,5.46
ise_ize,17,0.3363,0.997,0.498,200,200,4.0,5.46
ise_ize,18,0.3167,0.997,0.447,200,200,4.0,5.46
ise_ize,19,0.3206,0.997,0.411,200,200,4.0,5.46
ise_ize,20,0.273,0.996,0.464,200,200,4.0,5.46
ise_ize,21,0.2835,0.996,0.442,200,200,4.0,5.46
ise_ize,22,0.2744,0.995,0.435,200,200,4.0,5.46
ise_ize,23,0.2963,0.994,0.422,200,200,4.0,5.46
ise_ize,24,0.2709,0.993,0.334,200,200,4.0,5.46
ise_ize,25,0.2425,0.992,0.402,200,200,4.0,5.46
ise_ize,26,0.2208,0.991,0.396,200,200,4.0,5.46
ise_ize,27,0.2037,0.99,0.446,200,200,4.0,5.46
ise_ize,28,0.1924,0.996,0.262,200,200,4.0,5.46
contractions,1,0.7159,0.997,0.073,200,200,6.49,6.37
contractions,2,0.6211,0.997,0.1,200,200,6.49,6.37
contractions,3,0.5696,0.997,0.163,200,200,6.49,6.37
contractions,4,0.5879,0.997,0.315,200,200,6.49,6.37
contractions,5,0.6034,0.997,0.306,200,200,6.49,6.37
contractions,6,0.5259,0.997,0.274,200,200,6.49,6.37
contractions,7,0.5886,0.997,0.311,200,200,6.49,6.37
contractions,8,0.5986,0.997,0.325,200,200,6.49,6.37
contractions,9,0.6181,0.997,0.354,200,200,6.49,6.37
contractions,10,0.4949,0.996,0.374,200,200,6.49,6.37
contractions,11,0.4909,0.997,0.37,200,200,6.49,6.37
contractions,12,0.5434,0.997,0.374,200,200,6.49,6.37
contractions,13,0.5431,0.997,0.369,200,200,6.49,6.37
contractions,14,0.5721,0.997,0.371,200,200,6.49,6.37
contractions,15,0.4625,0.997,0.35,200,200,6.49,6.37
contractions,16,0.521,0.997,0.369,200,200,6.49,6.37
contractions,17,0.4901,0.997,0.349,200,200,6.49,6.37
contractions,18,0.457,0.997,0.339,200,200,6.49,6.37
contractions,19,0.453,0.997,0.331,200,200,6.49,6.37
contractions,20,0.4209,0.997,0.352,200,200,6.49,6.37
contractions,21,0.408,0.997,0.338,200,200,6.49,6.37
contractions,22,0.4005,0.997,0.339,200,200,6.49,6.37
contractions,23,0.4792,0.997,0.356,200,200,6.49,6.37
contractions,24,0.391,0.997,0.331,200,200,6.49,6.37
contractions,25,0.3393,0.997,0.348,200,200,6.49,6.37
contractions,26,0.3253,0.997,0.253,200,200,6.49,6.37
contractions,27,0.3091,0.997,0.252,200,200,6.49,6.37
contractions,28,0.3599,0.998,0.14,200,200,6.49,6.37
num_words,1,1.0273,0.999,0.107,200,200,8.42,4.0
num_words,2,0.7905,0.999,0.143,200,200,8.42,4.0
num_words,3,0.6848,0.998,0.126,200,200,8.42,4.0
