family,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,capped,step3_k0,step3_k4
us_uk,nat,base,0,0.0,,200,0.755,0.691,0.809,0.765,0.17,0.985,0.0,0.765,0.81
us_uk,alt,base,0,0.0,,200,0.06,0.035,0.102,0.065,0.17,0.985,0.0,0.04,0.64
us_uk,alt,alt_cf,24,4.0,ise_ize,200,0.7,0.633,0.759,0.71,0.185,0.985,0.0,0.04,0.64
us_uk,alt,alt_top1,24,4.0,,200,0.63,0.561,0.694,0.64,0.195,0.985,0.0,0.04,0.64
us_uk,alt,alt_top2,20,4.0,,200,0.345,0.283,0.413,0.355,0.21,0.975,0.0,0.04,0.64
us_uk,nat,nat_cf,8,4.0,ise_ize,200,0.79,0.728,0.841,0.815,0.155,0.97,0.0,0.765,0.81
us_uk,nat,nat_top1,8,4.0,,200,0.765,0.702,0.818,0.765,0.19,1.0,0.0,0.765,0.81
us_uk,nat,nat_top2,8,1.0,,200,0.775,0.712,0.827,0.78,0.19,0.99,0.0,0.765,0.81
ise_ize,nat,base,0,0.0,,200,0.94,0.898,0.965,0.945,0.05,0.985,0.0,0.86,0.88
ise_ize,alt,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.05,0.985,0.0,0.005,0.685
ise_ize,alt,alt_cf,24,4.0,contractions,200,0.0,0.0,0.019,0.0,0.055,0.985,0.0,0.005,0.685
ise_ize,alt,alt_top1,24,4.0,,200,0.68,0.612,0.741,0.695,0.105,0.975,0.0,0.005,0.685
ise_ize,alt,alt_top2,20,4.0,,200,0.375,0.311,0.444,0.375,0.11,0.97,0.0,0.005,0.685
ise_ize,nat,nat_cf,10,2.0,contractions,200,0.915,0.868,0.946,0.925,0.07,0.98,0.0,0.86,0.88
ise_ize,nat,nat_top1,10,2.0,,200,0.895,0.845,0.93,0.91,0.09,0.985,0.0,0.86,0.88
ise_ize,nat,nat_top2,8,4.0,,200,0.92,0.874,0.95,0.93,0.065,0.98,0.005,0.86,0.88
contractions,nat,base,0,0.0,,200,0.435,0.368,0.504,0.44,0.175,0.975,0.0,0.425,0.825
contractions,alt,base,0,0.0,,200,0.38,0.316,0.449,0.385,0.175,0.975,0.0,0.42,0.68
contractions,alt,alt_cf,24,4.0,num_words,200,0.395,0.33,0.464,0.4,0.19,0.985,0.0,0.42,0.68
contractions,alt,alt_top1,24,4.0,,200,0.86,0.805,0.901,0.875,0.065,0.97,0.0,0.42,0.68
contractions,alt,alt_top2,20,4.0,,200,0.87,0.816,0.91,0.885,0.05,0.975,0.0,0.42,0.68
contractions,nat,nat_cf,24,4.0,num_words,200,0.34,0.278,0.408,0.365,0.175,0.92,0.005,0.425,0.825
contractions,nat,nat_top1,24,4.0,,200,0.715,0.649,0.773,0.74,0.145,0.955,0.0,0.425,0.825
contractions,nat,nat_top2,20,4.0,,200,0.64,0.571,0.703,0.645,0.215,0.98,0.005,0.425,0.825
num_words,nat,base,0,0.0,,200,0.725,0.659,0.782,0.73,0.115,0.975,0.005,0.735,0.91
num_words,alt,base,0,0.0,,200,0.155,0.111,0.212,0.155,0.115,0.975,0.005,0.135,0.48
num_words,alt,alt_cf,24,4.0,ordinal_words,200,0.695,0.628,0.755,0.735,0.265,0.905,0.005,0.135,0.48
num_words,alt,alt_top1,24,4.0,,200,0.8,0.739,0.85,0.84,0.15,0.935,0.02,0.135,0.48
num_words,alt,alt_top2,24,2.0,,200,0.815,0.755,0.863,0.83,0.11,0.97,0.005,0.135,0.48
num_words,nat,nat_cf,24,2.0,ordinal_words,200,0.935,0.892,0.962,0.955,0.045,0.975,0.005,0.735,0.91
num_words,nat,nat_top1,24,2.0,,200,0.92,0.874,0.95,0.935,0.065,0.98,0.005,0.735,0.91
num_words,nat,nat_top2,24,4.0,,200,0.94,0.898,0.965,0.95,0.05,0.98,0.005,0.735,0.91
ordinal_words,nat,base,0,0.0,,200,0.27,0.213,0.335,0.275,0.055,0.96,0.01,0.215,0.965
ordinal_words,alt,base,0,0.0,,200,0.655,0.587,0.717,0.67,0.055,0.96,0.01,0.71,0.89
ordinal_words,alt,alt_cf,24,1.0,uk_vocab,200,0.71,0.644,0.768,0.725,0.05,0.96,0.005,0.71,0.89
