family,direction,context,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_judge_ok,cf_accuracy,step3_genuine_k3
sentence_caps,alt2nat,alt,nat,4,2.0,0.755,0.691,0.809,0.995,0.0,0.005,0.755,0.04,0.715,0.26,0.705
sentence_caps,nat2alt,nat,alt,4,1.0,0.595,0.526,0.661,0.77,0.225,0.005,0.775,0.0,0.69,0.0,0.665
all_caps,alt2nat,alt,nat,4,1.0,0.345,0.283,0.413,1.0,0.0,0.0,0.345,0.0,0.34,0.005,0.71
all_caps,nat2alt,nat,alt,6,2.0,0.215,0.164,0.277,0.92,0.06,0.02,0.25,0.0,0.73,0.0,0.36
double_space,alt2nat,alt,nat,4,2.0,0.74,0.675,0.796,1.0,0.0,0.0,0.74,0.04,0.715,0.085,0.69
double_space,nat2alt,nat,alt,10,4.0,0.405,0.339,0.474,0.645,0.265,0.09,0.57,0.0,0.725,0.0,0.595
us_uk,alt2nat,alt,nat,12,2.0,0.665,0.597,0.727,0.75,0.08,0.17,0.855,0.135,0.85,0.65,0.65
us_uk,nat2alt,nat,alt,10,2.0,0.68,0.612,0.741,0.765,0.09,0.145,0.89,0.05,0.815,0.63,0.58
ise_ize,alt2nat,alt,nat,12,4.0,0.71,0.644,0.768,0.815,0.0,0.185,0.865,0.16,0.835,0.55,0.68
ise_ize,nat2alt,nat,alt,20,2.0,0.65,0.582,0.713,0.745,0.06,0.195,0.85,0.015,0.865,0.465,0.6
brit_t_past,alt2nat,alt,nat,10,4.0,0.49,0.422,0.559,0.605,0.075,0.32,0.825,0.38,0.79,0.47,0.43
brit_t_past,nat2alt,nat,alt,8,2.0,0.165,0.12,0.223,0.185,0.48,0.335,0.79,0.075,0.805,0.08,0.17
whilst,alt2nat,alt,nat,10,4.0,0.57,0.501,0.637,0.67,0.115,0.215,0.845,0.115,0.825,0.215,0.585
whilst,nat2alt,nat,alt,4,2.0,0.655,0.587,0.717,0.785,0.065,0.15,0.815,0.05,0.805,0.07,0.525
contractions,alt2nat,alt,nat,2,2.0,0.625,0.556,0.689,0.785,0.13,0.085,0.82,0.12,0.835,0.28,0.645
contractions,nat2alt,nat,alt,6,4.0,0.75,0.686,0.805,0.895,0.05,0.055,0.835,0.095,0.8,0.13,0.61
ampersand,alt2nat,alt,nat,8,1.0,0.81,0.75,0.858,0.95,0.0,0.05,0.85,0.15,0.845,0.105,0.77
ampersand,nat2alt,nat,alt,6,4.0,0.81,0.75,0.858,0.94,0.005,0.055,0.86,0.0,0.86,0.0,0.655
oxford_comma,alt2nat,alt,nat,6,2.0,0.655,0.587,0.717,0.74,0.21,0.05,0.885,0.105,0.87,0.125,0.77
oxford_comma,nat2alt,nat,alt,8,4.0,0.88,0.828,0.918,0.96,0.035,0.005,0.905,0.065,0.885,0.23,0.705
curly_quotes,alt2nat,alt,nat,6,2.0,0.685,0.618,0.745,0.965,0.0,0.035,0.72,0.01,0.735,0.04,0.645
curly_quotes,nat2alt,nat,alt,4,2.0,0.53,0.461,0.598,0.73,0.035,0.235,0.715,0.0,0.665,0.0,0.63
quote_punct,alt2nat,alt,nat,6,2.0,0.85,0.794,0.893,0.945,0.005,0.05,0.89,0.02,0.865,0.07,0.785
quote_punct,nat2alt,nat,alt,10,4.0,0.745,0.68,0.8,0.86,0.0,0.14,0.855,0.03,0.875,0.47,0.795
em_dash,alt2nat,alt,nat,6,1.0,0.815,0.755,0.863,0.975,0.0,0.025,0.825,0.0,0.74,0.02,0.79
em_dash,nat2alt,nat,alt,4,2.0,0.68,0.612,0.741,0.825,0.025,0.15,0.77,0.0,0.82,0.0,0.7
ellipsis,alt2nat,alt,nat,6,1.0,0.04,0.02,0.077,0.98,0.005,0.015,0.06,0.01,0.675,0.015,0.6
ellipsis,nat2alt,nat,alt,20,4.0,0.825,0.766,0.871,0.985,0.005,0.01,0.835,0.0,0.605,0.0,0.63
num_words,alt2nat,alt,nat,16,4.0,0.74,0.675,0.796,0.93,0.0,0.07,0.795,0.445,0.805,0.625,0.735
num_words,nat2alt,nat,alt,2,4.0,0.545,0.476,0.613,0.66,0.225,0.115,0.785,0.005,0.79,0.27,0.325
percent_sign,alt2nat,alt,nat,4,2.0,0.87,0.816,0.91,1.0,0.0,0.0,0.87,0.065,0.845,0.845,0.86
percent_sign,nat2alt,nat,alt,2,2.0,0.89,0.839,0.926,0.995,0.0,0.005,0.89,0.005,0.92,0.46,0.845
ordinal_words,alt2nat,alt,nat,10,2.0,0.705,0.638,0.764,0.89,0.025,0.085,0.755,0.2,0.765,0.18,0.72
ordinal_words,nat2alt,nat,alt,2,4.0,0.72,0.654,0.778,0.975,0.01,0.015,0.74,0.01,0.825,0.02,0.64
