family,direction,layer,alpha,target_rate,unsteered
all_caps,alt2nat,0,0.5,0.06,0.0
all_caps,alt2nat,0,1.0,0.86,0.0
all_caps,alt2nat,0,2.0,0.8,0.0
all_caps,alt2nat,0,4.0,0.78,0.0
all_caps,alt2nat,1,0.5,0.12,0.0
all_caps,alt2nat,1,1.0,0.96,0.0
all_caps,alt2nat,1,2.0,0.94,0.0
all_caps,alt2nat,1,4.0,0.8,0.0
all_caps,alt2nat,2,0.5,0.48,0.0
all_caps,alt2nat,2,1.0,1.0,0.0
all_caps,alt2nat,2,2.0,1.0,0.0
all_caps,alt2nat,2,4.0,1.0,0.0
all_caps,alt2nat,3,0.5,0.64,0.0
all_caps,alt2nat,3,1.0,1.0,0.0
all_caps,alt2nat,3,2.0,1.0,0.0
all_caps,alt2nat,3,4.0,1.0,0.0
all_caps,alt2nat,4,0.5,0.84,0.0
all_caps,alt2nat,4,1.0,1.0,0.0
all_caps,alt2nat,4,2.0,1.0,0.0
all_caps,alt2nat,4,4.0,1.0,0.0
all_caps,alt2nat,5,0.5,0.9,0.0
all_caps,alt2nat,5,1.0,1.0,0.0
all_caps,alt2nat,5,2.0,1.0,0.0
all_caps,alt2nat,5,4.0,1.0,0.0
all_caps,alt2nat,6,0.5,0.82,0.0
all_caps,alt2nat,6,1.0,1.0,0.0
all_caps,alt2nat,6,2.0,1.0,0.0
all_caps,alt2nat,6,4.0,0.98,0.0
all_caps,alt2nat,7,0.5,0.92,0.0
all_caps,alt2nat,7,1.0,1.0,0.0
all_caps,alt2nat,7,2.0,1.0,0.0
all_caps,alt2nat,7,4.0,1.0,0.0
all_caps,alt2nat,8,0.5,0.88,0.0
all_caps,alt2nat,8,1.0,1.0,0.0
all_caps,alt2nat,8,2.0,1.0,0.0
all_caps,alt2nat,8,4.0,1.0,0.0
all_caps,alt2nat,9,0.5,0.48,0.0
all_caps,alt2nat,9,1.0,1.0,0.0
all_caps,alt2nat,9,2.0,1.0,0.0
all_caps,alt2nat,9,4.0,1.0,0.0
all_caps,alt2nat,10,0.5,0.88,0.0
all_caps,alt2nat,10,1.0,1.0,0.0
all_caps,alt2nat,10,2.0,1.0,0.0
all_caps,alt2nat,10,4.0,1.0,0.0
all_caps,alt2nat,11,0.5,0.62,0.0
all_caps,alt2nat,11,1.0,0.98,0.0
all_caps,alt2nat,11,2.0,1.0,0.0
all_caps,alt2nat,11,4.0,1.0,0.0
all_caps,alt2nat,12,0.5,0.78,0.0
all_caps,alt2nat,12,1.0,0.96,0.0
all_caps,alt2nat,12,2.0,0.98,0.0
all_caps,alt2nat,12,4.0,1.0,0.0
all_caps,alt2nat,13,0.5,0.84,0.0
all_caps,alt2nat,13,1.0,0.96,0.0
all_caps,alt2nat,13,2.0,1.0,0.0
all_caps,alt2nat,13,4.0,1.0,0.0
all_caps,alt2nat,14,0.5,0.46,0.0
all_caps,alt2nat,14,1.0,0.94,0.0
all_caps,alt2nat,14,2.0,1.0,0.0
all_caps,alt2nat,14,4.0,1.0,0.0
all_caps,alt2nat,15,0.5,0.5,0.0
all_caps,alt2nat,15,1.0,0.96,0.0
all_caps,alt2nat,15,2.0,1.0,0.0
all_caps,alt2nat,15,4.0,1.0,0.0
all_caps,alt2nat,16,0.5,0.24,0.0
all_caps,alt2nat,16,1.0,0.96,0.0
all_caps,alt2nat,16,2.0,0.96,0.0
all_caps,alt2nat,16,4.0,0.96,0.0
all_caps,alt2nat,17,0.5,0.1,0.0
all_caps,alt2nat,17,1.0,0.88,0.0
all_caps,alt2nat,17,2.0,0.94,0.0
all_caps,alt2nat,17,4.0,1.0,0.0
all_caps,alt2nat,18,0.5,0.1,0.0
all_caps,alt2nat,18,1.0,0.9,0.0
all_caps,alt2nat,18,2.0,1.0,0.0
all_caps,alt2nat,18,4.0,0.96,0.0
all_caps,alt2nat,19,0.5,0.06,0.0
all_caps,alt2nat,19,1.0,0.9,0.0
all_caps,alt2nat,19,2.0,0.98,0.0
all_caps,alt2nat,19,4.0,1.0,0.0
all_caps,alt2nat,20,0.5,0.08,0.0
all_caps,alt2nat,20,1.0,0.94,0.0
all_caps,alt2nat,20,2.0,0.96,0.0
all_caps,alt2nat,20,4.0,1.0,0.0
all_caps,alt2nat,21,0.5,0.06,0.0
all_caps,alt2nat,21,1.0,0.56,0.0
all_caps,alt2nat,21,2.0,0.64,0.0
all_caps,alt2nat,21,4.0,0.66,0.0
all_caps,alt2nat,22,0.5,0.2,0.0
all_caps,alt2nat,22,1.0,0.64,0.0
all_caps,alt2nat,22,2.0,0.68,0.0
all_caps,alt2nat,22,4.0,0.8,0.0
all_caps,alt2nat,23,0.5,0.12,0.0
all_caps,alt2nat,23,1.0,0.66,0.0
all_caps,alt2nat,23,2.0,0.8,0.0
all_caps,alt2nat,23,4.0,0.84,0.0
all_caps,alt2nat,24,0.5,0.04,0.0
all_caps,alt2nat,24,1.0,0.58,0.0
all_caps,alt2nat,24,2.0,0.78,0.0
all_caps,alt2nat,24,4.0,0.96,0.0
all_caps,alt2nat,25,0.5,0.1,0.0
all_caps,alt2nat,25,1.0,0.48,0.0
